2020/03/14 05:26:38 UTC,,,,,,,,
 China ,80824,11,3189,13,65547,12088,4020,56.2
 Italy ,17660, ,1266, ,1439,14955,1328,292.1
 Iran ,11364, ,514, ,3529,7321, ,135.3
 S. Korea ,8086,107,72,5,714,7300,59,157.7
 Spain ,5232, ,133, ,193,4906,272,111.9
 Germany ,3675, ,8, ,46,3621,9,43.9
 France ,3661, ,79, ,12,3570,154,56.1
 USA ,2329,82,50,1,41,2238,10,7
 Switzerland ,1139, ,11, ,4,1124, ,131.6
 Norway ,996, ,1, ,1,994,27,183.7
 Sweden ,814, ,1, ,1,812,2,80.6
 Netherlands ,804, ,10, ,2,792,45,46.9
 Denmark ,804, , , ,1,803,2,138.8
 UK ,798, ,11, ,18,769,20,11.8
 Japan ,734, ,21, ,118,595,29,5.8
 Diamond Princess ,696, ,7, ,325,364,32,
 Belgium ,559, ,3, ,1,555,2,48.2
 Austria ,504, ,1, ,6,497,1,56
 Qatar ,320, , , , ,320, ,111.1
 Bahrain ,210, , , ,44,166,1,123.4
 Singapore ,200, , , ,97,103,11,34.2
 Australia ,199, ,3, ,26,170,1,7.8
 Canada ,198, ,1, ,11,186,1,5.2
 Malaysia ,197, , , ,32,165,4,6.1
 Greece ,190, ,1, ,2,187,2,18.2
 Finland ,155, , , ,1,154, ,28
 Brazil ,151, , , ,1,150,2,0.7
 Israel ,143, , , ,4,139,3,16.5
 Czechia ,141, , , , ,141,2,13.2
 Slovenia ,141, , , , ,141,4,67.8
 Iceland ,134, , , , ,134, ,
 Hong Kong ,132, ,4, ,78,50,4,17.6
 Portugal ,112, , , ,1,111,1,11
 Iraq ,101, ,9, ,24,68, ,2.5
 Kuwait ,100, , , ,5,95,4,23.4
 Romania ,95, , , ,7,88,1,4.9
 Egypt ,93, ,2, ,27,64, ,0.9
 Ireland ,90, ,1, , ,89,6,18.2
 Saudi Arabia ,86, , , ,1,85, ,2.5
 UAE ,85, , , ,20,65,2,8.6
 India ,83,1,2, ,10,71, ,0.1
 San Marino ,80, ,5, ,2,73,3,
 Estonia ,79, , , , ,79, ,59.6
 Lebanon ,77, ,3, ,1,73,3,11.3
 Thailand ,75, ,1, ,35,39,1,1.1
 Indonesia ,69, ,4, ,5,60, ,0.3
 Poland ,68, ,2, , ,66,3,1.8
 Philippines ,64, ,6,1,2,56,1,0.6
 Taiwan ,50, ,1, ,20,29, ,2.1
 Russia ,45, , , ,8,37, ,0.3
 Vietnam ,44, , , ,16,28, ,0.5
 Chile ,43, , , , ,43, ,2.2
 Luxembourg ,38, ,1, , ,37, ,
 Peru ,38, , , , ,38, ,1.2
 Brunei ,37, , , , ,37, ,
 Serbia ,35, , , , ,35,1,4
 Palestine ,35, , , , ,35, ,6.9
 Argentina ,34, ,2, , ,32,1,0.8
 Albania ,33, ,1, , ,32, ,11.5
 Croatia ,32, , , ,1,31, ,7.8
 Slovakia ,32, , , , ,32, ,5.9
 Bulgaria ,31, ,1, , ,30, ,4.5
 Pakistan ,28, , , ,2,26, ,0.1
