Country,Deaths/Mil.,2020/03/31 13:13:59 UTC
San Marino,736.739
Italy,191.742
Spain,175.112
Andorra,103.546
Belgium,60.815
Netherlands,60.632
France,46.361
Switzerland,43.097
Luxembourg,35.147
Iran,34.499
Saint Martin,25.867
Monaco,25.490
UK,20.731
Sweden,17.817
Channel Islands,17.255
Portugal,15.693
Denmark,15.538
Cayman Islands,15.250
Austria,14.206
Ireland,10.930
Guadeloupe,10.000
USA,9.596
Germany,8.137
Slovenia,7.219
Norway,6.456
Panama,6.254
Curaçao,6.091
Iceland,5.860
Cyprus,5.783
Martinique,5.328
Total:,5.006
Albania,4.494
Greece,4.403
Dominican Republic,3.869
Romania,3.752
Mayotte,3.670
Bosnia and Herzegovina,3.650
Ecuador,3.501
North Macedonia,3.362
Montenegro,3.181
S. Korea,3.162
Estonia,3.017
Serbia,2.632
Lithuania,2.574
Canada,2.437
Mauritius,2.350
Bahrain,2.349
Finland,2.347
Czechia,2.332
China,2.311
Brunei ,2.287
Trinidad and Tobago,2.153
Turkey,1.986
Israel,1.964
Cabo Verde,1.833
Lebanon,1.762
Hungary,1.659
Croatia,1.460
Malaysia,1.321
Guyana,1.250
Iraq,1.168
Bulgaria,1.161
Armenia,1.015
Morocco,0.920
Poland,0.852
Philippines,0.802
Brazil,0.779
Algeria,0.779
Tunisia,0.771
Australia,0.746
Peru,0.733
Honduras,0.695
Burkina Faso,0.585
Indonesia,0.534
Hong Kong,0.532
Argentina,0.522
Singapore,0.512
UAE,0.507
Bolivia,0.505
Gambia,0.500
Moldova,0.497
Azerbaijan,0.487
Jordan,0.485
Gabon,0.438
Japan,0.430
Chile,0.418
Paraguay,0.415
Costa Rica,0.394
Egypt,0.375
Cuba,0.353
Qatar,0.348
Jamaica,0.333
Ukraine,0.308
Saudi Arabia,0.288
Uruguay,0.287
Colombia,0.281
Cameroon,0.218
Taiwan,0.217
New Zealand,0.207
Mexico,0.205
Palestine,0.197
Mauritania,0.167
Ghana,0.164
Nicaragua,0.150
Thailand,0.145
Togo,0.133
Syria,0.120
Russia,0.116
Venezuela,0.111
Niger,0.111
Pakistan,0.107
Kazakhstan,0.107
Belarus,0.105
Afghanistan,0.092
Sri Lanka,0.091
DRC,0.082
Mali,0.071
Uzbekistan,0.063
Zimbabwe,0.062
Angola,0.057
Sudan,0.057
Guatemala,0.056
South Africa,0.050
Ivory Coast,0.036
Bangladesh,0.029
India,0.023
Myanmar,0.021
Kenya,0.018
Tanzania,0.016
Nigeria,0.010
