2020/03/30 04:39:52 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3304,1046.100,2.312
S.Korea,158,64.509,3.075
SanMarino,22,26.875,648.411
Bahrain,4,17.306,2.349
Bangladesh,5,12.949,0.031
Italy,10779,11.442,178.309
Taiwan,3,11.441,0.131
TrinidadandTobago,3,11.420,2.154
Venezuela,3,11.146,0.101
Malaysia,35,9.967,1.077
Lebanon,10,9.803,1.461
Slovenia,11,9.671,5.289
Denmark,72,9.669,12.416
Japan,54,9.639,0.434
Singapore,3,9.595,0.512
Iran,2640,9.550,31.424
Greece,39,9.536,3.745
Egypt,40,9.529,0.394
Norway,26,9.331,4.795
Guadeloupe,4,9.047,10.000
Bulgaria,8,8.933,1.156
Iceland,2,8.809,5.861
Switzerland,300,8.806,34.655
Finland,11,8.486,1.987
HongKong,4,8.229,0.536
Armenia,3,8.222,1.012
Sweden,110,8.190,10.881
Pakistan,14,8.034,0.061
Cyprus,6,7.923,4.963
NorthMacedonia,6,7.532,2.873
Thailand,7,7.408,0.101
Estonia,3,7.385,2.262
Ecuador,58,7.203,3.286
Austria,86,7.173,9.551
CostaRica,2,7.065,0.395
France,2606,6.885,39.894
Albania,10,6.813,3.491
Jordan,3,6.809,0.290
India,27,6.750,0.018
Iraq,42,6.730,1.075
Germany,541,6.343,6.455
Peru,18,6.312,0.549
Indonesia,114,6.086,0.444
Algeria,31,6.078,0.728
Luxembourg,21,6.055,33.546
BurkinaFaso,12,6.008,0.595
DRC,8,5.983,0.089
Croatia,6,5.940,1.464
Czechia,16,5.890,1.494
Netherlands,771,5.862,44.986
SaudiArabia,8,5.791,0.228
Ireland,46,5.752,9.323
Moldova,2,5.509,0.494
Spain,6803,5.487,145.469
Australia,17,5.478,0.666
Hungary,13,5.432,1.338
BosniaandHerzegovina,6,5.422,1.820
Cameroon,6,5.337,0.216
Poland,22,5.328,0.579
Brazil,136,5.274,0.639
Andorra,6,5.269,77.659
Colombia,10,5.218,0.199
Chile,7,4.606,0.367
Lithuania,7,4.594,2.572
UAE,3,4.589,0.305
Portugal,119,4.566,11.676
Belgium,431,4.565,37.189
Azerbaijan,4,4.553,0.402
UK,1228,4.505,18.116
Israel,15,4.492,1.734
Mauritius,3,4.454,2.355
Serbia,13,4.449,1.491
Afghanistan,4,4.417,0.100
ChannelIslands,2,4.417,11.500
Philippines,71,4.327,0.651
Argentina,20,4.310,0.439
Canada,65,4.282,1.718
Uzbekistan,2,4.252,0.056
Mexico,20,4.238,0.161
Romania,43,4.227,2.227
Panama,24,4.217,5.557
SouthAfrica,2,4.189,0.034
USA,2484,4.014,7.513
Morocco,26,4.014,0.706
Cuba,3,3.895,0.259
Russia,8,3.871,0.057
DominicanRepublic,39,3.868,3.587
Tunisia,8,3.868,0.667
Turkey,131,2.701,1.549
Ukraine,10,2.591,0.232
