Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-01-01 00:00,3.589,0.105,0,0,0,0,v
2018-01-01 00:06,3.904,0.118,0,0,0,0,v
2018-01-01 00:12,4.226,0.115,0,0,0,0,v
2018-01-01 00:18,4.531,0.105,0,0,0,0,v
2018-01-01 00:24,4.826,0.098,0,0,0,0,v
2018-01-01 00:30,5.098,0.095,0,0,0,0,v
2018-01-01 00:36,5.377,0.102,0,0,0,0,v
2018-01-01 00:42,5.630,0.098,0,0,0,0,v
2018-01-01 00:48,5.827,0.082,0,0,0,0,v
2018-01-01 00:54,6.043,0.075,0,0,0,0,v
2018-01-01 01:00,6.204,0.072,0,0,0,0,v
2018-01-01 01:06,6.339,0.069,0,0,0,0,v
2018-01-01 01:12,6.476,0.056,0,0,0,0,v
2018-01-01 01:18,6.588,0.066,0,0,0,0,v
2018-01-01 01:24,6.673,0.072,0,0,0,0,v
2018-01-01 01:30,6.749,0.059,0,0,0,0,v
2018-01-01 01:36,6.788,0.059,0,0,0,0,v
2018-01-01 01:42,6.785,0.052,0,0,0,0,v
2018-01-01 01:48,6.818,0.049,0,0,0,0,v
2018-01-01 01:54,6.801,0.059,0,0,0,0,v
2018-01-01 02:00,6.795,0.049,0,0,0,0,v
2018-01-01 02:06,6.788,0.056,0,0,0,0,v
2018-01-01 02:12,6.742,0.052,0,0,0,0,v
2018-01-01 02:18,6.732,0.049,0,0,0,0,v
2018-01-01 02:24,6.709,0.059,0,0,0,0,v
2018-01-01 02:30,6.680,0.056,0,0,0,0,v
2018-01-01 02:36,6.663,0.039,0,0,0,0,v
2018-01-01 02:42,6.637,0.046,0,0,0,0,v
2018-01-01 02:48,6.644,0.046,0,0,0,0,v
2018-01-01 02:54,6.624,0.049,0,0,0,0,v
2018-01-01 03:00,6.621,0.052,0,0,0,0,v
2018-01-01 03:06,6.611,0.056,0,0,0,0,v
2018-01-01 03:12,6.594,0.052,0,0,0,0,v
2018-01-01 03:18,6.585,0.052,0,0,0,0,v
2018-01-01 03:24,6.575,0.046,0,0,0,0,v
2018-01-01 03:30,6.526,0.062,0,0,0,0,v
