2020/06/07 01:37:47 UTC
"
North America
","2,257,768","+3,901","135,126",+355,"916,621","1,206,021","19,424",,,,,,North America
"
South America
","1,114,669","+2,243","48,750",+69,"525,357","540,562","11,778",,,,,,South America
"
Europe
","2,078,732",,"178,583",,"1,073,597","826,552","7,186",,,,,,Europe
"
Asia
","1,326,492",+63,"34,367",,"803,165","488,960","14,729",,,,,,Asia
"
Africa
","185,996",,"5,082",,"83,432","97,482",463,,,,,,Africa
"
Oceania
","8,865",,124,,"8,275",466,2,,,,,,Australia/Oceania
"

",721,,15,,651,55,4,,,,,,
World,"6,973,243","+6,207","402,047",+424,"3,411,098","3,160,098","53,586",895,51.6,,,,All
USA,"1,988,544",,"112,096 ",,"751,894","1,124,554","17,021","6,010",339,"20,818,428","62,919","330,875,237 ",North America
Brazil,"675,830","+2,243","36,026 ",+69,"302,084","337,720","8,318","3,181",170,"999,836","4,706","212,459,250 ",South America
Russia,"458,689",,"5,725 ",,"221,388","231,576","2,300","3,143",39,"12,388,968","84,896","145,930,530 ",Europe
Spain,"288,390",,"27,135 ",,N/A,N/A,617,"6,168",580,"4,063,843","86,920","46,753,640 ",Europe
UK,"284,868",,"40,465 ",,N/A,N/A,604,"4,198",596,"5,438,712","80,143","67,862,715 ",Europe
India,"246,622",,"6,946 ",,"118,695","120,981","8,944",179,5,"4,524,317","3,281","1,379,085,538 ",Asia
Italy,"234,801",,"33,846 ",,"165,078","35,877",293,"3,883",560,"4,187,057","69,245","60,467,327 ",Europe
Peru,"191,758",,"5,301 ",,"82,731","103,726","1,062","5,821",161,"1,173,003","35,611","32,939,749 ",South America
Germany,"185,696",,"8,769 ",,"168,900","8,027",576,"2,217",105,"4,348,880","51,917","83,766,726 ",Europe
Iran,"169,425",,"8,209 ",,"132,038","29,178","2,578","2,019",98,"1,040,289","12,396","83,918,450 ",Asia
Turkey,"169,218",,"4,669 ",,"135,322","29,227",591,"2,008",55,"2,303,258","27,330","84,277,161 ",Asia
France,"153,634",,"29,142 ",,"70,806","53,686","1,059","2,354",447,"1,384,633","21,216","65,264,303 ",Europe
Chile,"127,745",,"1,541 ",,"95,631","30,573","1,524","6,686",81,"687,510","35,985","19,105,196 ",South America
Mexico,"113,619","+3,593","13,511 ",+341,"81,544","18,564",378,882,105,"332,326","2,579","128,840,531 ",North America
Saudi Arabia,"98,869",,676 ,,"71,791","26,402","1,484","2,843",19,"933,201","26,835","34,775,495 ",Asia
Canada,"95,057",,"7,773 ",,"53,614","33,670","1,738","2,520",206,"1,868,277","49,530","37,719,929 ",North America
Pakistan,"93,983",,"1,935 ",,"32,581","59,467",111,426,9,"660,508","2,994","220,579,815 ",Asia
Qatar,"67,195",,51 ,,"42,527","24,617",238,"23,932",18,"251,391","89,533","2,807,805 ",Asia
Bangladesh,"63,026",,846 ,,"13,325","48,855",1,383,5,"384,851","2,338","164,578,152 ",Asia
Belgium,"59,072",,"9,580 ",,"16,190","33,302",121,"5,098",827,"923,820","79,733","11,586,352 ",Europe
Belarus,"47,751",,263 ,,"23,015","24,473",92,"5,053",28,"609,671","64,519","9,449,517 ",Europe
Netherlands,"47,335",,"6,011 ",,N/A,N/A,97,"2,763",351,"388,113","22,654","17,132,455 ",Europe
South Africa,"45,973",,952 ,,"24,258","20,763",208,776,16,"891,668","15,047","59,256,948 ",Africa
Sweden,"43,887",,"4,656 ",,N/A,N/A,198,"4,347",461,"275,500","27,290","10,095,119 ",Europe
Ecuador,"41,575",,"3,534 ",,"20,568","17,473",252,"2,359",201,"120,845","6,857","17,624,147 ",South America
UAE,"38,268",,275 ,,"21,061","16,932",1,"3,872",28,"2,500,000","252,981","9,882,167 ",Asia
Colombia,"38,027",,"1,205 ",,"14,382","22,440",335,748,24,"399,505","7,857","50,845,925 ",South America
Singapore,"37,527",,25 ,,"24,559","12,943",4,"6,418",4,"408,495","69,861","5,847,274 ",Asia
Portugal,"34,351",,"1,474 ",,"20,807","12,070",58,"3,368",145,"873,998","85,698","10,198,527 ",Europe
Egypt,"32,612",,"1,198 ",,"8,538","22,876",41,319,12,"135,000","1,321","102,194,352 ",Africa
Kuwait,"31,131",,254 ,,"19,282","11,595",180,"7,297",60,"311,624","73,046","4,266,127 ",Asia
Switzerland,"30,956",,"1,921 ",,"28,700",335,28,"3,579",222,"419,980","48,550","8,650,419 ",Europe
Indonesia,"30,514",,"1,801 ",,"9,907","18,806",,112,7,"394,068","1,442","273,326,601 ",Asia
Ukraine,"26,514",,777 ,,"11,812","13,925",301,606,18,"414,542","9,475","43,749,418 ",Europe
Poland,"25,986",,"1,153 ",,"12,641","12,192",160,687,30,"1,038,281","27,432","37,849,184 ",Europe
Ireland,"25,183",,"1,678 ",,"22,698",807,36,"5,104",340,"348,416","70,615","4,934,012 ",Europe
Argentina,"22,020",,648  ,,"6,180","15,192",274,488,14,"189,278","4,191","45,167,831 ",South America
Philippines,"21,340",,994 ,,"4,441","15,905",82,195,9,"420,114","3,837","109,479,612 ",Asia
Romania,"20,290",,"1,322 ",,"14,419","4,549",153,"1,054",69,"496,408","25,794","19,245,295 ",Europe
Afghanistan,"19,551",,327 ,,"1,830","17,394",19,503,8,"45,900","1,181","38,862,972 ",Asia
Dominican Republic,"19,195",,536 ,,"11,919","6,740",110,"1,771",49,"90,141","8,315","10,840,532 ",North America
Israel,"17,752",,295 ,,"15,042","2,415",29,"1,930",32,"637,863","69,351","9,197,590 ",Asia
Japan,"17,103",,914 ,,"15,079","1,110",99,135,7,"311,447","2,462","126,500,104 ",Asia
Austria,"16,898",,672 ,,"15,789",437,17,"1,877",75,"485,912","53,972","9,003,029 ",Europe
Oman,"16,016",,72 ,,"3,451","12,493",67,"3,142",14,"105,772","20,753","5,096,732 ",Asia
Panama,"16,004",,386 ,,"10,118","5,500",82,"3,713",90,"72,697","16,867","4,309,953 ",North America
Bahrain,"14,383",,24 ,,"9,056","5,303",15,"8,477",14,"361,376","212,981","1,696,755 ",Asia
Bolivia,"12,728",,427 ,,"1,739","10,562",3,"1,091",37,"28,239","2,421","11,661,915 ",South America
Kazakhstan,"12,511",,53 ,,"7,135","5,323",62,667,3,"915,904","48,819","18,761,243 ",Asia
Armenia,"12,364",,190 ,,"3,720","8,454",10,"4,173",64,"66,674","22,503","2,962,891 ",Asia
Nigeria,"12,233",,342 ,,"3,826","8,065",7,59,2,"74,999",365,"205,752,194 ",Africa
