Country,Deaths/Mil.,2020/11/08 06:12:12 UTC
World,2294.585
Total:,2294.585
"
North America
",667.275
Total:,667.275
"
Europe
",643.450
Total:,643.450
"
South America
",535.982
Total:,535.982
USA,441.468
"
Asia
",407.683
Total:,407.683
Iran,309.399
Mexico,279.711
Brazil,238.769
India,132.631
Argentina,123.837
Italy,119.846
France,101.554
Spain,80.076
Turkey,75.285
Colombia,68.147
"
Africa
",58.457
Total:,58.457
UK,49.454
Germany,46.071
Russia,39.671
Peru,38.399
Belgium,38.238
Philippines,28.176
Romania,27.499
Poland,26.540
Ecuador,25.263
Chile,20.467
Moldova,19.610
Pakistan,18.700
Morocco,15.561
South Africa,14.682
Czechia,13.728
Netherlands,12.401
Saudi Arabia,11.958
Canada,9.600
Hungary,9.096
Iraq,8.940
Tunisia,6.939
Portugal,6.006
Bulgaria,5.938
Switzerland,5.643
Ethiopia,4.682
Jordan,4.496
Bolivia,4.382
Austria,4.041
Sweden,3.783
Kazakhstan,3.533
Afghanistan,3.443
Japan,3.313
Ukraine,3.263
Dominican Republic,3.072
Greece,2.829
Israel,2.664
Panama,2.550
Paraguay,2.452
Egypt,2.391
Costa Rica,2.252
Lebanon,2.137
Slovenia,2.135
Uzbekistan,2.127
Oman,1.591
El Salvador,1.523
Croatia,1.488
Ireland,1.200
Cameroon,1.171
Serbia,1.118
Kenya,1.107
Slovakia,1.039
Venezuela,1.018
S. Korea,1.011
Algeria,0.962
Angola,0.835
North Macedonia,0.716
Kuwait,0.702
Honduras,0.659
"
Oceania
",0.632
Total:,0.632
Malaysia,0.623
Lithuania,0.572
Channel Islands,0.521
Niger,0.500
Kyrgyzstan,0.451
Montenegro,0.417
Denmark,0.396
China,0.376
Luxembourg,0.337
Albania,0.329
Guyana,0.329
Guadeloupe,0.320
Andorra,0.310
Tanzania,0.289
Finland,0.271
Cabo Verde,0.248
Madagascar,0.228
Norway,0.223
Nigeria,0.181
Eswatini,0.176
Guatemala,0.172
Malta,0.158
Sint Maarten,0.156
Guinea,0.141
Hong Kong,0.140
Jamaica,0.138
Martinique,0.125
Malawi,0.124
Uruguay,0.124
Latvia,0.122
Liberia,0.114
Suriname,0.108
Cuba,0.107
French Polynesia,0.098
Bahrain,0.095
Ghana,0.092
Bahamas,0.088
Guinea-Bissau,0.087
"

",0.083
Total:,0.083
San Marino,0.081
Saint Martin,0.079
Estonia,0.074
Diamond Princess,0.073
Qatar,0.069
Mauritania,0.063
Gabon,0.061
Réunion,0.060
Mayotte,0.059
Liechtenstein,0.059
Trinidad and Tobago,0.057
Cyprus,0.042
Maldives,0.039
Aruba,0.035
Australia,0.033
Equatorial Guinea,0.033
Belize,0.033
Namibia,0.031
CAR,0.025
Senegal,0.021
Monaco,0.021
Thailand,0.016
Iceland,0.014
Turks and Caicos,0.008
French Guiana,0.007
Cayman Islands,0.004
Botswana,0.003
Curaçao,0.002
