2020/04/13 20:57:27 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3341,879.525,2.318
S.Korea,217,199.643,4.242
Taiwan,6,92.895,0.260
Martinique,6,92.774,15.975
Guadeloupe,8,84.281,19.972
TrinidadandTobago,8,66.079,5.735
Iceland,8,53.254,23.444
Australia,61,52.242,2.389
HongKong,4,49.119,0.535
Jordan,7,42.698,0.680
Venezuela,9,37.441,0.298
Norway,134,37.239,24.718
Austria,368,36.339,40.860
Zambia,2,33.906,0.089
Luxembourg,69,33.089,110.228
Thailand,40,32.370,0.574
Lebanon,20,31.209,2.943
Montenegro,3,29.934,4.774
Uruguay,8,28.979,2.300
Switzerland,1138,28.387,131.485
Slovenia,55,28.293,26.456
Estonia,28,26.352,21.105
Italy,20465,26.198,338.440
Latvia,5,25.622,2.649
Iran,4585,25.276,54.605
Palestine,2,24.666,0.390
SriLanka,7,24.491,0.323
NewZealand,5,24.429,1.038
Greece,99,24.179,9.508
Albania,23,22.664,7.979
Jamaica,4,22.440,1.333
Cameroon,12,22.045,0.454
Armenia,14,21.957,4.730
Bulgaria,32,21.923,4.625
Spain,17628,21.272,377.027
Lithuania,24,21.010,8.814
Germany,3043,20.822,36.314
Tunisia,34,20.654,2.857
Barbados,4,20.444,13.915
Malaysia,77,20.302,2.382
Czechia,143,20.180,13.345
Senegal,2,19.194,0.117
Andorra,29,19.088,375.339
Paraguay,6,18.446,0.857
Syria,2,17.680,0.080
Kenya,9,17.647,0.173
Mauritius,9,17.110,7.083
Honduras,25,16.915,2.519
Congo,5,16.866,0.917
Iraq,78,16.725,1.925
SanMarino,35,16.649,1031.517
Israel,116,16.350,13.406
Philippines,315,16.267,2.874
CostaRica,3,16.247,0.588
Denmark,285,16.179,49.214
ChannelIslands,9,16.174,51.771
Croatia,25,16.158,6.091
SintMaarten,9,16.114,209.880
Angola,2,15.888,0.063
SouthAfrica,27,15.313,0.452
Nigeria,10,14.662,0.062
Algeria,313,14.621,7.103
France,14967,14.558,229.245
Finland,59,14.178,10.648
Mayotte,3,14.175,11.000
Netherlands,2823,14.062,164.802
Argentina,97,13.813,2.153
Cyprus,12,13.736,9.934
BurkinaFaso,27,13.292,1.304
World,119090,13.249,15.280
Total:,119090,13.249,15.280
Portugal,535,13.215,52.476
Georgia,3,13.136,0.750
Pakistan,93,12.836,0.423
DRC,20,12.830,0.255
Belgium,3903,12.602,336.723
Togo,3,12.360,0.351
NorthMacedonia,38,12.001,18.244
Sweden,919,11.601,90.993
Slovakia,2,11.443,0.365
AntiguaandBarbuda,2,11.351,20.435
BosniaandHerzegovina,39,11.261,11.884
Bermuda,4,11.228,64.211
Canada,767,11.091,20.322
Guyana,6,11.043,7.600
Chile,82,10.867,4.293
Poland,245,10.737,6.466
Morocco,126,10.695,3.431
Malta,3,10.416,6.797
Bahamas,8,10.049,20.426
Romania,331,9.870,17.216
USA,23462,9.846,70.899
Haiti,3,9.498,0.300
Kazakhstan,12,9.397,0.638
Ethiopia,3,9.333,0.024
Panama,87,9.041,20.164
UK,11329,8.974,166.827
DominicanRepublic,177,8.829,16.320
IsleofMan,2,8.751,23.521
Qatar,7,8.552,2.429
Moldova,35,8.463,8.668
Azerbaijan,12,8.326,1.181
Bahrain,6,8.253,3.527
Bolivia,27,8.229,2.291
Afghanistan,21,8.163,0.537
Indonesia,399,8.033,1.488
Serbia,85,7.938,9.729
Egypt,164,7.771,1.573
Colombia,109,7.756,2.160
Zimbabwe,3,7.629,0.176
Kyrgyzstan,5,7.323,0.764
Kuwait,2,7.238,0.468
SaudiArabia,65,7.234,1.871
Hungary,109,7.212,11.289
Ireland,365,7.077,73.912
ElSalvador,6,7.074,0.920
Ecuador,355,6.953,20.133
Japan,123,6.916,0.968
Turkey,1296,6.899,15.370
Brazil,1328,6.831,6.235
Tanzania,3,6.798,0.049
Cuba,21,6.650,1.851
Singapore,9,6.448,1.539
Mexico,296,6.244,2.286
UAE,25,6.234,2.527
India,358,6.198,0.274
Oman,4,6.167,0.781
Guatemala,5,6.104,0.290
Ukraine,93,5.674,2.129
IvoryCoast,6,5.546,0.230
Sudan,4,5.499,0.097
Uzbekistan,4,5.264,0.120
Belize,2,5.137,5.000
Mali,10,5.043,0.488
Ghana,8,4.989,0.254
Myanmar,4,4.683,0.065
Niger,12,4.594,0.499
Russia,148,4.573,1.017
Malawi,2,4.171,0.100
Peru,193,3.620,5.859
Belarus,29,3.398,3.070
Liberia,6,3.208,1.220
Djibouti,2,2.996,2.027
Bangladesh,39,2.586,0.243
Somalia,2,2.258,0.133
