2020/09/09 00:13:23 UTC
"
North America
","7,736,704","+35,992","281,839",+790,"4,634,860","2,820,005","18,434",,,,,,North America
"
Asia
","7,976,003","+118,361","155,405","+1,645","6,445,897","1,374,701","19,211",,,,,,Asia
"
South America
","6,788,995","+39,952","220,209","+1,122","5,459,996","1,108,790","15,012",,,,,,South America
"
Europe
","3,868,008","+36,681","210,748",+471,"2,184,435","1,472,825","6,141",,,,,,Europe
"
Africa
","1,319,605","+7,422","31,787",+212,"1,055,238","232,580","1,464",,,,,,Africa
"
Oceania
","29,489",+64,801,+8,"25,168","3,520",38,,,,,,Australia/Oceania
"

",721,,15,,651,55,4,,,,,,
World,"27,719,525","+238,472","900,804","+4,248","19,806,245","7,012,476","60,304","3,556",115.6,,,,All
USA,"6,512,817","+27,147","193,986 ",+452,"3,790,136","2,528,695","14,541","19,654",585,"88,591,007","267,345","331,372,810 ",North America
India,"4,367,436","+89,852","73,923 ","+1,107","3,396,027","897,486","8,944","3,159",53,"50,650,128","36,635","1,382,567,327 ",Asia
Brazil,"4,165,124","+17,330","127,517 ",+516,"3,397,234","640,373","8,318","19,569",599,"14,408,116","67,692","212,846,718 ",South America
Russia,"1,035,789","+5,099","17,993 ",+122,"850,049","167,747","2,300","7,097",123,"38,758,184","265,564","145,946,547 ",Europe
Peru,"691,575",,"29,976 ",,"522,251","139,348","1,488","20,920",907,"3,386,625","102,446","33,057,742 ",South America
Colombia,"679,513","+7,665","21,817 ",+202,"541,462","116,234",863,"13,328",428,"2,996,911","58,780","50,985,133 ",South America
South Africa,"640,441","+1,079","15,086 ",+82,"567,729","57,626",539,"10,773",254,"3,821,162","64,276","59,448,983 ",Africa
Mexico,"637,509","+3,486","67,781 ",+223,"446,715","123,013","2,836","4,935",525,"1,435,703","11,113","129,188,221 ",North America
Spain,"534,513","+8,964","29,594 ",+78,N/A,N/A,"1,034","11,431",633,"9,987,326","213,595","46,758,276 ",Europe
Argentina,"500,034","+12,027","10,405 ",+276,"366,590","123,039","2,719","11,045",230,"1,412,149","31,191","45,274,241 ",South America
Chile,"425,541","+1,267","11,682 ",+30,"397,730","16,129",930,"22,225",610,"2,669,569","139,423","19,147,292 ",South America
Iran,"391,112","+2,302","22,542 ",+132,"337,414","31,156","3,713","4,645",268,"3,431,646","40,759","84,194,553 ",Asia
UK,"352,560","+2,460","41,586 ",+32,N/A,N/A,77,"5,188",612,"17,619,897","259,291","67,954,116 ",Europe
France,"335,524","+6,544","30,764 ",+38,"88,226","216,534",574,"5,138",471,"8,500,000","130,166","65,301,291 ",Europe
Bangladesh,"329,251","+1,892","4,552 ",+36,"227,809","96,890",,"1,995",28,"1,659,697","10,059","164,999,225 ",Asia
Saudi Arabia,"322,237",+781,"4,137 ",+30,"298,246","19,854","1,428","9,229",118,"5,406,136","154,838","34,914,836 ",Asia
Pakistan,"299,233",+330,"6,350 ",+5,"286,157","6,726",606,"1,350",29,"2,802,210","12,641","221,683,215 ",Asia
Turkey,"283,270","+1,761","6,782 ",+52,"253,245","23,243","1,159","3,352",80,"7,994,029","94,593","84,510,112 ",Asia
Italy,"280,153","+1,370","35,563 ",+10,"210,801","33,789",143,"4,635",588,"9,364,213","154,922","60,444,583 ",Europe
Iraq,"269,578","+4,894","7,657 ",+68,"206,324","55,597",505,"6,675",190,"1,718,157","42,542","40,387,603 ",Asia
Germany,"254,956","+1,331","9,409 ",+4,"230,600","14,947",223,"3,041",112,"12,383,035","147,707","83,835,352 ",Europe
Philippines,"241,987","+3,260","3,916 ",+26,"185,178","52,893",982,"2,203",36,"2,873,578","26,158","109,854,237 ",Asia
Indonesia,"200,035","+3,046","8,230 ",+100,"142,958","48,847",,730,30,"2,484,807","9,066","274,068,991 ",Asia
Ukraine,"140,479","+2,411","2,934 ",+57,"63,546","73,999",177,"3,216",67,"1,709,017","39,124","43,682,293 ",Europe
Israel,"137,565","+3,590","1,040 ",+14,"107,003","29,522",454,"14,957",113,"2,488,587","270,569","9,197,590 ",Asia
Canada,"133,748","+1,606","9,153 ",+7,"117,565","7,030",54,"3,538",242,"5,891,121","155,830","37,804,826 ",North America
Bolivia,"121,604",+835,"7,054 ",+46,"73,150","41,400",71,"10,391",603,"253,647","21,674","11,702,818 ",South America
Qatar,"120,579",+231,205 ,,"117,497","2,877",49,"42,944",73,"667,936","237,885","2,807,805 ",Asia
Ecuador,"110,757",+665,"10,627 ",+51,"91,242","8,888",377,"6,260",601,"333,977","18,876","17,692,994 ",South America
Kazakhstan,"106,425",+64,"1,588 ",,"99,893","4,944",221,"5,655",84,"2,571,562","136,648","18,818,912 ",Asia
Egypt,"100,228",+187,"5,560 ",+19,"79,886","14,782",41,976,54,"135,000","1,315","102,690,815 ",Africa
Dominican Republic,"100,131",+233,"1,889 ",+25,"73,795","24,447",210,"9,213",174,"400,138","36,816","10,868,449 ",North America
Panama,"98,407",+829,"2,107 ",+8,"70,751","25,549",132,"22,740",487,"374,599","86,564","4,327,410 ",North America
Romania,"97,033","+1,136","3,967 ",+41,"40,838","52,228",460,"5,051",206,"1,966,290","102,344","19,212,516 ",Europe
Kuwait,"91,244",+857,548 ,+2,"81,654","9,042",89,"21,307",128,"648,051","151,330","4,282,356 ",Asia
Belgium,"88,769",+402,"9,909 ",+2,"18,576","60,284",52,"7,653",854,"2,449,055","211,139","11,599,276 ",Europe
Oman,"87,590",+262,742 ,+8,"82,973","3,875",161,"17,073",145,"309,212","60,273","5,130,194 ",Asia
Sweden,"85,707",,"5,838 ",+4,N/A,N/A,13,"8,476",577,"1,124,269","111,190","10,111,264 ",Europe
Guatemala,"78,721",+893,"2,890 ",+28,"67,462","8,369",5,"4,379",161,"263,085","14,635","17,976,822 ",North America
Netherlands,"76,548",+964,"6,244 ",+1,N/A,N/A,45,"4,465",364,"1,648,103","96,143","17,142,164 ",Europe
Morocco,"75,721","+1,941","1,427 ",+33,"57,239","17,055",240,"2,047",39,"2,115,390","57,184","36,992,794 ",Africa
UAE,"75,098",+644,391 ,+1,"66,943","7,764",,"7,576",39,"7,704,318","777,205","9,912,851 ",Asia
Belarus,"73,208",+177,721 ,+5,"71,916",571,,"7,748",76,"1,591,247","168,409","9,448,722 ",Europe
Japan,"72,234",+378,"1,377 ",+14,"63,282","7,575",202,571,11,"1,622,149","12,833","126,401,103 ",Asia
Poland,"71,526",+400,"2,136 ",+12,"55,910","13,480",81,"1,890",56,"2,841,344","75,091","37,838,578 ",Europe
Honduras,"64,814",+50,"2,023 ",+16,"13,828","48,963",36,"6,525",204,"154,241","15,527","9,933,918 ",North America
Portugal,"60,895",+388,"1,846 ",+3,"43,146","15,903",50,"5,975",181,"2,153,615","211,327","10,190,924 ",Europe
Ethiopia,"60,784","+1,136",949 ,+16,"22,677","37,158",309,526,8,"1,078,269","9,337","115,481,268 ",Africa
Singapore,"57,091",+47,27 ,,"56,461",603,,"9,744",5,"2,068,284","353,005","5,859,075 ",Asia
Bahrain,"56,778",+702,202 ,+2,"51,574","5,002",30,"33,164",118,"1,194,923","697,956","1,712,032 ",Asia
Nigeria,"55,456",+296,"1,067 ",+6,"43,334","11,055",7,268,5,"426,803","2,061","207,068,357 ",Africa
Venezuela,"54,350",,436 ,,"43,753","10,161",111,"1,912",15,"1,805,766","63,538","28,420,266 ",South America
Costa Rica,"49,897","+1,117",531 ,+21,"19,285","30,081",236,"9,778",104,"166,786","32,684","5,102,920 ",North America
Nepal,"48,138",+902,306 ,+6,"32,964","14,868",,"1,647",10,"788,174","26,961","29,233,798 ",Asia
Algeria,"46,938",+285,"1,571 ",+9,"33,183","12,184",35,"1,067",36,,,"43,997,567 ",Africa
Ghana,"45,012",+143,283 ,,"43,898",831,5,"1,443",9,"448,820","14,389","31,192,083 ",Africa
Armenia,"44,953",+108,903 ,+3,"40,592","3,458",,"15,165",305,"221,041","74,567","2,964,309 ",Asia
Switzerland,"44,837",+245,"2,018 ",+4,"37,700","5,119",25,"5,174",233,"1,111,984","128,306","8,666,651 ",Europe
Kyrgyzstan,"44,487",+29,"1,060 ",,"40,092","3,335",24,"6,798",162,"267,718","40,909","6,544,193 ",Asia
Uzbekistan,"44,281",+388,358 ,+6,"41,594","2,329",224,"1,319",11,"1,377,915","41,059","33,559,779 ",Asia
Moldova,"40,556",+501,"1,087 ",+13,"28,578","10,891",549,"10,058",270,"210,553","52,219","4,032,141 ",Europe
Afghanistan,"38,520",+26,"1,418 ",+3,"30,715","6,387",93,985,36,"105,213","2,692","39,088,687 ",Asia
Azerbaijan,"37,557",+139,552 ,+1,"34,965","2,040",,"3,698",54,"967,040","95,214","10,156,475 ",Asia
Kenya,"35,356",+151,599 ,,"21,483","13,274",44,655,11,"474,477","8,789","53,988,201 ",Africa
Serbia,"31,994",+53,727 ,+2,"30,637",630,38,"3,665",83,"993,140","113,755","8,730,506 ",Europe
Austria,"30,081",+520,747 ,+1,"25,629","3,705",28,"3,336",83,"1,266,223","140,439","9,016,202 ",Europe
Ireland,"30,080",+306,"1,778 ",+1,"23,364","4,938",7,"6,079",359,"913,168","184,547","4,948,171 ",Europe
Czechia,"29,877","+1,161",441 ,+4,"20,139","9,297",62,"2,789",41,"982,811","91,742","10,712,805 ",Europe
Palestine,"27,363",+584,190 ,+6,"17,779","9,394",,"5,341",37,"306,621","59,851","5,123,061 ",Asia
El Salvador,"26,511",+98,765 ,+1,"16,462","9,284",236,"4,083",118,"335,099","51,614","6,492,458 ",North America
Australia,"26,374",+52,770 ,+8,"22,724","2,880",29,"1,032",30,"6,725,558","263,174","25,555,531 ",Australia/Oceania
Paraguay,"23,353",,449 ,,"11,524","11,380",101,"3,267",63,"211,956","29,648","7,148,989 ",South America
Bosnia and Herzegovina,"21,961",+301,669 ,+5,"15,172","6,120",,"6,702",204,"200,525","61,195","3,276,820 ",Europe
S. Korea,"21,432",+136,341 ,+5,"16,636","4,455",151,418,7,"2,066,078","40,292","51,277,698 ",Asia
Lebanon,"21,324",+498,207 ,+7,"6,722","14,395",122,"3,127",30,"599,254","87,874","6,819,477 ",Asia
Cameroon,"19,848",+244,415 ,,"18,448",985,30,744,16,"149,000","5,588","26,665,949 ",Africa
Libya,"19,583",+749,314 ,+18,"2,247","17,022",,"2,843",46,"133,989","19,450","6,888,779 ",Africa
Ivory Coast,"18,778",+77,119 ,,"17,688",971,,709,4,"135,277","5,105","26,497,023 ",Africa
Denmark,"18,356",+243,628 ,,"15,907","1,821",2,"3,167",108,"2,750,858","474,604","5,796,113 ",Europe
Bulgaria,"17,313",+167,692 ,+15,"12,297","4,324",57,"2,495",100,"446,303","64,326","6,938,165 ",Europe
Madagascar,"15,435",+83,206 ,+4,"14,219","1,010",53,555,7,"61,631","2,215","27,820,103 ",Africa
North Macedonia,"15,226",+99,631  ,+8,"12,700","1,895",7,"7,308",303,"158,003","75,841","2,083,357 ",Europe
Senegal,"14,044",+30,292 ,+1,"10,037","3,715",36,835,17,"154,258","9,169","16,823,797 ",Africa
Sudan,"13,437",,833 ,,"6,730","5,874",,305,19,,,"44,036,091 ",Africa
Zambia,"12,952",+116,297 ,+2,"11,787",868,,701,16,"125,070","6,769","18,476,730 ",Africa
Croatia,"12,285",+204,203 ,+2,"9,553","2,529",23,"2,996",50,"196,966","48,037","4,100,306 ",Europe
Greece,"11,832",+169,290 ,+1,"3,804","7,738",42,"1,136",28,"1,050,259","100,859","10,413,105 ",Europe
Norway,"11,623",+102,264 ,,"9,348","2,011",1,"2,141",49,"816,866","150,455","5,429,288 ",Europe
Albania,"10,553",+147,321 ,+2,"6,239","3,993",21,"3,668",112,"65,159","22,647","2,877,188 ",Europe
DRC,"10,292",+59,260 ,,"9,501",531,,114,3,,,"90,048,792 ",Africa
Guinea,"9,848",+32,63 ,+1,"9,009",776,24,746,5,"26,775","2,029","13,197,140 ",Africa
Malaysia,"9,559",+100,128 ,,"9,136",295,7,295,4,"1,307,454","40,299","32,443,761 ",Asia
French Guiana,"9,387",+32,62 ,,"8,946",379,7,"31,281",207,"57,250","190,779","300,085 ",South America
Hungary,"9,304",+341,626 ,+1,"3,972","4,706",11,964,65,"487,146","50,452","9,655,582 ",Europe
Namibia,"8,928",+118,91 ,,"3,981","4,856",19,"3,502",36,"72,186","28,315","2,549,419 ",Africa
Tajikistan,"8,860",+36,70 ,,"7,650","1,140",,925,7,,,"9,576,830 ",Asia
Maldives,"8,741",+74,29 ,,"6,157","2,555",12,"16,118",53,"123,472","227,679","542,308 ",Asia
Gabon,"8,608",,53 ,,"7,533","1,022",2,"3,851",24,"127,759","57,155","2,235,312 ",Africa
Haiti,"8,376",+14,214 ,,"5,991","2,171",,733,19,"24,811","2,171","11,428,634 ",North America
Finland,"8,337",+10,336 ,,"7,350",651,1,"1,504",61,"760,700","137,252","5,542,378 ",Europe
Zimbabwe,"7,388",+90,218 ,+8,"5,477","1,693",,496,15,"152,262","10,217","14,903,319 ",Africa
Mauritania,"7,165",,160 ,,"6,681",324,3,"1,534",34,"69,937","14,970","4,671,785 ",Africa
Luxembourg,"6,974",+14,124 ,,"6,256",594,,"11,107",197,"694,495","1,106,111","627,871 ",Europe
Montenegro,"5,875",+216,112 ,+3,"4,312","1,451",,"9,354",178,"53,650","85,419","628,081 ",Europe
Malawi,"5,630",+9,176 ,,"3,630","1,824",4,293,9,"46,857","2,438","19,219,556 ",Africa
Djibouti,"5,388",,61 ,,"5,327",0,,"5,439",62,"70,111","70,770","990,683 ",Africa
Tunisia,"5,124",,94 ,,"1,788","3,242",21,433,8,"159,597","13,477","11,841,944 ",Africa
Equatorial Guinea,"4,985",,83 ,,"4,454",448,,"3,533",59,"54,822","38,848","1,411,179 ",Africa
Eswatini,"4,904",+20,96 ,+2,"4,059",749,11,"4,219",83,"30,635","26,354","1,162,430 ",Africa
