,都道府県,"2015年
(平成27年)"
,,
Zenkoku,全国,127094745
Tokyo," 
東京都",13515271
Kanagawa," 
神奈川県",9126214
Osaka," 
大阪府",8839469
Aichi," 
愛知県",7483128
Saitama," 
埼玉県",7266534
Chiba," 
千葉県",6222666
Hyogo," 
兵庫県",5534800
Hokkaido," 
北海道",5381733
Fukuoka,福岡県,5101556
Shizuoka,静岡県,3700305
Ibaraki,茨城県,2916976
Hiroshima,広島県,2843990
Kyoto,京都府,2610353
Miyagi,宮城県,2333899
Niigata,新潟県,2304264
Nagano,長野県,2098804
Gifu,岐阜県,2031903
Tochigi,栃木県,1974255
Gunma,群馬県,1973115
Okayama,岡山県,1921525
Fukushima,福島県,1914039
Mie,三重県,1815865
Kumamoto,熊本県,1786170
Kagosima,鹿児島県,1648177
Okinawa,沖縄県,1433566
Shiga,滋賀県,1412916
Yamaguchi,山口県,1404729
Ehime,愛媛県,1385262
Nagasaki,長崎県,1377187
Nara,奈良県,1364316
Aomori,青森県,1308265
Iwate,岩手県,1279594
Oita,大分県,1166338
Ishikawa,石川県,1154008
Yamagata,山形県,1123891
Miyazaki,宮崎県,1104069
Toyama,富山県,1066328
Akita,秋田県,1023119
Kagawa,香川県,976263
Wakayama,和歌山県,963579
Yamanashi,山梨県,834930
Saga,佐賀県,832832
Fukui,福井県,786740
Tokushima,徳島県,755733
Kochi,高知県,728276
Shimane,島根県,694352
Tottori,鳥取県,573441
