name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1834,85,1644.0,105.0,2,0.0,47473.0
Aomori,青森県,35,2,32.0,1.0,0,0.0,2153.0
Iwate,岩手県,23,5,18.0,0.0,0,0.0,3458.0
Miyagi,宮城県,249,43,204.0,2.0,0,0.0,8369.0
Akita,秋田県,50,3,47.0,0.0,0,0.0,1841.0
Yamagata,山形県,78,2,76.0,1.0,1,1.0,3133.0
Fukushima,福島県,184,50,134.0,0.0,2,0.0,16069.0
Ibaraki,茨城県,588,56,518.0,14.0,3,0.0,11350.0
Tochigi,栃木県,316,18,299.0,1.0,1,2.0,24434.0
Gunma,群馬県,497,70,403.0,19.0,0,5.0,16123.0
Saitama,埼玉県,4148,352,3701.0,95.0,10,0.0,119096.0
Chiba,千葉県,3258,294,2900.0,64.0,8,0.0,60485.0
Tokyo,東京都,22019,2201,19440.0,378.0,21,0.0,360918.0
Kanagawa,神奈川県,5523,589,4808.0,126.0,30,0.0,125034.0
Niigata,新潟県,146,6,140.0,0.0,1,0.0,13473.0
Toyama,富山県,407,31,354.0,25.0,1,3.0,10437.0
Ishikawa,石川県,712,111,562.0,39.0,2,0.0,9728.0
Fukui,福井県,244,53,181.0,8.0,5,2.0,8967.0
Yamanashi,山梨県,178,10,163.0,5.0,1,0.0,9851.0
Nagano,長野県,292,39,258.0,1.0,0,6.0,16526.0
Gifu,岐阜県,566,18,538.0,10.0,2,0.0,19111.0
Shizuoka,静岡県,494,26,467.0,1.0,2,0.0,27924.0
Aichi,愛知県,4719,489,4156.0,74.0,15,0.0,59105.0
Mie,三重県,435,83,349.0,3.0,2,0.0,10665.0
Shiga,滋賀県,465,44,414.0,7.0,2,0.0,10102.0
Kyoto,京都府,1583,148,1410.0,25.0,3,0.0,34296.0
Osaka,大阪府,9169,832,8162.0,168.0,44,7.0,149366.0
Hyogo,兵庫県,2360,113,2193.0,54.0,10,0.0,47485.0
Nara,奈良県,539,36,495.0,8.0,2,0.0,15262.0
Wakayama,和歌山県,235,3,225.0,4.0,0,3.0,8816.0
Tottori,鳥取県,22,0,22.0,0.0,0,0.0,4592.0
Shimane,島根県,137,0,137.0,0.0,0,0.0,5027.0
Okayama,岡山県,146,4,141.0,,-,1.0,7049.0
Hiroshima,広島県,460,10,447.0,3.0,0,0.0,18408.0
Yamaguchi,山口県,184,55,129.0,0.0,1,0.0,7349.0
Tokushima,徳島県,146,57,81.0,6.0,3,2.0,6389.0
Kagawa,香川県,85,10,73.0,2.0,0,0.0,8883.0
Ehime,愛媛県,114,1,107.0,6.0,0,0.0,3884.0
Kochi,高知県,134,6,123.0,3.0,1,2.0,3234.0
Fukuoka,福岡県,4834,696,4067.0,71.0,19,0.0,43293.0
Saga,佐賀県,242,8,234.0,0.0,0,0.0,5310.0
Nagasaki,長崎県,234,19,208.0,3.0,0,4.0,15654.0
Kumamoto,熊本県,551,50,484.0,8.0,0,9.0,12359.0
Oita,大分県,157,18,137.0,2.0,0,0.0,13756.0
Miyazaki,宮崎県,339,18,321.0,1.0,0,1.0,8198.0
Kagoshima,鹿児島県,371,36,324.0,11.0,1,0.0,16769.0
Okinawa,沖縄県,2238,298,1906.0,38.0,7,4.0,26337.0
Zenkoku,全国,71740,7098,63232.0,1392.0,,,
