name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections,ISO3155-2
Hokkaido,北海道,17626,1335,15688.0,608.0,12.0,5.0,324004.0,JP-01
Aomori,青森県,724,55,656.0,13.0,1.0,0.0,13444.0,JP-02
Iwate,岩手県,499,19,453.0,27.0,2.0,0.0,20161.0,JP-03
Miyagi,宮城県,3420,241,3157.0,22.0,8.0,0.0,48574.0,JP-04
Akita,秋田県,262,42,217.0,3.0,0.0,0.0,6725.0,JP-05
Yamagata,山形県,510,61,436.0,13.0,2.0,0.0,14690.0,JP-06
Fukushima,福島県,1737,218,1473.0,46.0,11.0,0.0,86592.0,JP-07
Ibaraki,茨城県,4875,608,4199.0,68.0,15.0,0.0,23454.0,JP-08
Tochigi,栃木県,3791,410,3332.0,49.0,13.0,0.0,107069.0,JP-09
Gunma,群馬県,3930,353,3506.0,71.0,13.0,0.0,76929.0,JP-10
Saitama,埼玉県,25594,3892,21337.0,365.0,71.0,0.0,459924.0,JP-11
Chiba,千葉県,22730,5558,16994.0,268.0,46.0,90.0,332434.0,JP-12
Tokyo,東京都,100790,10765,89108.0,917.0,129.0,0.0,1334722.0,JP-13
Kanagawa,神奈川県,41172,2783,37908.0,481.0,99.0,0.0,504498.0,JP-14
Niigata,新潟県,921,104,807.0,10.0,2.0,0.0,37118.0,JP-15
Toyama,富山県,873,39,807.0,27.0,2.0,0.0,31259.0,JP-16
Ishikawa,石川県,1473,86,1339.0,58.0,3.0,10.0,41219.0,JP-17
Fukui,福井県,517,65,432.0,20.0,4.0,0.0,27353.0,JP-18
Yamanashi,山梨県,901,29,858.0,14.0,3.0,0.0,14741.0,JP-19
Nagano,長野県,2298,150,2138.0,38.0,1.0,28.0,84306.0,JP-20
Gifu,岐阜県,4269,422,3778.0,69.0,11.0,0.0,106625.0,JP-21
Shizuoka,静岡県,4629,422,4128.0,79.0,3.0,0.0,149524.0,JP-22
Aichi,愛知県,24101,2359,21337.0,405.0,54.0,0.0,320943.0,JP-23
Mie,三重県,2232,337,1866.0,29.0,10.0,0.0,46585.0,JP-24
Shiga,滋賀県,2158,255,1870.0,33.0,7.0,0.0,57944.0,JP-25
Kyoto,京都府,8510,1360,7106.0,121.0,15.0,77.0,132891.0,JP-26
Osaka,大阪府,44111,4456,38709.0,946.0,172.0,0.0,657924.0,JP-27
Hyogo,兵庫県,16528,1801,14314.0,413.0,60.0,0.0,205268.0,JP-28
Nara,奈良県,3087,295,2752.0,40.0,4.0,0.0,69966.0,JP-29
Wakayama,和歌山県,1071,83,953.0,15.0,10.0,20.0,21677.0,JP-30
Tottori,鳥取県,202,25,172.0,2.0,0.0,3.0,34630.0,JP-31
Shimane,島根県,271,23,248.0,0.0,0.0,0.0,12166.0,JP-32
Okayama,岡山県,2354,252,2013.0,20.0,10.0,69.0,51686.0,JP-33
Hiroshima,広島県,4827,295,4418.0,94.0,11.0,20.0,120841.0,JP-34
Yamaguchi,山口県,1250,277,950.0,23.0,0.0,0.0,45815.0,JP-35
Tokushima,徳島県,389,50,325.0,14.0,2.0,0.0,22129.0,JP-36
Kagawa,香川県,665,158,492.0,15.0,1.0,0.0,37851.0,JP-37
Ehime,愛媛県,996,97,878.0,21.0,3.0,0.0,25596.0,JP-38
Kochi,高知県,851,33,804.0,14.0,4.0,0.0,6936.0,JP-39
Fukuoka,福岡県,16239,2163,13883.0,193.0,39.0,0.0,374773.0,JP-40
Saga,佐賀県,957,85,880.0,4.0,2.0,12.0,24127.0,JP-41
Nagasaki,長崎県,1530,235,1271.0,31.0,3.0,7.0,57572.0,JP-42
Kumamoto,熊本県,3353,208,2961.0,63.0,21.0,121.0,51545.0,JP-43
Oita,大分県,1177,152,1008.0,17.0,2.0,0.0,65039.0,JP-44
Miyazaki,宮崎県,1853,173,1673.0,20.0,5.0,13.0,23387.0,JP-45
Kagoshima,鹿児島県,1632,188,1444.0,19.0,4.0,19.0,56867.0,JP-46
Okinawa,沖縄県,7631,726,6818.0,92.0,7.0,5.0,127156.0,JP-47
Zenkoku,全国,391516,43743,341896.0,5910.0,,,,
