date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,0,0.00,,,,,,,,,,,
2020-03-19,0,0.00,,0.00,,,,0.00,,,,,
2020-03-20,0,0.00,,0.00,,,,0.00,,,,,
2020-03-21,0,0.00,,0.00,,,,0.00,,,,,
2020-03-22,0,0.00,,0.00,,,,0.00,,,,,
2020-03-23,2,0.00,,2.00,,,,0.00,,,,,
2020-03-24,2,0.00,,0.00,,,,0.00,,,,,
2020-03-25,4,0.00,0.57,2.00,,,0.00,0.00,,,,,0.00
2020-03-26,4,0.00,1.14,0.00,0.57,0.05,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,4,0.00,1.71,0.00,0.57,0.05,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,6,0.00,2.29,2.00,0.57,0.05,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,7,0.00,3.14,1.00,0.86,0.07,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,7,0.00,4.14,0.00,1.00,0.08,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,8,0.00,4.86,1.00,0.71,0.06,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,8,0.00,5.71,0.00,0.86,0.07,0.00,0.00,0.00,0.00,2.27,,0.00
2020-04-02,9,0.00,6.29,1.00,0.57,0.05,0.00,0.00,0.00,0.00,3.01,1.34,0.00
2020-04-03,11,0.00,7.00,2.00,0.71,0.06,0.00,0.00,0.00,0.00,3.73,1.00,0.00
2020-04-04,11,0.00,8.00,0.00,1.00,0.08,0.00,0.00,0.00,0.00,4.34,1.17,0.00
2020-04-05,11,0.00,8.71,0.00,0.71,0.06,0.00,0.00,0.00,0.00,5.19,1.12,0.00
2020-04-06,11,0.00,9.29,0.00,0.57,0.05,0.00,0.00,0.00,0.00,6.53,0.79,0.00
