date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,31,0.00,,,,,,,,,,,
2020-03-19,34,0.00,,3.00,,,,0.00,,,,,
2020-03-20,39,0.00,,5.00,,,,0.00,,,,,
2020-03-21,40,0.00,,1.00,,,,0.00,,,,,
2020-03-22,42,0.00,,2.00,,,,0.00,,,,,
2020-03-23,45,0.00,,3.00,,,,0.00,,,,,
2020-03-24,46,0.00,,1.00,,,,0.00,,,,,
2020-03-25,51,0.00,39.57,5.00,,,0.00,0.00,,,,,0.00
2020-03-26,54,0.00,42.43,3.00,2.86,0.05,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,60,0.00,45.29,6.00,2.86,0.05,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,126,1.00,48.29,66.00,3.00,0.05,0.00,1.00,0.00,0.00,,,0.00
2020-03-29,160,1.00,60.57,34.00,12.29,0.20,0.14,0.00,0.14,0.00,,,0.24
2020-03-30,160,1.00,77.43,0.00,16.86,0.27,0.29,0.00,0.14,0.00,,,0.37
2020-03-31,164,1.00,93.86,4.00,16.43,0.26,0.43,0.00,0.14,0.00,,,0.46
2020-04-01,175,1.00,110.71,11.00,16.86,0.27,0.57,0.00,0.14,0.00,5.62,,0.52
2020-04-02,181,1.00,128.43,6.00,17.71,0.28,0.71,0.00,0.14,0.00,5.06,3.55,0.56
2020-04-03,192,1.00,146.57,11.00,18.14,0.29,0.86,0.00,0.14,0.00,4.65,3.68,0.58
2020-04-04,219,1.00,165.43,27.00,18.86,0.30,1.00,0.00,0.14,0.00,4.37,3.62,0.60
2020-04-05,238,1.00,178.71,19.00,13.29,0.21,1.00,0.00,0.00,0.00,4.83,1.36,0.56
2020-04-06,253,1.00,189.86,15.00,11.14,0.18,1.00,0.00,0.00,0.00,5.80,0.84,0.53
2020-04-07,284,1.00,203.14,31.00,13.29,0.21,1.00,0.00,0.00,0.00,6.89,0.76,0.49
2020-04-08,317,1.00,220.29,33.00,17.14,0.27,1.00,0.00,0.00,0.00,7.99,0.84,0.45
2020-04-09,342,1.00,240.57,25.00,20.29,0.32,1.00,0.00,0.00,0.00,8.99,0.98,0.42
2020-04-10,375,2.00,263.57,33.00,23.00,0.37,1.00,1.00,0.00,0.00,9.79,1.08,0.38
2020-04-11,411,4.00,289.71,36.00,26.14,0.42,1.14,2.00,0.14,0.00,10.42,1.15,0.39
2020-04-12,455,4.00,317.14,44.00,27.43,0.44,1.57,0.00,0.43,0.01,10.04,1.62,0.50
2020-04-13,474,4.00,348.14,19.00,31.00,0.49,2.00,0.00,0.43,0.01,9.46,1.90,0.57
2020-04-14,490,5.00,379.71,16.00,31.57,0.50,2.43,1.00,0.43,0.01,9.01,1.83,0.64
2020-04-15,525,5.00,409.14,35.00,29.43,0.47,3.00,0.00,0.57,0.01,8.91,1.55,0.73
2020-04-16,539,6.00,438.86,14.00,29.71,0.47,3.57,1.00,0.57,0.01,9.14,1.30,0.81
2020-04-17,609,6.00,467.00,70.00,28.14,0.45,4.29,0.00,0.71,0.01,9.52,1.20,0.92
2020-04-18,643,7.00,500.43,34.00,33.43,0.53,4.86,1.00,0.57,0.01,10.16,1.05,0.97
2020-04-19,661,8.00,533.57,18.00,33.14,0.53,5.29,1.00,0.43,0.01,10.64,1.15,0.99
2020-04-20,683,8.00,563.00,22.00,29.43,0.47,5.86,0.00,0.57,0.01,11.36,1.05,1.04
2020-04-21,704,11.00,592.86,21.00,29.86,0.48,6.43,3.00,0.57,0.01,12.32,0.95,1.08
2020-04-22,725,11.00,623.43,21.00,30.57,0.49,7.29,0.00,0.86,0.01,13.08,1.01,1.17
2020-04-23,749,16.00,652.00,24.00,28.57,0.45,8.14,5.00,0.86,0.01,13.82,1.02,1.25
2020-04-24,768,18.00,682.00,19.00,30.00,0.48,9.57,2.00,1.43,0.02,14.54,1.01,1.40
2020-04-25,778,19.00,704.71,10.00,22.71,0.36,11.29,1.00,1.71,0.03,15.67,0.93,1.60
2020-04-26,786,19.00,724.00,8.00,19.29,0.31,13.00,0.00,1.71,0.03,17.44,0.76,1.80
2020-04-27,793,23.00,741.86,7.00,17.86,0.28,14.57,4.00,1.57,0.03,19.29,0.74,1.96
2020-04-28,801,23.00,757.57,8.00,15.71,0.25,16.71,0.00,2.14,0.03,21.64,0.69,2.21
2020-04-29,806,23.00,771.43,5.00,13.86,0.22,18.43,0.00,1.71,0.03,24.90,0.62,2.39
2020-04-30,810,24.00,783.00,4.00,11.57,0.18,20.14,1.00,1.71,0.03,28.85,0.60,2.57
2020-05-01,816,25.00,791.71,6.00,8.71,0.14,21.29,1.00,1.14,0.02,35.13,0.51,2.69
2020-05-02,823,25.00,798.57,7.00,6.86,0.11,22.29,0.00,1.00,0.02,41.68,0.50,2.79
2020-05-03,828,26.00,805.00,5.00,6.43,0.10,23.14,1.00,0.86,0.01,49.49,0.48,2.87
2020-05-04,834,26.00,811.00,6.00,6.00,0.10,24.14,0.00,1.00,0.02,59.40,0.48,2.98
2020-05-05,835,27.00,816.86,1.00,5.86,0.09,24.57,1.00,0.43,0.01,71.20,0.50,3.01
2020-05-06,837,28.00,821.71,2.00,4.86,0.08,25.14,1.00,0.57,0.01,84.80,0.54,3.06
2020-05-07,842,33.00,826.14,5.00,4.43,0.07,25.86,5.00,0.71,0.01,100.54,0.54,3.13
