date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,1,0.00,,,,,,,,,,,
2020-03-19,1,0.00,,0.00,,,,0.00,,,,,
2020-03-20,2,0.00,,1.00,,,,0.00,,,,,
2020-03-21,2,0.00,,0.00,,,,0.00,,,,,
2020-03-22,3,0.00,,1.00,,,,0.00,,,,,
2020-03-23,3,0.00,,0.00,,,,0.00,,,,,
2020-03-24,3,0.00,,0.00,,,,0.00,,,,,
2020-03-25,3,0.00,2.14,0.00,,,0.00,0.00,,,,,0.00
2020-03-26,4,0.00,2.43,1.00,0.29,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,4,0.00,2.86,0.00,0.43,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,4,0.00,3.14,0.00,0.29,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,6,0.00,3.43,2.00,0.29,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,6,0.00,3.86,0.00,0.43,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,6,0.00,4.29,0.00,0.43,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,6,0.00,4.71,0.00,0.43,0.02,0.00,0.00,0.00,0.00,7.00,,0.00
2020-04-02,6,0.00,5.14,0.00,0.43,0.02,0.00,0.00,0.00,0.00,7.32,1.34,0.00
2020-04-03,8,0.00,5.43,2.00,0.29,0.01,0.00,0.00,0.00,0.00,8.25,1.00,0.00
2020-04-04,13,0.00,6.00,5.00,0.57,0.02,0.00,0.00,0.00,0.00,8.88,1.00,0.00
2020-04-05,16,0.00,7.29,3.00,1.29,0.05,0.00,0.00,0.00,0.00,8.67,1.64,0.00
2020-04-06,16,0.00,8.71,0.00,1.43,0.05,0.00,0.00,0.00,0.00,7.63,2.19,0.00
2020-04-07,19,0.00,10.14,3.00,1.43,0.05,0.00,0.00,0.00,0.00,6.84,2.36,0.00
2020-04-08,23,0.00,12.00,4.00,1.86,0.07,0.00,0.00,0.00,0.00,6.33,2.36,0.00
2020-04-09,25,0.00,14.43,2.00,2.43,0.09,0.00,0.00,0.00,0.00,5.73,2.85,0.00
2020-04-10,25,0.00,17.14,0.00,2.71,0.10,0.00,0.00,0.00,0.00,4.96,4.61,0.00
2020-04-11,31,0.00,19.57,6.00,2.43,0.09,0.00,0.00,0.00,0.00,4.62,3.04,0.00
2020-04-12,56,0.00,22.14,25.00,2.57,0.09,0.00,0.00,0.00,0.00,4.91,1.58,0.00
2020-04-13,57,0.00,27.86,1.00,5.71,0.20,0.00,0.00,0.00,0.00,5.20,1.52,0.00
2020-04-14,66,0.00,33.71,9.00,5.86,0.21,0.00,0.00,0.00,0.00,4.80,2.69,0.00
2020-04-15,67,0.00,40.43,1.00,6.71,0.24,0.00,0.00,0.00,0.00,4.70,2.27,0.00
2020-04-16,118,0.00,46.71,51.00,6.29,0.22,0.00,0.00,0.00,0.00,4.71,2.07,0.00
2020-04-17,124,0.00,60.00,6.00,13.29,0.48,0.00,0.00,0.00,0.00,4.84,1.82,0.00
2020-04-18,129,0.00,74.14,5.00,14.14,0.51,0.00,0.00,0.00,0.00,4.33,3.37,0.00
2020-04-19,132,0.00,88.14,3.00,14.00,0.50,0.00,0.00,0.00,0.00,4.01,3.38,0.00
2020-04-20,137,0.00,99.00,5.00,10.86,0.39,0.00,0.00,0.00,0.00,4.21,1.90,0.00
2020-04-21,138,0.00,110.43,1.00,11.43,0.41,0.00,0.00,0.00,0.00,4.50,1.55,0.00
2020-04-22,139,0.00,120.71,1.00,10.29,0.37,0.00,0.00,0.00,0.00,4.83,1.46,0.00
2020-04-23,142,1.00,131.00,3.00,10.29,0.37,0.00,1.00,0.00,0.00,5.11,1.42,0.00
2020-04-24,142,1.00,134.43,0.00,3.43,0.12,0.14,0.00,0.14,0.01,6.21,0.83,0.11
2020-04-25,143,1.00,137.00,1.00,2.57,0.09,0.29,0.00,0.14,0.01,8.15,0.36,0.21
2020-04-26,145,1.00,139.00,2.00,2.00,0.07,0.43,0.00,0.14,0.01,11.00,0.30,0.31
2020-04-27,145,1.00,140.86,0.00,1.86,0.07,0.57,0.00,0.14,0.01,14.30,0.30,0.41
2020-04-28,149,1.00,142.00,4.00,1.14,0.04,0.71,0.00,0.14,0.01,19.94,0.27,0.50
2020-04-29,153,1.00,143.57,4.00,1.57,0.06,0.86,0.00,0.14,0.01,29.88,0.21,0.60
2020-04-30,155,2.00,145.57,2.00,2.00,0.07,1.00,1.00,0.14,0.01,52.95,0.26,0.69
2020-05-01,156,2.00,147.43,1.00,1.86,0.07,1.14,0.00,0.14,0.01,60.93,0.68,0.78
2020-05-02,161,2.00,149.43,5.00,2.00,0.07,1.29,0.00,0.14,0.01,66.14,0.79,0.86
2020-05-03,162,2.00,152.00,1.00,2.57,0.09,1.43,0.00,0.14,0.01,67.07,1.00,0.94
2020-05-04,162,2.00,154.43,0.00,2.43,0.09,1.57,0.00,0.14,0.01,63.73,1.26,1.02
2020-05-05,162,2.00,156.86,0.00,2.43,0.09,1.71,0.00,0.14,0.01,57.83,1.71,1.09
2020-05-06,162,2.00,158.71,0.00,1.86,0.07,1.86,0.00,0.14,0.01,54.82,1.36,1.17
