date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR
2020-03-18,0,0.000,,,,,,,,,,,
2020-03-19,0,0.000,,0.000,,,,0.000,,,,,
2020-03-20,0,0.000,,0.000,,,,0.000,,,,,
2020-03-21,0,0.000,,0.000,,,,0.000,,,,,
2020-03-22,0,0.000,,0.000,,,,0.000,,,,,
2020-03-23,0,0.000,,0.000,,,,0.000,,,,,
2020-03-24,0,0.000,,0.000,,,,0.000,,,,,
2020-03-25,0,0.000,0.000,0.000,,,0.000,0.000,,,,,
2020-03-26,1,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
2020-03-27,1,0.000,0.143,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-03-28,1,0.000,0.286,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-03-29,1,0.000,0.429,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-03-30,1,0.000,0.571,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-03-31,1,0.000,0.714,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-04-01,2,0.000,0.857,1.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-04-02,3,0.000,1.143,1.000,0.286,0.018,0.000,0.000,0.000,0.000,,,0.000
2020-04-03,3,0.000,1.429,0.000,0.286,0.018,0.000,0.000,0.000,0.000,2.333,1.641,0.000
2020-04-04,3,0.000,1.714,0.000,0.286,0.018,0.000,0.000,0.000,0.000,3.015,1.641,0.000
2020-04-05,3,0.000,2.000,0.000,0.286,0.018,0.000,0.000,0.000,0.000,3.500,1.641,0.000
2020-04-06,3,0.000,2.286,0.000,0.286,0.018,0.000,0.000,0.000,0.000,3.873,1.641,0.000
2020-04-07,3,0.000,2.571,0.000,0.286,0.018,0.000,0.000,0.000,0.000,4.171,1.641,0.000
2020-04-08,3,0.000,2.857,0.000,0.286,0.018,0.000,0.000,0.000,0.000,4.417,1.641,0.000
2020-04-09,3,0.000,3.000,0.000,0.143,0.009,0.000,0.000,0.000,0.000,5.295,1.000,0.000
2020-04-10,3,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.540,0.610,0.000
2020-04-11,4,0.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,8.670,,0.000
2020-04-12,4,0.000,3.143,0.000,0.143,0.009,0.000,0.000,0.000,0.000,11.967,,0.000
2020-04-13,4,0.000,3.286,0.000,0.143,0.009,0.000,0.000,0.000,0.000,15.236,0.610,0.000
2020-04-14,4,0.000,3.429,0.000,0.143,0.009,0.000,0.000,0.000,0.000,19.794,0.610,0.000
2020-04-15,4,0.000,3.571,0.000,0.143,0.009,0.000,0.000,0.000,0.000,26.612,0.610,0.000
2020-04-16,4,0.000,3.714,0.000,0.143,0.009,0.000,0.000,0.000,0.000,27.829,1.000,0.000
2020-04-17,6,0.000,3.857,2.000,0.143,0.009,0.000,0.000,0.000,0.000,22.718,,0.000
2020-04-18,7,0.000,4.286,1.000,0.429,0.027,0.000,0.000,0.000,0.000,19.307,,0.000
2020-04-19,8,0.000,4.714,1.000,0.429,0.027,0.000,0.000,0.000,0.000,15.644,2.192,0.000
2020-04-20,10,0.000,5.286,2.000,0.571,0.036,0.000,0.000,0.000,0.000,13.440,2.192,0.000
2020-04-21,10,0.000,6.143,0.000,0.857,0.054,0.000,0.000,0.000,0.000,11.209,2.692,0.000
2020-04-22,10,0.000,7.000,0.000,0.857,0.054,0.000,0.000,0.000,0.000,8.947,3.596,0.000
2020-04-23,10,0.000,7.857,0.000,0.857,0.054,0.000,0.000,0.000,0.000,7.656,3.596,0.000
2020-04-24,10,0.000,8.714,0.000,0.857,0.054,0.000,0.000,0.000,0.000,6.819,3.596,0.000
2020-04-25,10,0.000,9.286,0.000,0.571,0.036,0.000,0.000,0.000,0.000,6.837,1.641,0.000
2020-04-26,10,0.000,9.714,0.000,0.429,0.027,0.000,0.000,0.000,0.000,7.158,1.228,0.000
2020-04-27,10,0.000,10.000,0.000,0.286,0.018,0.000,0.000,0.000,0.000,7.973,0.814,0.000
2020-04-28,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.957,0.456,0.000
2020-04-29,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.604,,0.000
2020-04-30,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.119,,0.000
2020-05-01,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.256,,0.000
2020-05-02,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.472,,0.000
2020-05-03,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,167.383,,0.000
2020-05-04,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-05,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-06,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-07,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-08,11,,10.000,1.000,0.000,0.000,0.000,,0.000,0.000,,,0.000
2020-05-09,11,,10.143,0.000,0.143,0.009,,,,,,,
2020-05-10,11,,10.286,0.000,0.143,0.009,,,,,342.062,,
2020-05-11,11,,10.429,0.000,0.143,0.009,,,,,172.236,,
2020-05-12,11,0.000,10.571,0.000,0.143,0.009,,,,,115.623,,
2020-05-13,11,0.000,10.714,0.000,0.143,0.009,,0.000,,,87.314,,
2020-05-14,10,0.000,10.857,-1.000,0.143,0.009,,0.000,,,70.327,,
2020-05-15,10,0.000,10.857,0.000,0.000,0.000,,0.000,,,59.000,,
2020-05-16,10,0.000,10.714,0.000,-0.143,-0.009,,0.000,,,71.297,,
2020-05-17,10,0.000,10.571,0.000,-0.143,-0.009,,0.000,,,118.858,,
2020-05-18,10,0.000,10.429,0.000,-0.143,-0.009,,0.000,,,356.619,,
2020-05-19,10,0.000,10.286,0.000,-0.143,-0.009,0.000,0.000,,,,,0.000
2020-05-20,10,0.000,10.143,0.000,-0.143,-0.009,0.000,0.000,0.000,0.000,,,0.000
2020-05-21,10,0.000,10.000,0.000,-0.143,-0.009,0.000,0.000,0.000,0.000,,,0.000
2020-05-22,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-23,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-24,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-25,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-26,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-27,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-28,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-29,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-30,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-05-31,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-01,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-02,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-03,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-04,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-05,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-06,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-07,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-08,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-09,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-10,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-11,10,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-12,11,0.000,10.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-13,11,0.000,10.143,0.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-06-14,11,0.000,10.286,0.000,0.143,0.009,0.000,0.000,0.000,0.000,342.062,,0.000
2020-06-15,11,0.000,10.429,0.000,0.143,0.009,0.000,0.000,0.000,0.000,172.236,,0.000
2020-06-16,11,0.000,10.571,0.000,0.143,0.009,0.000,0.000,0.000,0.000,115.623,,0.000
2020-06-17,11,0.000,10.714,0.000,0.143,0.009,0.000,0.000,0.000,0.000,87.314,,0.000
2020-06-18,11,0.000,10.857,0.000,0.143,0.009,0.000,0.000,0.000,0.000,70.327,,0.000
2020-06-19,11,0.000,11.000,0.000,0.143,0.009,0.000,0.000,0.000,0.000,59.000,,0.000
2020-06-20,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,59.809,1.000,0.000
2020-06-21,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,72.268,,0.000
2020-06-22,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.954,,0.000
2020-06-23,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,122.093,,0.000
2020-06-24,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,184.367,,0.000
2020-06-25,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,371.175,,0.000
2020-06-26,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-27,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-28,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-29,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-06-30,11,0.000,11.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-07-01,12,0.000,11.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-07-02,21,0.000,11.143,9.000,0.143,0.009,0.000,0.000,0.000,0.000,,,0.000
2020-07-03,21,0.000,12.571,0.000,1.429,0.090,0.000,0.000,0.000,0.000,376.027,,0.000
2020-07-04,51,0.000,14.000,30.000,1.429,0.090,0.000,0.000,0.000,0.000,36.336,,0.000
2020-07-05,85,0.000,19.714,34.000,5.714,0.360,0.000,0.000,0.000,0.000,20.119,,0.000
2020-07-06,107,0.000,30.286,22.000,10.571,0.666,0.000,0.000,0.000,0.000,8.316,,0.000
2020-07-07,110,0.000,44.000,3.000,13.714,0.864,0.000,0.000,0.000,0.000,4.791,,0.000
2020-07-08,122,0.000,58.143,12.000,14.143,0.891,0.000,0.000,0.000,0.000,3.500,,0.000
2020-07-09,122,0.000,73.857,0.000,15.714,0.990,0.000,0.000,0.000,0.000,2.937,26.635,0.000
2020-07-10,124,0.000,88.286,2.000,14.429,0.909,0.000,0.000,0.000,0.000,2.740,5.544,0.000
2020-07-11,132,0.000,103.000,8.000,14.714,0.927,0.000,0.000,0.000,0.000,2.635,5.216,0.000
2020-07-12,145,0.000,114.571,13.000,11.571,0.729,0.000,0.000,0.000,0.000,2.935,1.965,0.000
2020-07-13,150,0.000,123.143,5.000,8.571,0.540,0.000,0.000,0.000,0.000,3.647,1.067,0.000
2020-07-14,155,0.000,129.286,5.000,6.143,0.387,0.000,0.000,0.000,0.000,4.715,0.715,0.000
2020-07-15,158,0.000,135.714,3.000,6.429,0.405,0.000,0.000,0.000,0.000,6.072,0.551,0.000
2020-07-16,162,0.000,140.857,4.000,5.143,0.324,0.000,0.000,0.000,0.000,7.975,0.528,0.000
2020-07-17,162,0.000,146.571,0.000,5.714,0.360,0.000,0.000,0.000,0.000,10.386,0.479,0.000
2020-07-18,164,0.000,152.000,2.000,5.429,0.342,0.000,0.000,0.000,0.000,13.754,0.509,0.000
2020-07-19,165,0.000,156.571,1.000,4.571,0.288,0.000,0.000,0.000,0.000,17.164,0.582,0.000
2020-07-20,170,0.000,159.429,5.000,2.857,0.180,0.000,0.000,0.000,0.000,20.203,0.638,0.000
2020-07-21,172,0.000,162.286,2.000,2.857,0.180,0.000,0.000,0.000,0.000,23.152,0.579,0.000
2020-07-22,172,0.000,164.714,0.000,2.429,0.153,0.000,0.000,0.000,0.000,27.136,0.560,0.000
2020-07-23,174,0.000,166.714,2.000,2.000,0.126,0.000,0.000,0.000,0.000,31.010,0.585,0.000
