date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Td7,R0,K,CFR
2020-03-18,11,0.0,,,,,,,,,,
2020-03-19,11,0.0,,0.0,,,0.0,,,,,
2020-03-20,11,0.0,,0.0,,,0.0,,,,,
2020-03-21,11,0.0,,0.0,,,0.0,,,,,
2020-03-22,11,0.0,,0.0,,,0.0,,,,,
2020-03-23,11,0.0,,0.0,,,0.0,,,,,
2020-03-24,11,0.0,,0.0,,,0.0,,,,,
2020-03-25,11,0.0,11.0,0.0,,0.0,0.0,,,,,0.0
2020-03-26,11,0.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2020-03-27,12,0.0,11.0,1.0,0.0,0.0,0.0,0.0,,,,0.0
2020-03-28,13,0.0,11.142857142857142,1.0,0.14285714285714285,0.0,0.0,0.0,,,,0.0
2020-03-29,14,0.0,11.428571428571429,1.0,0.2857142857142857,0.0,0.0,0.0,,,,0.0
2020-03-30,15,0.0,11.857142857142858,1.0,0.42857142857142855,0.0,0.0,0.0,,,,0.0
2020-03-31,17,0.0,12.428571428571429,2.0,0.5714285714285714,0.0,0.0,0.0,,,,0.0
2020-04-01,20,0.0,13.285714285714285,3.0,0.8571428571428571,0.0,0.0,0.0,39.737289929241406,1.0911325701721488,0.11494252873563215,0.0
2020-04-02,21,0.0,14.57142857142857,1.0,1.2857142857142856,0.0,0.0,0.0,25.70011987410654,1.1443684446090456,0.17204301075268813,0.0
2020-04-03,21,0.0,16.0,0.0,1.4285714285714284,0.0,0.0,0.0,17.256731796786106,1.2224216508414643,0.24509803921568618,0.0
2020-04-04,24,0.0,17.285714285714285,3.0,1.2857142857142856,0.0,0.0,0.0,13.411176831054842,1.2948844461946785,0.3035714285714286,0.0
2020-04-05,31,0.0,18.857142857142854,7.0,1.5714285714285714,0.0,0.0,0.0,11.726567097400165,1.343859436453258,0.33884297520661155,0.0
2020-04-06,34,0.0,21.28571428571428,3.0,2.428571428571429,0.0,0.0,0.0,10.45783367977164,1.3929181557671009,0.3712121212121211,0.0
2020-04-07,36,0.0,24.0,2.0,2.714285714285714,0.0,0.0,0.0,9.018003514491257,1.4686050297971924,0.4161073825503354,0.0
2020-04-08,37,0.0,26.714285714285715,1.0,2.714285714285714,0.0,0.0,0.0,8.20480494979942,1.5256235389084174,0.4464285714285715,0.0
2020-04-09,47,0.0,29.142857142857142,10.0,2.4285714285714284,0.0,0.0,0.0,8.004856725736627,1.5418055202156271,0.4545454545454547,0.0
2020-04-10,52,0.0,32.857142857142854,5.0,3.714285714285714,0.0,0.0,0.0,8.09182679104526,1.5346476363490522,0.4509803921568627,0.0
2020-04-11,54,0.0,37.285714285714285,2.0,4.428571428571428,0.0,0.0,0.0,7.554281720250942,1.5821389353548472,0.4739130434782608,0.0
2020-04-12,60,0.0,41.57142857142857,6.0,4.285714285714286,0.0,0.0,0.0,7.117351769911742,1.6273318549163183,0.49425287356321845,0.0
2020-04-13,60,0.0,45.71428571428571,0.0,4.142857142857142,0.0,0.0,0.0,7.248576728772705,1.6130493613500585,0.48797250859106533,0.0
2020-04-14,60,0.0,49.428571428571416,0.0,3.714285714285714,0.0,0.0,0.0,7.5300340347020285,1.5844779939175297,0.475,0.0
2020-04-15,62,0.0,52.85714285714285,2.0,3.4285714285714284,0.0,0.0,0.0,7.88524696739767,1.5519644903554564,0.4595375722543351,0.0
2020-04-16,62,1.0,56.428571428571416,0.0,3.5714285714285707,0.0,1.0,0.0,8.14942678545548,1.530008942032414,0.4486486486486485,0.0
2020-04-17,63,1.0,58.57142857142856,1.0,2.142857142857143,0.14285714285714285,0.0,0.14285714285714285,8.971842348194263,1.4715118265035143,0.41772151898734167,0.002439024390243903
2020-04-18,64,1.0,60.14285714285713,1.0,1.5714285714285712,0.2857142857142857,0.0,0.14285714285714285,10.743213962099839,1.3807097523719072,0.36341463414634134,0.004750593824228029
2020-04-19,68,1.0,61.57142857142857,4.0,1.4285714285714284,0.42857142857142855,0.0,0.14285714285714285,13.138111502932214,1.3018580945789848,0.30878859857482177,0.0069605568445475635
