date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR
2020-03-18,5,0.000,,,,,,,,,,,
2020-03-19,6,0.000,,1.000,,,,0.000,,,,,
2020-03-20,6,0.000,,0.000,,,,0.000,,,,,
2020-03-21,6,0.000,,0.000,,,,0.000,,,,,
2020-03-22,6,0.000,,0.000,,,,0.000,,,,,
2020-03-23,6,0.000,,0.000,,,,0.000,,,,,
2020-03-24,6,0.000,,0.000,,,,0.000,,,,,
2020-03-25,6,0.000,5.857,0.000,,,0.000,0.000,,,,,0.000
2020-03-26,6,0.000,6.000,0.000,0.143,0.008,0.000,0.000,0.000,0.000,,,0.000
2020-03-27,6,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-03-28,9,0.000,6.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000
2020-03-29,9,0.000,6.429,0.000,0.429,0.024,0.000,0.000,0.000,0.000,,,0.000
2020-03-30,11,0.000,6.857,2.000,0.429,0.024,0.000,0.000,0.000,0.000,,,0.000
2020-03-31,11,0.000,7.571,0.000,0.714,0.040,0.000,0.000,0.000,0.000,,,0.000
2020-04-01,11,0.000,8.286,0.000,0.714,0.040,0.000,0.000,0.000,0.000,18.900,,0.000
2020-04-02,12,0.000,9.000,1.000,0.714,0.040,0.000,0.000,0.000,0.000,15.032,3.157,0.000
2020-04-03,12,0.000,9.857,0.000,0.857,0.048,0.000,0.000,0.000,0.000,11.967,,0.000
2020-04-04,12,0.000,10.714,0.000,0.857,0.048,0.000,0.000,0.000,0.000,9.774,,0.000
2020-04-05,13,0.000,11.143,1.000,0.429,0.024,0.000,0.000,0.000,0.000,9.498,1.641,0.000
2020-04-06,13,0.000,11.714,0.000,0.571,0.032,0.000,0.000,0.000,0.000,9.994,1.000,0.000
2020-04-07,13,0.000,12.000,0.000,0.286,0.016,0.000,0.000,0.000,0.000,11.118,0.853,0.000
2020-04-08,13,0.000,12.286,0.000,0.286,0.016,0.000,0.000,0.000,0.000,13.100,0.520,0.000
2020-04-09,15,0.000,12.571,2.000,0.286,0.016,0.000,0.000,0.000,0.000,15.591,0.520,0.000
2020-04-10,15,0.000,13.000,0.000,0.429,0.024,0.000,0.000,0.000,0.000,19.948,0.456,0.000
2020-04-11,17,0.000,13.429,2.000,0.429,0.024,0.000,0.000,0.000,0.000,25.092,0.610,0.000
2020-04-12,17,0.000,14.143,0.000,0.714,0.040,0.000,0.000,0.000,0.000,26.004,1.000,0.000
2020-04-13,17,0.000,14.714,0.000,0.571,0.032,0.000,0.000,0.000,0.000,25.754,1.173,0.000
2020-04-14,19,0.000,15.286,2.000,0.571,0.032,0.000,0.000,0.000,0.000,23.795,1.641,0.000
2020-04-15,20,0.000,16.143,1.000,0.857,0.048,0.000,0.000,0.000,0.000,22.208,1.641,0.000
