date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,0,0.00,,,,,,,,,,,
2020-03-19,0,0.00,,0.00,,,,0.00,,,,,
2020-03-20,0,0.00,,0.00,,,,0.00,,,,,
2020-03-21,0,0.00,,0.00,,,,0.00,,,,,
2020-03-22,0,0.00,,0.00,,,,0.00,,,,,
2020-03-23,0,0.00,,0.00,,,,0.00,,,,,
2020-03-24,0,0.00,,0.00,,,,0.00,,,,,
2020-03-25,1,0.00,0.00,1.00,,,0.00,0.00,,,,,
2020-03-26,1,0.00,0.14,0.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,1,0.00,0.29,0.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,2,0.00,0.43,1.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,2,0.00,0.71,0.00,0.29,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,2,0.00,1.00,0.00,0.29,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,2,0.00,1.29,0.00,0.29,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,5,0.00,1.57,3.00,0.29,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,5,0.00,2.14,0.00,0.57,0.04,0.00,0.00,0.00,0.00,2.02,1.64,0.00
2020-04-03,7,0.00,2.71,2.00,0.57,0.04,0.00,0.00,0.00,0.00,2.41,2.69,0.00
2020-04-04,8,0.00,3.57,1.00,0.86,0.07,0.00,0.00,0.00,0.00,2.63,2.69,0.00
2020-04-05,9,0.00,4.43,1.00,0.86,0.07,0.00,0.00,0.00,0.00,3.01,2.19,0.00
2020-04-06,9,0.00,5.43,0.00,1.00,0.08,0.00,0.00,0.00,0.00,3.26,2.19,0.00
