date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,1,0.00,,,,,,,,,,,
2020-03-19,3,0.00,,2.00,,,,0.00,,,,,
2020-03-20,6,0.00,,3.00,,,,0.00,,,,,
2020-03-21,11,0.00,,5.00,,,,0.00,,,,,
2020-03-22,15,0.00,,4.00,,,,0.00,,,,,
2020-03-23,15,0.00,,0.00,,,,0.00,,,,,
2020-03-24,16,0.00,,1.00,,,,0.00,,,,,
2020-03-25,16,0.00,9.57,0.00,,,0.00,0.00,,,,,0.00
2020-03-26,17,0.00,11.71,1.00,2.14,0.19,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,17,0.00,13.71,0.00,2.00,0.18,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,27,0.00,15.29,10.00,1.57,0.14,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,28,0.00,17.57,1.00,2.29,0.20,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,28,0.00,19.43,0.00,1.86,0.17,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,29,0.00,21.29,1.00,1.86,0.17,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,29,0.00,23.14,0.00,1.86,0.17,0.00,0.00,0.00,0.00,6.07,,0.00
2020-04-02,30,0.00,25.00,1.00,1.86,0.17,0.00,0.00,0.00,0.00,7.13,0.90,0.00
2020-04-03,31,0.00,26.86,1.00,1.86,0.17,0.00,0.00,0.00,0.00,8.08,0.95,0.00
2020-04-04,31,0.00,28.86,0.00,2.00,0.18,0.00,0.00,0.00,0.00,8.61,1.13,0.00
2020-04-05,31,0.00,29.43,0.00,0.57,0.05,0.00,0.00,0.00,0.00,9.78,0.91,0.00
2020-04-06,32,0.00,29.86,1.00,0.43,0.04,0.00,0.00,0.00,0.00,11.69,0.43,0.00
2020-04-07,32,0.00,30.43,0.00,0.57,0.05,0.00,0.00,0.00,0.00,14.34,0.35,0.00
2020-04-08,41,0.00,30.86,9.00,0.43,0.04,0.00,0.00,0.00,0.00,17.73,0.43,0.00
2020-04-09,41,0.00,32.57,0.00,1.71,0.15,0.00,0.00,0.00,0.00,23.05,0.35,0.00
2020-04-10,42,0.00,34.14,1.00,1.57,0.14,0.00,0.00,0.00,0.00,25.15,0.94,0.00
2020-04-11,42,0.00,35.71,0.00,1.57,0.14,0.00,0.00,0.00,0.00,28.85,0.84,0.00
2020-04-12,42,0.00,37.29,0.00,1.57,0.14,0.00,0.00,0.00,0.00,25.06,2.06,0.00
2020-04-13,43,0.00,38.86,1.00,1.57,0.14,0.00,0.00,0.00,0.00,21.84,2.53,0.00
2020-04-14,43,0.00,40.43,0.00,1.57,0.14,0.00,0.00,0.00,0.00,19.84,2.06,0.00
2020-04-15,50,0.00,42.00,7.00,1.57,0.14,0.00,0.00,0.00,0.00,17.96,2.53,0.00
2020-04-16,50,1.00,43.29,0.00,1.29,0.11,0.00,1.00,0.00,0.00,19.08,0.94,0.00
2020-04-17,54,1.00,44.57,4.00,1.29,0.11,0.14,0.00,0.14,0.01,20.45,0.87,0.32
2020-04-18,54,1.00,46.29,0.00,1.71,0.15,0.29,0.00,0.14,0.01,21.90,0.87,0.62
2020-04-19,54,1.00,48.00,0.00,1.71,0.15,0.43,0.00,0.14,0.01,22.44,1.06,0.89
2020-04-20,55,1.00,49.71,1.00,1.71,0.15,0.57,0.00,0.14,0.01,22.96,1.06,1.15
2020-04-21,60,1.00,51.43,5.00,1.71,0.15,0.71,0.00,0.14,0.01,23.47,1.06,1.39
2020-04-22,60,1.00,53.86,0.00,2.43,0.22,0.86,0.00,0.14,0.01,23.96,1.06,1.59
2020-04-23,60,1.00,55.29,0.00,1.43,0.13,1.00,0.00,0.14,0.01,22.20,1.58,1.81
2020-04-24,60,1.00,56.71,0.00,1.43,0.13,1.00,0.00,0.00,0.00,22.52,1.08,1.76
2020-04-25,60,1.00,57.57,0.00,0.86,0.08,1.00,0.00,0.00,0.00,23.88,0.88,1.74
2020-04-26,60,1.00,58.43,0.00,0.86,0.08,1.00,0.00,0.00,0.00,26.69,0.61,1.71
2020-04-27,60,1.00,59.29,0.00,0.86,0.08,1.00,0.00,0.00,0.00,30.04,0.61,1.69
2020-04-28,60,1.00,60.00,0.00,0.71,0.06,1.00,0.00,0.00,0.00,34.13,0.61,1.67
2020-04-29,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,44.92,0.42,1.67
2020-04-30,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,59.29,,1.67
2020-05-01,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,86.15,,1.67
2020-05-02,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,117.43,,1.67
2020-05-03,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,182.82,,1.67
2020-05-04,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,405.14,,1.67
2020-05-05,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-06,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-07,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-08,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-09,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-10,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-11,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-12,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-13,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-14,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-15,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-16,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-17,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
2020-05-18,60,1.00,60.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,,,1.67
