date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,100,0.00,,,,,,,,,,,
2020-03-19,102,1.00,,2.00,,,,1.00,,,,,
2020-03-20,106,1.00,,4.00,,,,0.00,,,,,
2020-03-21,108,1.00,,2.00,,,,0.00,,,,,
2020-03-22,113,2.00,,5.00,,,,1.00,,,,,
2020-03-23,116,2.00,,3.00,,,,0.00,,,,,
2020-03-24,123,2.00,,7.00,,,,0.00,,,,,
2020-03-25,129,2.00,109.71,6.00,,,1.29,0.00,,,,,1.17
2020-03-26,136,2.00,113.86,7.00,4.14,0.05,1.57,0.00,0.29,0.00,,,1.38
2020-03-27,154,2.00,118.71,18.00,4.86,0.06,1.71,0.00,0.14,0.00,,,1.44
2020-03-28,192,2.00,125.57,38.00,6.86,0.08,1.86,0.00,0.14,0.00,,,1.48
2020-03-29,209,2.00,137.57,17.00,12.00,0.14,2.00,0.00,0.14,0.00,,,1.45
2020-03-30,217,2.00,151.29,8.00,13.71,0.16,2.00,0.00,0.00,0.00,,,1.32
2020-03-31,245,2.00,165.71,28.00,14.43,0.16,2.00,0.00,0.00,0.00,,,1.21
2020-04-01,279,2.00,183.14,34.00,17.43,0.20,2.00,0.00,0.00,0.00,11.77,,1.09
2020-04-02,312,2.00,204.57,33.00,21.43,0.24,2.00,0.00,0.00,0.00,10.21,2.79,0.98
2020-04-03,347,2.00,229.71,35.00,25.14,0.29,2.00,0.00,0.00,0.00,8.92,2.89,0.87
2020-04-04,388,2.00,257.29,41.00,27.57,0.31,2.00,0.00,0.00,0.00,8.03,2.53,0.78
2020-04-05,409,3.00,285.29,21.00,28.00,0.32,2.00,1.00,0.00,0.00,7.75,1.81,0.70
2020-04-06,429,3.00,313.86,20.00,28.57,0.32,2.14,0.00,0.14,0.00,7.65,1.67,0.68
