date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,1,0.00,,,,,,,,,,,
2020-03-19,1,0.00,,0.00,,,,0.00,,,,,
2020-03-20,1,0.00,,0.00,,,,0.00,,,,,
2020-03-21,1,0.00,,0.00,,,,0.00,,,,,
2020-03-22,1,0.00,,0.00,,,,0.00,,,,,
2020-03-23,1,0.00,,0.00,,,,0.00,,,,,
2020-03-24,1,0.00,,0.00,,,,0.00,,,,,
2020-03-25,1,0.00,1.00,0.00,,,0.00,0.00,,,,,0.00
2020-03-26,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,2,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,4,0.00,1.14,2.00,0.14,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,4,0.00,1.57,0.00,0.43,0.05,0.00,0.00,0.00,0.00,36.34,,0.00
2020-04-03,5,0.00,2.00,1.00,0.43,0.05,0.00,0.00,0.00,0.00,10.73,,0.00
2020-04-04,6,0.00,2.57,1.00,0.57,0.07,0.00,0.00,0.00,0.00,7.00,,0.00
2020-04-05,8,0.00,3.29,2.00,0.71,0.09,0.00,0.00,0.00,0.00,5.14,,0.00
2020-04-06,8,0.00,4.29,0.00,1.00,0.12,0.00,0.00,0.00,0.00,4.08,,0.00
2020-04-07,9,0.00,5.29,1.00,1.00,0.12,0.00,0.00,0.00,0.00,3.33,,0.00
2020-04-08,11,0.00,6.29,2.00,1.00,0.12,0.00,0.00,0.00,0.00,3.17,4.01,0.00
2020-04-09,11,0.00,7.29,0.00,1.00,0.12,0.00,0.00,0.00,0.00,3.50,1.83,0.00
2020-04-10,12,0.00,8.29,1.00,1.00,0.12,0.00,0.00,0.00,0.00,3.75,1.83,0.00
2020-04-11,12,0.00,9.29,0.00,1.00,0.12,0.00,0.00,0.00,0.00,4.15,1.49,0.00
2020-04-12,13,0.00,10.14,1.00,0.86,0.11,0.00,0.00,0.00,0.00,4.67,1.27,0.00
2020-04-13,13,0.00,10.86,0.00,0.71,0.09,0.00,0.00,0.00,0.00,5.63,0.90,0.00
2020-04-14,15,0.00,11.57,2.00,0.71,0.09,0.00,0.00,0.00,0.00,6.74,0.79,0.00
2020-04-15,17,0.00,12.43,2.00,0.86,0.11,0.00,0.00,0.00,0.00,7.95,0.79,0.00
2020-04-16,15,0.00,13.29,-2.00,0.86,0.11,0.00,0.00,0.00,0.00,9.08,0.90,0.00
2020-04-17,16,0.00,13.86,1.00,0.57,0.07,0.00,0.00,0.00,0.00,10.28,0.90,0.00
2020-04-18,16,0.00,14.43,0.00,0.57,0.07,0.00,0.00,0.00,0.00,12.12,0.67,0.00
2020-04-19,17,0.00,15.00,1.00,0.57,0.07,0.00,0.00,0.00,0.00,13.77,0.75,0.00
2020-04-20,17,0.00,15.57,0.00,0.57,0.07,0.00,0.00,0.00,0.00,15.01,0.85,0.00
2020-04-21,17,0.00,16.14,0.00,0.57,0.07,0.00,0.00,0.00,0.00,16.34,0.85,0.00
2020-04-22,18,0.00,16.43,1.00,0.29,0.04,0.00,0.00,0.00,0.00,18.56,0.75,0.00
2020-04-23,21,0.00,16.57,3.00,0.14,0.02,0.00,0.00,0.00,0.00,22.85,0.46,0.00
2020-04-24,32,0.00,17.43,11.00,0.86,0.11,0.00,0.00,0.00,0.00,27.12,0.37,0.00
2020-04-25,36,0.00,19.71,4.00,2.29,0.28,0.00,0.00,0.00,0.00,25.69,1.34,0.00
2020-04-26,36,0.00,22.57,0.00,2.86,0.35,0.00,0.00,0.00,0.00,17.75,2.69,0.00
2020-04-27,36,0.00,25.29,0.00,2.71,0.34,0.00,0.00,0.00,0.00,13.07,3.16,0.00
2020-04-28,37,0.00,28.00,1.00,2.71,0.34,0.00,0.00,0.00,0.00,10.81,3.04,0.00
2020-04-29,38,0.00,30.86,1.00,2.86,0.35,0.00,0.00,0.00,0.00,9.10,4.99,0.00
2020-04-30,41,0.00,33.71,3.00,2.86,0.35,0.00,0.00,0.00,0.00,7.80,8.50,0.00
2020-05-01,42,0.00,36.57,1.00,2.86,0.35,0.00,0.00,0.00,0.00,7.35,2.36,0.00
2020-05-02,42,0.00,38.00,0.00,1.43,0.18,0.00,0.00,0.00,0.00,7.85,1.17,0.00
2020-05-03,44,0.00,38.86,2.00,0.86,0.11,0.00,0.00,0.00,0.00,9.31,0.61,0.00
2020-05-04,45,0.00,40.00,1.00,1.14,0.14,0.00,0.00,0.00,0.00,11.29,0.44,0.00
2020-05-05,45,0.00,41.29,0.00,1.29,0.16,0.00,0.00,0.00,0.00,13.60,0.54,0.00
2020-05-06,45,0.00,42.43,0.00,1.14,0.14,0.00,0.00,0.00,0.00,16.67,0.57,0.00
