date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,0,0.00,,,,,,,,,,,
2020-03-19,0,0.00,,0.00,,,,0.00,,,,,
2020-03-20,0,0.00,,0.00,,,,0.00,,,,,
2020-03-21,0,0.00,,0.00,,,,0.00,,,,,
2020-03-22,0,0.00,,0.00,,,,0.00,,,,,
2020-03-23,0,0.00,,0.00,,,,0.00,,,,,
2020-03-24,0,0.00,,0.00,,,,0.00,,,,,
2020-03-25,0,0.00,0.00,0.00,,,0.00,0.00,,,,,
2020-03-26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-29,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-30,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-31,3,0.00,0.14,2.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,5,0.00,0.57,2.00,0.43,0.04,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,8,0.00,1.29,3.00,0.71,0.07,0.00,0.00,0.00,0.00,,,0.00
2020-04-03,8,0.00,2.43,0.00,1.14,0.11,0.00,0.00,0.00,0.00,,,0.00
2020-04-04,10,0.00,3.57,2.00,1.14,0.11,0.00,0.00,0.00,0.00,,,0.00
2020-04-05,10,0.00,5.00,0.00,1.43,0.14,0.00,0.00,0.00,0.00,,,0.00
2020-04-06,11,0.00,6.43,1.00,1.43,0.14,0.00,0.00,0.00,0.00,,,0.00
2020-04-07,12,0.00,7.86,1.00,1.43,0.14,0.00,0.00,0.00,0.00,1.27,5.18,0.00
