date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,0,0.00,,,,,,,,,,,
2020-03-19,0,0.00,,0.00,,,,0.00,,,,,
2020-03-20,0,0.00,,0.00,,,,0.00,,,,,
2020-03-21,0,0.00,,0.00,,,,0.00,,,,,
2020-03-22,0,0.00,,0.00,,,,0.00,,,,,
2020-03-23,0,0.00,,0.00,,,,0.00,,,,,
2020-03-24,0,0.00,,0.00,,,,0.00,,,,,
2020-03-25,0,0.00,0.00,0.00,,,0.00,0.00,,,,,
2020-03-26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-27,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-29,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-03-31,1,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
2020-04-01,1,0.00,0.14,0.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,1,0.00,0.29,0.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-04-03,1,0.00,0.43,0.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-04-04,6,0.00,0.57,5.00,0.14,0.01,0.00,0.00,0.00,0.00,,,0.00
2020-04-05,10,0.00,1.43,4.00,0.86,0.08,0.00,0.00,0.00,0.00,,,0.00
2020-04-06,13,0.00,2.86,3.00,1.43,0.13,0.00,0.00,0.00,0.00,,,0.00
2020-04-07,19,0.00,4.71,6.00,1.86,0.17,0.00,0.00,0.00,0.00,,,0.00
