Pref.,cases(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,-0.14285714285714285,0.0,nan,nan,-0.002024291497975783,0.37664233576642336
Akita,0.0,nan,nan,nan,0.0,0.37664233576642336
Aomori,0.14285714285714285,nan,128.56354258831172,nan,0.03703703703703709,nan
Chiba,6.571428571428572,1.9999999999999996,84.9864676372568,0.4491392604523162,0.05549263873159682,0.30434782608695643
Ehime,0.0,0.0,nan,nan,0.0,0.30434782608695643
Fukui,0.0,0.0,nan,nan,0.0,0.30434782608695643
Fukuoka,0.7142857142857142,0.2857142857142857,632.2164402617684,0.6942831215470505,0.007645259938837912,0.4
Fukushima,0.42857142857142855,0.0,128.56354258831172,nan,0.03703703703703709,0.0
Gifu,0.0,0.0,nan,nan,0.0,0.0
Gunma,0.14285714285714285,0.2857142857142857,710.8196736839392,nan,0.006802721088435382,2.0
Hiroshima,0.42857142857142855,0.0,264.42823021057274,nan,0.018181818181818188,0.0
Hokkaido,9.428571428571429,2.1428571428571423,59.25870699966079,0.84341716293844,0.07861635220125784,0.2272727272727272
Hyogo,3.0,2.2857142857142856,126.88379164895915,0.40867678512182437,0.037518037518037506,0.7619047619047619
Ibaraki,0.14285714285714285,0.14285714285714285,812.7126552554035,nan,0.005952380952380931,1.0
Ishikawa,1.5714285714285712,0.42857142857142855,102.06003030641243,0.7240849806042299,0.046428571428571375,0.27272727272727276
Iwate,0.0,0.0,nan,nan,nan,0.27272727272727276
Kagawa,0.0,0.0,nan,nan,0.0,0.27272727272727276
Kagoshima,0.14285714285714285,nan,50.90778628139199,nan,0.09090909090909094,nan
Kanagawa,5.571428571428571,1.0,82.85913990446923,1.5648408715460354,0.05687606112054333,0.1794871794871795
Kochi,0.0,0.0,nan,nan,0.0,0.1794871794871795
Kumamoto,0.14285714285714285,0.14285714285714285,230.46292495085308,nan,0.02083333333333337,1.0
Kyoto,1.8571428571428572,0.2857142857142857,92.436909563004,0.5756367315741847,0.051136363636363646,0.15384615384615383
Mie,0.0,0.0,nan,nan,0.0,0.15384615384615383
Miyagi,0.0,0.14285714285714285,nan,nan,0.0,0.15384615384615383
Miyazaki,0.0,nan,nan,nan,0.0,0.15384615384615383
Nagano,0.2857142857142857,nan,118.8582361283724,0.6095068271022377,0.040000000000000036,nan
Nagasaki,0.0,0.0,nan,nan,0.0,nan
Nara,0.42857142857142855,0.0,143.12118543530033,nan,0.033333333333333326,0.0
Niigata,0.7142857142857142,nan,77.12184455889884,0.3167639217533158,0.060975609756097615,nan
Oita,0.0,0.0,nan,nan,0.0,nan
Okayama,0.14285714285714285,nan,114.00550334348848,1.0,0.04166666666666663,nan
Okinawa,0.0,0.14285714285714285,nan,nan,0.0,nan
Osaka,8.714285714285715,1.0,134.04226494471038,0.5136053940842881,0.03555045871559637,0.11475409836065573
Saga,0.0,0.0,nan,nan,0.0,0.11475409836065573
Saitama,10.428571428571429,2.2857142857142856,60.22964657433457,0.38234069844072993,0.07739938080495357,0.2191780821917808
Shiga,-0.14285714285714285,0.0,nan,nan,-0.010309278350515427,0.2191780821917808
Shimane,0.0,nan,nan,nan,0.0,0.2191780821917808
Shizuoka,0.0,0.0,nan,nan,0.0,0.2191780821917808
Tochigi,0.2857142857142857,nan,133.41612783941034,1.640670712015276,0.0357142857142857,nan
Tokushima,0.0,nan,nan,nan,0.0,nan
Tokyo,28.428571428571423,22.999999999999996,108.26831278023285,0.901089899836896,0.043825517100143374,0.8090452261306533
Tottori,0.0,0.0,nan,nan,0.0,0.8090452261306533
Toyama,0.5714285714285714,0.42857142857142855,116.70147321514517,1.0,0.040723981900452455,0.75
Wakayama,0.0,0.0,nan,nan,0.0,0.75
Yamagata,0.0,nan,nan,nan,0.0,0.75
Yamaguchi,0.14285714285714285,nan,177.08802638401053,nan,0.027027027027026973,nan
Yamanashi,0.0,0.0,nan,nan,0.0,nan
Zenkoku,80.14285714285714,36.0,116.05478071307608,0.8214947886865863,0.04094619785305653,0.44919786096256686
