Pref.,Total cases(ave7),cases(ave7),Total deaths(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,507.85714285714283,0.2857142857142857,4.857142857142857,0.0,1914.1249141835099,1.640670712015276,0.0025316455696201556,0.0
Akita,15.999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.0
Aomori,27.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Chiba,907.2857142857143,0.14285714285714285,6.428571428571428,0.14285714285714285,1538.3349198686099,0.6095068271022377,0.003149110376318709,0.5
Ehime,81.99999999999999,0.0,0.5714285714285714,0.0,229.65422326452685,nan,0.020905923344947674,0.0
Fukui,122.0,0.0,1.1428571428571428,0.0,nan,nan,0.0,0.0
Fukuoka,753.7142857142858,11.857142857142858,3.571428571428571,0.0,39.90780376679013,2.426078747016586,0.11448066717210015,0.0
Fukushima,81.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Gifu,150.57142857142856,0.14285714285714285,1.0,0.0,1276.0824220106479,nan,0.00379506641366234,0.0
Gunma,148.99999999999997,0.0,2.714285714285714,0.0,nan,nan,0.0,0.0
Hiroshima,167.14285714285714,0.0,0.42857142857142855,0.14285714285714285,5674.449047919454,nan,0.0008547008547008517,0.0
Hokkaido,1090.2857142857142,3.428571428571428,12.142857142857142,0.9999999999999998,124.81151409789629,0.6187419473644764,0.03812893081760993,0.14893617021276592
Hyogo,699.0,0.0,5.7142857142857135,0.2857142857142857,nan,nan,0.0,0.14893617021276592
Ibaraki,168.0,0.0,1.4285714285714284,0.14285714285714285,nan,nan,0.0,0.14893617021276592
Ishikawa,297.99999999999994,0.0,3.4285714285714284,0.0,559.8668768771093,nan,0.008628954937679678,0.0
Iwate,0.0,0.0,0.0,0.0,nan,nan,nan,0.0
Kagawa,28.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Kagoshima,10.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Kanagawa,1367.9999999999998,3.142857142857143,11.142857142857142,0.9999999999999999,176.95688222095686,1.1103960653151288,0.027046783625731208,0.36842105263157887
Kochi,74.0,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.36842105263157887
Kumamoto,47.99999999999999,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.36842105263157887
Kyoto,358.0,0.0,2.2857142857142856,0.2857142857142857,nan,nan,0.0,0.36842105263157887
Mie,45.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.36842105263157887
Miyagi,88.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.36842105263157887
Miyazaki,17.0,0.0,0.0,0.0,nan,nan,0.0,0.36842105263157887
Nagano,76.0,0.0,nan,nan,nan,nan,0.0,0.36842105263157887
Nagasaki,17.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.36842105263157887
Nara,91.99999999999999,0.0,0.2857142857142857,0.0,622.5123313605611,nan,0.00776397515527949,0.0
Niigata,83.0,0.0,0.0,0.0,nan,nan,0.0,0.0
Oita,59.99999999999999,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Okayama,24.999999999999993,0.0,nan,nan,nan,nan,0.0,0.0
Okinawa,141.99999999999997,0.0,0.8571428571428571,0.0,nan,nan,0.0,0.0
Osaka,1782.7142857142858,0.14285714285714285,11.714285714285714,0.8571428571428571,5501.9814158815125,0.6095068271022377,0.0008814808878918612,3.0
Saga,47.0,0.0,0.0,0.0,nan,nan,0.0,3.0
Saitama,1003.7142857142856,0.14285714285714285,6.7142857142857135,0.14285714285714285,1173.102127483713,0.3714985722842371,0.004127526330771403,0.25
Shiga,99.99999999999997,0.0,0.14285714285714285,0.0,3393.994591576267,nan,0.0014285714285713347,0.0
Shimane,23.999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.0
Shizuoka,76.0,0.0,0.14285714285714285,0.0,320.22787102409274,nan,0.015037593984962405,0.0
Tochigi,65.42857142857143,0.14285714285714285,0.0,0.0,367.9402963840258,1.0,0.01310043668122296,0.0
Tokushima,5.0,0.0,0.14285714285714285,0.0,nan,nan,0.0,0.0
Tokyo,5262.0,15.14285714285714,42.714285714285715,5.142857142857142,251.79049309436166,1.519682115913028,0.019085627409458628,0.6101694915254238
Tottori,2.9999999999999996,0.0,0.0,0.0,nan,nan,0.0,0.6101694915254238
Toyama,226.99999999999994,0.0,3.142857142857143,0.14285714285714285,nan,nan,0.0,0.6101694915254238
Wakayama,63.0,0.0,0.42857142857142855,0.0,nan,nan,0.0,0.6101694915254238
Yamagata,68.99999999999999,0.0,0.0,0.0,nan,nan,0.0,0.6101694915254238
Yamaguchi,37.0,0.0,0.0,0.0,nan,nan,0.0,0.6101694915254238
Yamanashi,64.28571428571428,0.14285714285714285,0.14285714285714285,0.14285714285714285,70.32654474799297,nan,0.06666666666666665,0.6101694915254238
Zenkoku,16579.0,34.71428571428571,124.85714285714285,9.428571428571427,277.57321650209457,1.2907040718769858,0.0173282896607585,0.388235294117647
