Pref.,npatients,ndeaths,Total cases(ave7),cases(ave7),cases/pop,Total deaths(ave7),deaths(ave7),death/pop,Td7,Rt,K,CFR
Aichi,24503,436.0,24208.857142857145,86.0,1.1404137023093244,62.285714285714285,5.7142857142857135,0.07577499683118434,99.92421687725086,0.49880914850536895,0.047397056567254015,0.06644518272425248
Akita,269,4.0,265.0,1.1428571428571428,0.12003931887889878,0.5714285714285714,0.42857142857142855,0.04501474457958704,88.46611413434995,0.4431346384488602,0.053369272237196896,0.375
Aomori,740,13.0,728.8571428571428,3.2857142857142856,0.26701510202589,1.857142857142857,0.0,0.0,93.13229671482793,0.6395868963140915,0.050764406115248906,0.0
Chiba,23615,294.0,22950.85714285714,185.57142857142856,2.954303273627296,42.0,6.285714285714285,0.10006877909130178,53.69390878039367,0.609674458243819,0.08640200179265012,0.03387220939183987
Ehime,1009,21.0,999.1428571428571,2.2857142857142856,0.17231335744069,3.0,0.42857142857142855,0.03230875452012937,114.17226491119386,0.3059148064322063,0.0416070917929654,0.1875
Fukui,521,22.0,517.7142857142857,0.9999999999999999,0.1311167607866481,3.142857142857143,0.42857142857142855,0.05619289747999205,113.23927687302088,0.29320187135144593,0.04194260485651213,0.4285714285714286
Fukuoka,16434,200.0,16315.57142857143,36.85714285714286,0.7217304477766758,28.57142857142857,1.857142857142857,0.03636626287246816,66.86482759479105,0.28306598489378865,0.06999448379724904,0.0503875968992248
Fukushima,1775,55.0,1750.1428571428569,6.857142857142857,0.3746839189877164,7.857142857142857,1.5714285714285714,0.08586506476801835,86.27098098148683,0.4052367252609629,0.05468941310913389,0.22916666666666669
Gifu,4409,78.0,4311.285714285714,27.57142857142857,1.396628437641698,11.142857142857142,1.2857142857142856,0.06512775097811026,80.0449256493289,0.6758726729278276,0.05881573279432717,0.046632124352331605
Gunma,4092,76.0,3976.714285714286,32.14285714285714,1.6685713099174686,10.857142857142856,1.0,0.05191110741965458,63.557767035692066,0.8994117959559895,0.07349929949347989,0.031111111111111114
Hiroshima,4872,94.0,4839.285714285714,10.142857142857142,0.36291083934938984,13.428571428571427,0.2857142857142857,0.010222840545053234,127.5922526533017,0.431895757140067,0.037313653136531344,0.028169014084507043
