Pref.,npatients,ndeaths,Total cases(ave7),cases(ave7),Total deaths(ave7),deaths(ave7),Td,Rt,K,CFR
Aichi,25310,487.0,25130.14285714286,53.42857142857143,69.57142857142857,3.1428571428571423,219.83732536250778,0.8058038660315693,0.021829220458072784,0.05882352941176469
Akita,269,6.0,268.99999999999994,0.0,0.8571428571428571,0.14285714285714285,4565.760048660784,nan,0.0010621348911311612,0.05882352941176469
Aomori,812,18.0,803.142857142857,2.571428571428571,2.571428571428571,0.42857142857142855,69.33020089317115,0.4562460355474005,0.06759160441124135,0.16666666666666669
Chiba,24995,373.0,24611.285714285714,104.85714285714285,53.285714285714285,6.285714285714286,128.68076631756523,0.8110957305143414,0.03700392967221766,0.059945504087193464
Ehime,1029,22.0,1028.5714285714284,0.42857142857142855,3.142857142857143,0.0,321.03655816694294,0.21384822393417427,0.015000000000000013,0.0
Fukui,535,25.0,530.2857142857142,1.0,3.571428571428571,0.14285714285714285,331.10021408282114,0.8356793384586048,0.014547413793103314,0.14285714285714285
Fukuoka,17490,247.0,17308.571428571428,60.571428571428555,35.285714285714285,3.142857142857143,121.73868685068594,0.8538162527836612,0.039072301089468464,0.051886792452830205
Fukushima,1849,64.0,1829.9999999999998,6.285714285714285,9.142857142857142,0.7142857142857142,166.92056339463574,1.1775762092206497,0.028649492583918912,0.11363636363636365
Gifu,4628,96.0,4575.714285714285,14.857142857142856,13.714285714285714,1.2857142857142856,151.280630412535,0.7286401345165618,0.03156415860131134,0.08653846153846154
Gunma,4324,81.0,4258.714285714285,17.714285714285715,11.571428571428571,0.2857142857142857,130.87132098314595,0.8487575166290157,0.036395961222367545,0.016129032258064516
Hiroshima,4976,99.0,4942.142857142857,8.714285714285714,14.142857142857142,0.14285714285714285,390.6743191052279,1.1056304099283736,0.01234282410752996,0.01639344262295082
Hokkaido,18642,644.0,18488.142857142855,45.0,92.0,1.9999999999999996,205.69676446595693,0.8507370114352177,0.023312238732160373,0.04444444444444443
Hyogo,17586,494.0,17460.857142857145,37.42857142857143,70.57142857142857,4.428571428571428,198.39181412953167,0.679526299364417,0.024160162322255596,0.11832061068702288
Ibaraki,5437,100.0,5364.571428571428,20.57142857142857,14.285714285714285,1.857142857142857,106.39870124703472,0.6416607855275084,0.04457818491691512,0.09027777777777778
Ishikawa,1728,60.0,1675.142857142857,15.285714285714286,8.571428571428571,0.0,60.68806205540589,1.0347738208638697,0.07683779634999133,0.0
Iwate,539,29.0,524.5714285714286,2.8571428571428568,4.142857142857142,0.0,228.9505475989342,1.768908412356907,0.02096949891067512,0.0
Kagawa,726,18.0,720.5714285714284,1.5714285714285714,2.571428571428571,0.14285714285714285,139.02600469898138,0.48838836316441325,0.03429817605075336,0.09090909090909091
Kagoshima,1739,24.0,1718.9999999999998,7.714285714285714,3.4285714285714284,0.7142857142857142,142.43485208012166,1.1390899833687875,0.03349123244411201,0.09259259259259257
Kanagawa,43583,623.0,43250.57142857143,98.0,89.0,4.714285714285714,203.12989787718334,0.7174419541938112,0.0236033215085516,0.048104956268221574
Kochi,882,17.0,876.0,1.9999999999999998,2.4285714285714284,0.0,263.2151884533118,1.116398220200827,0.0182648401826484,0.0
Kumamoto,3425,70.0,3408.142857142857,4.714285714285714,10.0,0.5714285714285714,554.0843191967639,1.2554159485744256,0.008718615081527492,0.1212121212121212
Kyoto,8940,147.0,8873.571428571428,20.285714285714285,21.0,1.1428571428571428,241.79914515009784,0.8152760258621018,0.01986637688159054,0.056338028169014086
Mie,2420,46.0,2388.5714285714284,8.428571428571427,6.571428571428571,0.857142857142857,167.9949666937194,0.9035649092935505,0.028468899521531088,0.10169491525423728
Miyagi,3519,23.0,3501.428571428571,4.428571428571428,3.2857142857142856,0.0,477.09915416249765,0.791580651353759,0.010118319053447622,0.0
Miyazaki,1938,21.0,1919.142857142857,4.571428571428571,3.0,0.14285714285714285,264.7066331926159,0.9782600385605849,0.01816287032901609,0.03125
Nagano,2349,41.0,2346.428571428571,0.5714285714285714,5.857142857142857,0.2857142857142857,827.7236676620711,0.3059148064322063,0.005844748858447324,0.5
Nagasaki,1586,36.0,1580.7142857142853,2.4285714285714284,5.142857142857142,0.14285714285714285,267.354158800571,0.6828449284287331,0.017984636240397256,0.058823529411764705
Nara,3300,44.0,3265.714285714286,8.857142857142858,6.285714285714286,0.2857142857142857,217.20339190020746,0.7982214658646193,0.02209098862642178,0.03225806451612903
Niigata,1019,14.0,1003.5714285714286,4.7142857142857135,2.0,0.14285714285714285,96.06660617785782,1.0456695498908744,0.049252669039145935,0.030303030303030307
Oita,1271,18.0,1260.5714285714284,3.1428571428571423,2.571428571428571,0.0,174.4813983486102,0.7034426561834773,0.027425203989120628,0.0
Okayama,2458,26.0,2444.857142857143,4.285714285714286,3.714285714285714,0.2857142857142857,259.5148351244078,0.7256563461708861,0.018522846792100145,0.06666666666666667
Okinawa,8029,104.0,7985.285714285714,12.142857142857142,14.857142857142856,0.9999999999999999,273.47111993657046,0.5874563993817941,0.01758591695439815,0.08235294117647059
Osaka,46247,1078.0,45928.28571428571,89.85714285714286,154.0,5.857142857142857,252.95555890325446,0.7651302876660823,0.018998562977063593,0.06518282988871224
Saga,995,7.0,994.5714285714284,0.2857142857142857,1.0,0.14285714285714285,325.5275183805274,0.18036326232998548,0.014794599253088125,0.5
Saitama,28100,489.0,27734.14285714285,107.85714285714285,69.85714285714285,5.7142857142857135,123.38874321268486,0.7733413064568143,0.038560000824151675,0.052980132450331126
Shiga,2348,40.0,2314.714285714286,9.142857142857142,5.7142857142857135,0.7142857142857142,144.50890702558445,0.9379968532005939,0.03301857680676423,0.078125
Shimane,280,0.0,280.0,0.0,0.0,0.0,325.49827895574714,nan,0.01479591836734706,0.078125
Shizuoka,4903,92.0,4843.857142857142,14.57142857142857,13.142857142857142,0.14285714285714285,219.5863598995495,0.9294580772560137,0.021853894476066782,0.009803921568627453
Tochigi,3990,60.0,3960.428571428571,9.0,8.571428571428571,0.42857142857142855,226.71837258546486,0.7876387154392872,0.02117375464415827,0.047619047619047616
Tokushima,439,16.0,427.85714285714283,2.8571428571428568,2.2857142857142856,0.14285714285714285,61.27807198546799,1.640670712015276,0.07612687813021701,0.05
Tokyo,108337,1183.0,106823.85714285714,411.2857142857142,169.0,11.999999999999998,163.60419370308944,1.0138729861763582,0.029221669316779386,0.029176797499131643
Tottori,207,2.0,206.99999999999994,0.0,0.2857142857142857,0.0,1755.2208302506817,nan,0.002760524499654804,0.029176797499131643
Toyama,895,27.0,888.4285714285714,1.5714285714285714,3.8571428571428568,0.0,509.00701554273496,1.3810533663680282,0.009487055796751909,0.0
Wakayama,1154,17.0,1145.2857142857142,3.5714285714285707,2.4285714285714284,0.14285714285714285,140.57005311969613,0.9465114868814128,0.03392790320568795,0.04000000000000001
Yamagata,534,15.0,532.8571428571429,0.42857142857142855,2.142857142857143,0.14285714285714285,304.3145361532742,0.3167639217533158,0.01581769436997338,0.3333333333333333
