Pref.,npatients,ndeaths,Total cases(ave7),Total deaths(ave7),Daily cases,cases(ave7),cases/100000pop,Daily deaths,deaths(ave7),deaths/10000pop.,Td7,Rt,CFR(%)
Aichi,126308,1167.00,118451.57,166.71,3144,1907.57,25.30,1.00,0.43,0.01,58.73,2.44,0.02
Akita,2398,27.00,2226.86,3.86,87,43.00,4.52,0.00,0.00,0.00,42.47,1.94,0.00
Aomori,7689,39.00,7025.57,5.57,277,166.71,13.55,0.00,0.00,0.00,34.75,2.02,0.00
Chiba,116422,1031.00,110716.14,147.29,2296,1447.00,23.04,1.00,0.29,0.00,66.71,2.15,0.02
Ehime,7905,82.00,7119.14,11.71,309,202.71,15.28,0.00,0.00,0.00,24.20,1.59,0.00
Fukui,4109,38.00,3822.00,5.43,106,74.86,9.82,0.00,0.00,0.00,37.82,1.38,0.00
Fukuoka,92413,630.00,85345.57,90.00,2832,1745.43,34.18,1.00,0.29,0.01,45.70,2.51,0.02
Fukushima,10486,176.00,10151.29,25.14,237,77.14,4.22,0.00,0.00,0.00,117.77,1.78,0.00
Gifu,23297,220.00,21823.71,31.43,550,372.57,18.87,0.00,0.14,0.01,52.47,2.07,0.04
Gunma,22241,183.00,20491.29,26.14,709,432.14,22.43,0.00,0.14,0.01,41.83,1.96,0.03
Hiroshima,36671,213.00,32797.29,30.43,1532,1041.71,37.27,1.00,1.14,0.04,20.33,1.45,0.11
Hokkaido,71826,1479.00,67662.14,211.29,1605,1028.14,19.72,0.00,0.29,0.01,63.53,2.58,0.03
Hyogo,95112,1402.00,88293.14,200.29,2941,1657.00,30.47,0.00,0.43,0.01,52.28,2.75,0.03
Ibaraki,28618,220.00,27086.71,31.43,639,382.14,13.39,0.00,0.00,0.00,64.27,2.17,0.00
Ishikawa,9494,140.00,8886.14,20.00,263,145.43,12.87,0.00,0.14,0.01,61.08,2.71,0.10
Iwate,3752,53.00,3670.29,7.57,35,19.71,1.63,0.00,0.00,0.00,146.32,1.59,0.00
Kagawa,5980,38.00,5510.43,5.43,188,115.43,12.17,0.00,0.00,0.00,41.80,2.06,0.00
Kagoshima,12057,66.00,11166.29,9.43,370,225.14,14.18,0.00,0.00,0.00,41.64,1.75,0.00
Kanagawa,194285,1324.00,185204.43,189.14,3405,2328.00,25.27,0.00,0.43,0.00,72.38,2.33,0.02
Kochi,4759,33.00,4509.00,4.71,99,60.00,8.70,0.00,0.00,0.00,79.18,2.57,0.00
Kumamoto,20267,139.00,17993.14,19.86,771,663.29,38.21,0.00,0.43,0.02,26.80,2.68,0.06
Kyoto,47607,292.00,43604.43,41.71,1533,1013.86,39.47,0.00,0.00,0.00,35.32,2.03,0.00
Mie,17647,167.00,16672.57,23.86,369,255.71,14.47,1.00,0.29,0.02,52.54,1.82,0.11
Miyagi,17805,118.00,17208.57,16.86,253,143.14,6.24,0.00,0.00,0.00,115.99,2.15,0.00
Miyazaki,7899,41.00,7258.14,5.86,0,217.29,20.43,0.00,0.00,0.00,33.53,4.05,0.00
Nagano,12907,97.00,11648.29,13.86,485,322.14,15.84,0.00,0.00,0.00,28.49,1.70,0.00
Nagasaki,9479,74.00,8156.43,10.57,493,331.86,25.32,0.00,0.14,0.01,21.81,2.30,0.04
Nara,19774,152.00,18434.00,21.71,496,354.86,26.82,0.00,0.43,0.03,47.66,2.34,0.12
Niigata,12166,63.00,10804.14,9.00,493,337.71,15.35,0.00,0.00,0.00,25.63,1.89,0.00
Oita,10283,84.00,9440.86,12.00,332,211.86,18.83,0.00,0.00,0.00,42.32,2.60,0.00
Okayama,19425,136.00,17948.29,19.43,565,367.14,19.50,0.00,0.00,0.00,44.75,2.31,0.00
Okinawa,74360,399.00,70501.57,57.00,1313,1037.71,71.13,1.00,0.14,0.01,32.87,1.07,0.01
Osaka,256464,3077.00,237767.29,439.57,7373,4800.57,54.44,2.00,1.14,0.01,41.51,2.11,0.02
Saga,8243,32.00,7433.00,4.57,574,199.00,24.60,0.00,0.29,0.04,30.33,1.70,0.14
Saitama,135411,1061.00,128392.29,151.57,2695,1796.86,24.47,0.00,0.14,0.00,63.17,2.23,0.01
Shiga,16996,105.00,15499.43,15.00,701,377.14,26.70,0.00,0.14,0.01,33.53,1.82,0.04
Shimane,3296,5.00,2794.43,0.71,155,137.71,20.65,0.00,0.00,0.00,15.48,2.06,0.00
Shizuoka,34298,210.00,31524.43,30.00,1045,693.00,19.15,0.00,0.00,0.00,39.92,2.12,0.00
