都道府県,2020/04/12,2020/04/19,Td
島根県,3.571,14.143,3.526
香川県,5.857,22.857,3.563
広島県,33.714,109.714,4.112
富山県,24.857,73.857,4.456
鳥取県,0.714,1.571,6.154
群馬県,55.429,112.429,6.861
沖縄県,49.143,97.286,7.105
滋賀県,32.286,62.714,7.308
山形県,28.000,53.571,7.478
三重県,15.286,29.143,7.519
宮城県,41.000,75.571,7.935
福岡県,258.857,469.571,8.147
鹿児島県,3.429,6.000,8.670
長野県,25.714,44.857,8.720
埼玉県,320.857,557.286,8.789
石川県,91.286,156.429,9.009
神奈川県,424.429,698.143,9.749
東京都,1735.571,2757.286,10.482
静岡県,31.286,49.571,10.542
全国,5983.857,9474.571,10.558
岐阜県,84.571,133.857,10.567
大阪府,688.000,1078.000,10.805
山梨県,28.143,44.000,10.857
山口県,18.571,28.857,11.009
奈良県,36.571,56.000,11.387
千葉県,384.429,588.000,11.417
北海道,239.714,363.143,11.682
福島県,34.000,51.143,11.885
栃木県,28.714,43.143,11.918
兵庫県,311.571,468.000,11.926
愛媛県,28.714,41.857,12.875
茨城県,89.714,128.857,13.401
熊本県,24.143,34.286,13.834
佐賀県,11.714,16.143,15.131
京都府,171.857,232.857,15.973
福井県,77.429,104.000,16.446
青森県,16.714,22.000,17.658
新潟県,39.714,50.857,19.619
高知県,50.143,63.857,20.069
大分県,40.571,51.429,20.461
秋田県,12.714,16.000,21.108
和歌山県,32.000,40.000,21.744
長崎県,13.000,16.143,22.408
愛知県,307.000,372.429,25.114
宮崎県,14.571,17.000,31.476
岡山県,15.286,17.714,32.906
徳島県,3.000,3.000,1000
