20200406 05:13:32 JST
都道府県,day0,day1,Td
宮城県,2.0,20.0,2.107
福島県,2.0,14.0,2.493
佐賀県,1.0,6.0,2.708
茨城県,13.0,59.0,3.208
長崎県,2.0,8.0,3.500
福井県,12.0,44.0,3.734
石川県,9.0,32.0,3.825
岡山県,3.0,10.0,4.030
広島県,4.0,13.0,4.117
福岡県,21.0,67.0,4.182
徳島県,1.0,3.0,4.417
愛媛県,4.0,12.0,4.417
鹿児島県,1.0,3.0,4.417
京都府,37.0,105.0,4.652
滋賀県,6.0,17.0,4.659
山梨県,4.0,11.0,4.796
岐阜県,16.0,43.0,4.908
秋田県,4.0,10.0,5.295
静岡県,4.0,10.0,5.295
東京都,368.0,897.0,5.446
奈良県,11.0,24.0,6.219
大阪府,192.0,388.0,6.897
香川県,1.0,2.0,7.000
埼玉県,78.0,153.0,7.202
全国,1647.0,3191.0,7.336
神奈川県,104.0,197.0,7.595
高知県,13.0,24.0,7.914
青森県,6.0,11.0,8.005
長野県,6.0,11.0,8.005
千葉県,126.0,219.0,8.777
群馬県,15.0,25.0,9.498
熊本県,10.0,16.0,10.323
沖縄県,6.0,9.0,11.967
兵庫県,125.0,182.0,12.915
三重県,9.0,12.0,16.866
宮崎県,3.0,4.0,16.866
愛知県,164.0,216.0,17.617
栃木県,11.0,14.0,20.119
和歌山県,17.0,21.0,22.962
山口県,6.0,7.0,31.476
大分県,27.0,31.0,35.121
北海道,172.0,193.0,42.120
新潟県,31.0,32.0,152.826
