20200414 03:27:04 JST,,,
都道府県,2020/04/07,2020/04/14,Td
沖縄県,9,66,2.435
静岡県,10,41,3.439
香川県,2,8,3.5
広島県,16,56,3.873
群馬県,26,90,3.908
山形県,10,34,3.965
福岡県,109,362,4.042
富山県,10,30,4.417
山口県,8,23,4.594
宮崎県,6,17,4.659
山梨県,13,35,4.899
石川県,43,113,5.022
栃木県,14,35,5.295
愛媛県,12,30,5.295
長野県,12,29,5.499
福島県,16,38,5.609
宮城県,23,52,5.948
埼玉県,174,386,6.09
神奈川県,226,478,6.477
滋賀県,18,38,6.493
岐阜県,50,105,6.54
青森県,11,22,7
東京都,1040,2080,7
全国,3569,7123,7.021
大阪府,409,812,7.075
高知県,31,60,7.348
兵庫県,195,375,7.42
千葉県,238,455,7.487
京都府,111,193,8.771
福井県,51,88,8.894
茨城県,64,109,9.112
奈良県,25,41,9.808
佐賀県,8,13,9.994
長崎県,9,14,10.982
岡山県,11,16,12.949
愛知県,227,319,14.261
熊本県,20,28,14.42
北海道,194,267,15.192
秋田県,11,15,15.644
和歌山県,25,34,15.78
大分県,31,42,15.977
鹿児島県,3,4,16.866
新潟県,32,42,17.843
三重県,13,17,18.087
