20200430 18:38:40 JST
都道府県,2020/04/23,2020/04/30,Td
佐賀県,17.0,37.0,6.239
富山県,115.0,190.0,9.664
北海道,473.0,688.0,12.949
島根県,16.0,23.0,13.370
新潟県,58.0,75.0,18.876
石川県,190.0,245.0,19.085
和歌山県,47.0,60.0,19.869
静岡県,53.0,67.0,20.700
滋賀県,76.0,94.0,22.826
東京都,3320.0,4073.0,23.736
長野県,54.0,66.0,24.179
埼玉県,681.0,828.0,24.825
神奈川県,816.0,975.0,27.255
全国,11350.0,13547.0,27.421
京都府,264.0,313.0,28.499
青森県,22.0,26.0,29.045
兵庫県,546.0,636.0,31.800
岡山県,19.0,22.0,33.096
大阪府,1351.0,1555.0,34.502
福岡県,539.0,619.0,35.061
愛知県,422.0,482.0,36.498
千葉県,704.0,801.0,37.589
沖縄県,125.0,141.0,40.284
群馬県,131.0,146.0,44.757
茨城県,146.0,162.0,46.659
三重県,41.0,45.0,52.122
熊本県,41.0,45.0,52.122
奈良県,73.0,80.0,52.989
福島県,64.0,70.0,54.145
広島県,138.0,149.0,63.266
香川県,26.0,28.0,65.472
栃木県,51.0,54.0,84.887
高知県,69.0,73.0,86.101
岐阜県,140.0,146.0,115.623
山梨県,50.0,52.0,123.711
宮城県,84.0,87.0,138.269
福井県,118.0,122.0,145.547
山口県,31.0,32.0,152.826
山形県,64.0,66.0,157.679
