20200522 05:13:28 JST
都道府県,2020/05/15,2020/05/22,Td,K
愛媛県,51.0,74.0,13.035,0.311
栃木県,57.0,62.0,57.705,0.081
神奈川県,1203.0,1302.0,61.354,0.076
山梨県,57.0,60.0,94.594,0.050
北海道,979.0,1018.0,124.209,0.038
埼玉県,973.0,996.0,207.679,0.023
富山県,222.0,227.0,217.847,0.022
全国,15759.0,16102.0,225.342,0.021
佐賀県,46.0,47.0,225.611,0.021
石川県,284.0,290.0,232.080,0.021
滋賀県,97.0,99.0,237.741,0.020
愛知県,496.0,506.0,243.079,0.020
東京都,4997.0,5075.0,313.261,0.015
千葉県,888.0,901.0,333.851,0.014
大阪府,1750.0,1774.0,356.214,0.014
新潟県,82.0,83.0,400.288,0.012
奈良県,90.0,91.0,439.104,0.011
兵庫県,694.0,699.0,675.885,0.007
群馬県,147.0,148.0,715.672,0.007
広島県,165.0,166.0,803.009,0.006
京都府,356.0,358.0,866.085,0.006
青森県,27.0,27.0,1000,0.000
岩手県,0.0,0.0,1000,0
宮城県,88.0,88.0,1000,0.000
秋田県,16.0,16.0,1000,0.000
山形県,69.0,69.0,1000,0.000
福島県,81.0,81.0,1000,0.000
茨城県,168.0,168.0,1000,0.000
福井県,122.0,122.0,1000,0.000
長野県,76.0,76.0,1000,0.000
岐阜県,150.0,150.0,1000,0.000
静岡県,73.0,73.0,1000,0.000
三重県,45.0,45.0,1000,0.000
和歌山県,63.0,63.0,1000,0.000
鳥取県,3.0,3.0,1000,0.000
島根県,24.0,24.0,1000,0.000
岡山県,25.0,25.0,1000,0.000
山口県,37.0,37.0,1000,0.000
徳島県,5.0,5.0,1000,0.000
香川県,28.0,28.0,1000,0.000
高知県,74.0,74.0,1000,0.000
長崎県,17.0,17.0,1000,0.000
熊本県,48.0,48.0,1000,0.000
大分県,60.0,60.0,1000,0.000
宮崎県,17.0,17.0,1000,0.000
鹿児島県,11.0,10.0,1000,-0.100
沖縄県,142.0,142.0,1000,0.000
福岡県,656.0,658.0,1593.891,0.003
