20200531 15:49:09 JST,,,,,
都道府県,2020/05/24,2020/05/31,Td,K,R0
福岡県,658,703,73.347,0.064,1.068
山梨県,60,64,75.18,0.062,1.067
北海道,1024,1078,94.414,0.05,1.053
愛媛県,78,82,97.02,0.049,1.051
神奈川県,1322,1359,175.777,0.027,1.028
静岡県,74,76,181.94,0.026,1.027
東京都,5136,5217,310.074,0.016,1.016
栃木県,64,65,312.95,0.015,1.016
全国,16213,16458,323.506,0.015,1.015
石川県,294,298,359.045,0.013,1.014
奈良県,91,92,443.956,0.011,1.011
滋賀県,99,100,482.773,0.01,1.01
埼玉県,998,1004,809.478,0.006,1.006
千葉県,904,906,2195.543,0.002,1.002
愛知県,506,507,2457.553,0.002,1.002
大阪府,1780,1782,4320.732,0.001,1.001
青森県,27,27,5000,0,1
岩手県,0,0,5000,0,1
宮城県,88,88,5000,0,1
秋田県,16,16,5000,0,1
山形県,69,69,5000,0,1
福島県,81,81,5000,0,1
茨城県,168,168,5000,0,1
群馬県,149,149,5000,0,1
新潟県,83,83,5000,0,1
富山県,227,227,5000,0,1
福井県,122,122,5000,0,1
長野県,76,76,5000,0,1
岐阜県,150,150,5000,0,1
三重県,45,45,5000,0,1
京都府,358,358,5000,0,1
兵庫県,699,699,5000,0,1
和歌山県,63,63,5000,0,1
鳥取県,3,3,5000,0,1
島根県,24,24,5000,0,1
岡山県,25,25,5000,0,1
広島県,167,167,5000,0,1
山口県,37,37,5000,0,1
徳島県,5,5,5000,0,1
香川県,28,28,5000,0,1
高知県,74,74,5000,0,1
佐賀県,47,47,5000,0,1
長崎県,17,17,5000,0,1
熊本県,48,48,5000,0,1
大分県,60,60,5000,0,1
宮崎県,17,17,5000,0,1
鹿児島県,10,10,5000,0,1
沖縄県,142,142,5000,0,1
