20200823 03:45:28 JST
都道府県,2020/08/16,2020/08/23,Td,K,R0
大分県,94.0,137.0,12.881,0.314,1.457
岩手県,8.0,11.0,15.236,0.273,1.375
群馬県,270.0,361.0,16.705,0.252,1.337
奈良県,364.0,472.0,18.674,0.229,1.297
徳島県,81.0,104.0,19.413,0.221,1.284
高知県,83.0,106.0,19.837,0.217,1.277
石川県,425.0,532.0,21.607,0.201,1.252
山口県,82.0,100.0,24.450,0.180,1.220
沖縄県,1510.0,1834.0,24.960,0.177,1.215
鹿児島県,281.0,340.0,25.458,0.174,1.210
宮崎県,253.0,303.0,26.904,0.165,1.198
福島県,102.0,122.0,27.099,0.164,1.196
山梨県,136.0,162.0,27.735,0.160,1.191
佐賀県,180.0,214.0,28.043,0.159,1.189
三重県,268.0,318.0,28.364,0.157,1.187
秋田県,38.0,45.0,28.697,0.156,1.184
和歌山県,190.0,223.0,30.297,0.148,1.174
神奈川県,3638.0,4269.0,30.336,0.148,1.173
京都府,1061.0,1243.0,30.648,0.146,1.172
香川県,61.0,71.0,31.962,0.141,1.164
熊本県,380.0,442.0,32.103,0.140,1.163
福岡県,3359.0,3900.0,32.491,0.139,1.161
大阪府,6547.0,7586.0,32.940,0.137,1.159
愛知県,3454.0,3978.0,34.352,0.132,1.152
滋賀県,324.0,373.0,34.452,0.131,1.151
兵庫県,1776.0,2033.0,35.901,0.126,1.145
千葉県,2355.0,2695.0,35.979,0.126,1.144
全国,52720.0,59839.0,38.307,0.119,1.135
長野県,145.0,163.0,41.465,0.110,1.124
富山県,301.0,336.0,44.109,0.104,1.116
埼玉県,3113.0,3465.0,45.293,0.102,1.113
茨城県,443.0,490.0,48.118,0.096,1.106
東京都,17069.0,18865.0,48.499,0.095,1.105
静岡県,398.0,433.0,57.566,0.081,1.088
岡山県,123.0,133.0,62.074,0.075,1.081
長崎県,178.0,192.0,64.086,0.073,1.079
岐阜県,500.0,533.0,75.916,0.062,1.066
栃木県,269.0,286.0,79.177,0.059,1.063
新潟県,129.0,137.0,80.641,0.058,1.062
北海道,1593.0,1671.0,101.500,0.047,1.049
鳥取県,21.0,22.0,104.300,0.045,1.048
愛媛県,109.0,112.0,178.705,0.027,1.028
宮城県,184.0,189.0,180.970,0.026,1.027
広島県,430.0,438.0,263.215,0.018,1.019
島根県,132.0,134.0,322.654,0.015,1.015
山形県,76.0,77.0,371.175,0.013,1.013
福井県,154.0,156.0,376.027,0.013,1.013
青森県,33.0,33.0,5000,0.000,1
