2020/08/31 07:10:52 JST
北海道,1760,103
青森県,35,1
岩手県,19,0
宮城県,198,2
秋田県,49,0
山形県,77,1
福島県,157,0
茨城県,542,13
栃木県,303,1
群馬県,434,19
埼玉県,3862,89
千葉県,2994,61
東京都,20569,358
神奈川県,4848,116
新潟県,142,0
富山県,379,23
石川県,620,33
福井県,211,8
山梨県,172,3
長野県,237,-
岐阜県,555,10
静岡県,478,1
愛知県,4412,61
三重県,365,2
滋賀県,441,5
京都府,1401,22
大阪府,8429,147
兵庫県,2235,53
奈良県,510,5
和歌山県,230,4
鳥取県,22,0
島根県,137,0
岡山県,145,-
広島県,456,3
山口県,158,0
徳島県,128,4
香川県,77,1
愛媛県,114,6
高知県,124,3
福岡県,4412,56
佐賀県,237,0
長崎県,229,3
熊本県,509,7
大分県,144,1
宮崎県,333,1
鹿児島県,359,11
沖縄県,2084,26
