和歌山県,Td
2020/04/01,16.480
2020/04/02,13.951
2020/04/03,12.503
2020/04/04,11.576
2020/04/05,11.182
2020/04/06,10.494
2020/04/07,10.893
2020/04/08,11.901
2020/04/09,13.212
2020/04/10,14.492
2020/04/11,17.192
2020/04/12,19.939
2020/04/13,23.368
2020/04/14,22.986
2020/04/15,21.744
2020/04/16,20.705
2020/04/17,20.738
2020/04/18,19.237
2020/04/19,18.071
2020/04/20,16.262
2020/04/21,16.921
2020/04/22,17.409
2020/04/23,17.886
2020/04/24,17.905
2020/04/25,18.528
2020/04/26,19.762
2020/04/27,23.805
