埼玉県,Td
2020/04/01,7.053
2020/04/02,6.852
2020/04/03,6.517
2020/04/04,6.017
2020/04/05,5.799
2020/04/06,5.728
2020/04/07,5.721
2020/04/08,5.744
2020/04/09,5.839
2020/04/10,6.069
2020/04/11,6.800
2020/04/12,7.258
2020/04/13,7.741
2020/04/14,8.238
2020/04/15,8.789
2020/04/16,9.355
2020/04/17,10.224
2020/04/18,10.813
2020/04/19,11.902
2020/04/20,12.737
2020/04/21,14.240
2020/04/22,15.861
2020/04/23,17.862
2020/04/24,19.145
2020/04/25,21.868
2020/04/26,24.709
2020/04/27,28.752
