大分県,Td
2020/04/01,13.578
2020/04/02,16.866
2020/04/03,18.340
2020/04/04,20.311
2020/04/05,22.860
2020/04/06,20.592
2020/04/07,18.493
2020/04/08,16.866
2020/04/09,15.566
2020/04/10,16.866
2020/04/11,18.493
2020/04/12,19.006
2020/04/13,19.504
2020/04/14,19.989
2020/04/15,20.461
2020/04/16,19.782
2020/04/17,20.100
2020/04/18,20.138
2020/04/19,22.237
2020/04/20,24.679
2020/04/21,27.556
2020/04/22,31.476
2020/04/23,44.922
2020/04/24,59.294
2020/04/25,86.154
2020/04/26,117.431
2020/04/27,182.823
2020/04/28,405.140
2020/04/29,1000
2020/04/30,1000
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,1000
2020/07/08,1000
2020/07/09,1000
2020/07/10,1000
2020/07/11,1000
2020/07/12,1000
2020/07/13,1000
2020/07/14,1000
2020/07/15,1000
2020/07/16,1000
2020/07/17,1000
2020/07/18,1000
2020/07/19,1000
2020/07/21,1000
2020/07/22,1021.350
2020/07/23,511.885
2020/07/24,257.150
2020/07/25,147.974
2020/07/26,95.035
2020/07/28,70.327
2020/07/29,56.019
2020/07/30,45.948
2020/07/31,38.467
2020/08/01,34.318
2020/08/02,28.680
2020/08/03,24.686
2020/08/04,21.658
2020/08/05,19.419
2020/08/06,18.692
2020/08/07,18.195
2020/08/08,17.649
2020/08/11,18.838
2020/08/12,19.966
2020/08/13,20.542
2020/08/14,19.939
2020/08/15,18.440
2020/08/16,17.103
2020/08/17,16.239
2020/08/18,15.469
2020/08/19,15.561
2020/08/20,16.485
2020/08/21,18.863
2020/08/22,22.646
2020/08/23,28.806
2020/08/24,38.354
2020/08/25,51.447
2020/08/26,69.256
2020/08/27,86.829
2020/08/28,98.456
2020/08/29,101.469
2020/08/30,91.089
2020/08/31,81.387
2020/09/01,75.916
2020/09/02,69.196
2020/09/03,66.166
2020/09/04,65.784
2020/09/06,69.802
2020/09/07,83.870
2020/09/08,104.688
2020/09/09,135.034
2020/09/10,189.219
2020/09/11,313.235
2020/09/13,593.831
2020/09/15,1339.159
2020/09/17,1786.355
2020/09/18,2680.746
2020/09/19,5363.919
2020/09/22,1000
2020/09/23,1000
2020/09/24,1000
2020/09/25,1000
2020/09/26,1000
2020/09/28,1000
2020/09/29,1000
2020/10/01,1000
2020/10/02,1000
2020/10/03,1000
2020/10/04,1000
2020/10/05,1000
2020/10/06,1000
2020/10/07,5368.771
2020/10/08,2685.598
2020/10/09,1791.207
2020/10/12,1344.011
2020/10/14,1075.693
2020/10/15,896.815
2020/10/17,769.044
2020/10/18,897.623
2020/10/20,1077.634
2020/10/22,1347.650
2020/10/23,1797.676
2020/10/25,1799.293
2020/10/27,1800.911
2020/10/29,1352.502
2020/10/30,902.475
2020/11/05,602.457
2020/11/06,12.083
