奈良県,Td
2020/04/01,4.959
2020/04/02,4.926
2020/04/03,5.279
2020/04/04,5.822
2020/04/05,6.578
2020/04/06,7.092
2020/04/07,7.629
2020/04/08,8.135
2020/04/09,8.755
2020/04/10,8.922
2020/04/11,9.698
2020/04/12,10.142
2020/04/13,10.591
2020/04/14,10.864
2020/04/15,11.387
2020/04/16,11.588
2020/04/17,12.599
2020/04/18,12.814
2020/04/19,13.380
2020/04/20,13.713
2020/04/21,15.006
2020/04/22,16.291
2020/04/23,19.661
2020/04/24,22.387
2020/04/25,27.153
2020/04/26,31.845
2020/04/27,37.533
