岐阜県,Td
2020/04/01,5.910
2020/04/02,5.833
2020/04/03,5.340
2020/04/04,4.830
2020/04/05,5.123
2020/04/06,5.375
2020/04/07,5.564
2020/04/08,5.629
2020/04/09,5.535
2020/04/10,6.027
2020/04/11,6.910
2020/04/12,7.313
2020/04/13,7.955
2020/04/14,9.007
2020/04/15,10.567
2020/04/16,13.777
2020/04/17,17.323
2020/04/18,21.279
2020/04/19,28.370
2020/04/20,37.794
2020/04/21,49.864
2020/04/22,64.674
2020/04/23,72.239
2020/04/24,80.196
2020/04/25,105.355
2020/04/26,125.080
2020/04/27,148.856
2020/04/28,164.634
2020/04/29,183.917
2020/04/30,199.603
2020/05/01,218.016
2020/05/02,186.074
2020/05/03,201.350
2020/05/04,240.167
2020/05/05,297.252
2020/05/06,389.464
2020/05/07,563.641
2020/05/08,1016.498
2020/05/09,5092.205
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,5097.057
2020/05/28,2549.741
2020/05/29,1700.635
2020/05/30,1276.082
2020/05/31,1021.350
2020/06/01,851.529
2020/06/02,730.228
2020/06/03,730.921
2020/06/04,640.465
2020/06/05,570.110
2020/06/06,513.826
2020/06/07,467.776
2020/06/08,429.400
2020/06/09,368.749
2020/06/10,344.650
2020/06/11,345.297
2020/06/12,345.944
2020/06/13,346.591
2020/06/15,325.687
2020/06/16,307.241
2020/06/17,327.203
2020/06/18,327.809
2020/06/19,350.149
2020/06/20,375.681
2020/06/21,405.140
2020/06/22,527.412
2020/06/23,754.488
2020/06/24,1057.256
2020/06/25,1763.712
2020/06/26,1765.329
2020/06/27,884.685
2020/06/28,591.136
2020/06/29,409.992
2020/06/30,314.091
2020/07/01,254.724
2020/07/02,191.645
2020/07/03,179.191
2020/07/04,192.511
2020/07/05,207.881
2020/07/06,225.813
2020/07/07,247.005
2020/07/08,272.434
2020/07/09,364.706
2020/07/10,305.132
2020/07/11,250.533
2020/07/12,184.690
2020/07/13,129.805
2020/07/14,95.416
2020/07/15,64.163
2020/07/16,47.525
2020/07/17,37.413
2020/07/18,30.187
2020/07/19,24.893
2020/07/21,21.481
2020/07/22,18.181
2020/07/23,15.997
2020/07/24,14.247
2020/07/25,12.939
2020/07/26,12.003
2020/07/28,11.577
2020/07/29,11.263
2020/07/30,11.450
2020/07/31,12.008
2020/08/01,12.992
2020/08/02,13.589
2020/08/03,14.363
2020/08/04,15.024
2020/08/05,15.756
2020/08/06,16.458
2020/08/07,17.180
2020/08/08,17.283
2020/08/11,19.919
2020/08/12,23.107
2020/08/13,26.972
2020/08/14,32.265
2020/08/15,38.686
2020/08/16,46.823
2020/08/17,62.366
2020/08/18,67.966
2020/08/19,73.549
2020/08/20,81.809
2020/08/21,87.828
2020/08/22,98.754
2020/08/23,108.368
2020/08/24,115.953
2020/08/25,125.406
2020/08/26,140.491
2020/08/27,150.380
2020/08/28,169.015
2020/08/29,179.514
2020/08/30,189.341
2020/08/31,206.682
2020/09/01,224.629
2020/09/02,233.578
2020/09/03,249.744
2020/09/04,253.883
2020/09/06,212.671
2020/09/07,176.598
2020/09/08,146.577
2020/09/09,125.464
2020/09/10,109.207
2020/09/11,98.234
2020/09/13,92.235
2020/09/15,100.679
2020/09/17,113.922
2020/09/18,123.086
2020/09/19,133.705
2020/09/22,141.200
2020/09/23,146.241
2020/09/24,146.115
2020/09/25,134.330
2020/09/26,125.828
2020/09/28,131.097
2020/09/29,136.778
2020/10/01,155.630
2020/10/02,186.621
2020/10/03,230.094
2020/10/04,279.559
2020/10/05,333.116
2020/10/06,356.295
2020/10/07,369.669
2020/10/08,352.244
2020/10/09,312.036
2020/10/12,266.525
2020/10/14,204.600
2020/10/15,163.881
2020/10/17,141.274
2020/10/18,127.161
2020/10/20,101.651
2020/10/22,85.538
2020/10/23,74.537
2020/10/25,69.510
2020/10/27,65.961
2020/10/29,61.169
2020/10/30,55.902
2020/11/05,55.165
2020/11/06,13.640
