岩手県,Td
2020/08/01,1.839
2020/08/02,2.614
2020/08/03,3.573
2020/08/04,4.523
2020/08/05,5.511
2020/08/06,6.560
2020/08/07,7.438
2020/08/08,8.092
2020/08/11,9.994
2020/08/12,11.189
2020/08/13,12.513
2020/08/14,13.988
2020/08/15,15.644
2020/08/16,17.843
2020/08/17,18.819
2020/08/18,17.153
2020/08/19,16.866
2020/08/20,16.609
2020/08/21,16.377
2020/08/22,12.669
2020/08/23,11.519
2020/08/24,10.670
2020/08/25,10.017
2020/08/26,9.657
2020/08/27,9.353
2020/08/28,8.728
2020/08/29,10.614
2020/08/30,12.176
2020/08/31,14.022
2020/09/01,16.239
2020/09/02,18.358
2020/09/03,20.858
2020/09/04,29.855
2020/09/06,33.023
2020/09/07,40.925
2020/09/08,53.336
2020/09/09,75.666
2020/09/10,127.755
2020/09/11,388.157
2020/09/13,778.748
2020/09/15,1000
2020/09/17,1000
2020/09/18,1000
2020/09/19,1000
2020/09/22,1000
2020/09/23,1000
2020/09/24,1000
2020/09/25,1000
2020/09/26,1000
2020/09/28,1000
2020/09/29,783.600
2020/10/01,393.009
2020/10/02,262.811
2020/10/03,197.710
2020/10/04,158.649
2020/10/05,132.607
2020/10/06,100.054
2020/10/07,89.741
2020/10/08,81.490
2020/10/09,74.739
2020/10/12,69.113
2020/10/14,59.924
2020/10/15,53.032
2020/10/17,53.639
2020/10/18,57.705
2020/10/20,62.352
2020/10/22,59.000
2020/10/23,56.067
2020/10/25,60.618
2020/10/27,61.589
2020/10/29,58.494
2020/10/30,52.526
2020/11/05,41.828
2020/11/06,4.417
