熊本県,Td
2020/04/01,7.854
2020/04/02,8.734
2020/04/03,9.741
2020/04/04,10.784
2020/04/05,11.020
2020/04/06,11.409
2020/04/07,12.439
2020/04/08,12.604
2020/04/09,13.039
2020/04/10,13.752
2020/04/11,14.465
2020/04/12,14.296
2020/04/13,13.884
2020/04/14,13.945
2020/04/15,13.834
2020/04/16,13.734
2020/04/17,13.943
2020/04/18,13.846
2020/04/19,15.215
2020/04/20,16.732
2020/04/21,18.589
2020/04/22,21.424
2020/04/23,25.419
2020/04/24,28.300
2020/04/25,34.795
2020/04/26,39.357
2020/04/27,45.022
2020/04/28,51.912
2020/04/29,58.564
2020/04/30,64.057
2020/05/01,86.236
2020/05/02,111.579
2020/05/03,143.121
2020/05/04,198.317
2020/05/05,227.690
2020/05/06,266.854
2020/05/07,321.684
2020/05/08,268.472
2020/05/09,230.463
2020/05/10,269.280
2020/05/11,323.624
2020/05/12,405.140
2020/05/13,540.998
2020/05/14,812.713
2020/05/15,1627.855
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1632.707
2020/06/19,817.565
2020/06/20,545.850
2020/06/21,409.992
2020/06/22,328.476
2020/06/23,274.133
2020/06/24,235.315
2020/06/25,274.941
2020/06/26,330.417
2020/06/27,413.631
2020/06/28,552.319
2020/06/29,829.695
2020/06/30,1661.819
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,1000
2020/07/07,1000
2020/07/08,1000
2020/07/09,1000
2020/07/10,1000
2020/07/11,1000
2020/07/12,1666.671
2020/07/13,834.547
2020/07/14,557.171
2020/07/15,335.269
2020/07/16,210.447
2020/07/17,106.423
2020/07/18,71.742
2020/07/19,39.467
2020/07/21,20.137
2020/07/22,12.968
2020/07/23,8.670
2020/07/24,6.833
2020/07/25,5.645
2020/07/26,4.802
2020/07/28,4.466
2020/07/29,4.482
2020/07/30,4.547
2020/07/31,4.938
2020/08/01,5.273
2020/08/02,5.809
2020/08/03,6.632
2020/08/04,7.311
2020/08/05,8.055
2020/08/06,9.274
2020/08/07,11.040
2020/08/08,13.105
2020/08/11,15.991
2020/08/12,19.042
2020/08/13,23.233
2020/08/14,27.992
2020/08/15,31.559
2020/08/16,31.957
2020/08/17,32.488
2020/08/18,32.314
2020/08/19,32.655
2020/08/20,33.427
2020/08/21,34.132
2020/08/22,35.847
2020/08/23,37.069
2020/08/24,40.849
2020/08/25,44.319
2020/08/26,46.360
2020/08/27,47.248
2020/08/28,49.246
2020/08/29,50.383
2020/08/30,53.343
2020/08/31,55.497
2020/09/01,56.826
2020/09/02,61.883
2020/09/03,68.113
2020/09/04,71.622
2020/09/06,76.655
2020/09/07,81.522
2020/09/08,84.821
2020/09/09,90.901
2020/09/10,92.864
2020/09/11,99.858
2020/09/13,118.616
2020/09/15,146.630
2020/09/17,187.649
2020/09/18,249.494
2020/09/19,344.142
2020/09/22,568.683
2020/09/23,969.191
2020/09/24,970.889
2020/09/25,747.770
2020/09/26,487.140
2020/09/28,268.150
2020/09/29,157.679
2020/10/01,105.147
2020/10/02,78.907
2020/10/03,59.312
2020/10/04,46.215
2020/10/05,37.658
2020/10/06,33.279
2020/10/07,31.203
2020/10/08,30.103
2020/10/09,29.231
2020/10/12,30.342
2020/10/14,32.413
2020/10/15,36.696
2020/10/17,42.263
2020/10/18,48.413
2020/10/20,52.899
2020/10/22,56.969
2020/10/23,59.248
2020/10/25,60.239
2020/10/27,57.663
2020/10/29,53.452
2020/10/30,50.880
2020/11/05,53.237
2020/11/06,20.206
