福岡県,Td
2020/04/01,3.461
2020/04/02,3.648
2020/04/03,3.858
2020/04/04,3.944
2020/04/05,4.028
2020/04/06,3.748
2020/04/07,3.863
2020/04/08,3.839
2020/04/09,3.931
2020/04/10,4.071
2020/04/11,4.482
2020/04/12,4.806
2020/04/13,5.839
2020/04/14,6.898
2020/04/15,8.147
2020/04/16,9.731
2020/04/17,11.946
2020/04/18,14.170
2020/04/19,17.412
2020/04/20,18.633
2020/04/21,20.820
2020/04/22,23.244
2020/04/23,25.842
2020/04/24,26.779
2020/04/25,29.215
2020/04/26,32.144
2020/04/27,36.818
