香川県,Td
2020/04/01,8.670
2020/04/02,10.982
2020/04/03,11.967
2020/04/04,11.146
2020/04/05,10.559
2020/04/06,10.117
2020/04/07,7.388
2020/04/08,4.516
2020/04/09,3.373
2020/04/10,2.990
2020/04/11,2.855
2020/04/12,2.721
2020/04/13,2.629
2020/04/14,2.830
2020/04/15,3.563
2020/04/16,4.690
2020/04/17,5.941
2020/04/18,7.410
2020/04/19,10.064
2020/04/20,14.239
2020/04/21,20.526
2020/04/22,26.612
2020/04/23,31.129
2020/04/24,37.146
2020/04/25,53.478
2020/04/26,70.700
2020/04/27,103.221
2020/04/28,156.061
2020/04/29,235.315
2020/04/30,473.069
2020/05/01,1000
2020/05/02,1000
2020/05/03,1000
2020/05/04,1000
2020/05/05,1000
2020/05/06,1000
2020/05/07,1000
2020/05/08,1000
2020/05/09,1000
2020/05/10,1000
2020/05/11,1000
2020/05/12,1000
2020/05/13,1000
2020/05/14,1000
2020/05/15,1000
2020/05/16,1000
2020/05/17,1000
2020/05/18,1000
2020/05/19,1000
2020/05/20,1000
2020/05/21,1000
2020/05/22,1000
2020/05/23,1000
2020/05/24,1000
2020/05/25,1000
2020/05/26,1000
2020/05/27,1000
2020/05/28,1000
2020/05/29,1000
2020/05/30,1000
2020/05/31,1000
2020/06/01,1000
2020/06/02,1000
2020/06/03,1000
2020/06/04,1000
2020/06/05,1000
2020/06/06,1000
2020/06/07,1000
2020/06/08,1000
2020/06/09,1000
2020/06/10,1000
2020/06/11,1000
2020/06/12,1000
2020/06/13,1000
2020/06/15,1000
2020/06/16,1000
2020/06/17,1000
2020/06/18,1000
2020/06/19,1000
2020/06/20,1000
2020/06/21,1000
2020/06/22,1000
2020/06/23,1000
2020/06/24,1000
2020/06/25,1000
2020/06/26,1000
2020/06/27,1000
2020/06/28,1000
2020/06/29,1000
2020/06/30,1000
2020/07/01,1000
2020/07/02,1000
2020/07/03,1000
2020/07/04,1000
2020/07/05,1000
2020/07/06,953.422
2020/07/07,477.921
2020/07/08,319.419
2020/07/09,192.615
2020/07/10,121.285
2020/07/11,45.610
2020/07/12,28.774
2020/07/13,21.452
2020/07/14,17.324
2020/07/15,14.671
2020/07/16,13.113
2020/07/17,12.064
2020/07/18,14.039
2020/07/19,16.557
2020/07/21,20.769
2020/07/22,27.280
2020/07/23,37.743
2020/07/24,56.697
2020/07/25,116.245
2020/07/26,138.269
2020/07/28,170.079
2020/07/29,170.618
2020/07/30,171.157
2020/07/31,220.758
2020/08/01,130.585
2020/08/02,66.686
2020/08/03,44.214
2020/08/04,33.420
2020/08/05,27.076
2020/08/06,22.898
2020/08/07,19.494
2020/08/08,19.490
2020/08/11,22.092
2020/08/12,25.380
2020/08/13,29.560
2020/08/14,33.948
2020/08/15,38.811
2020/08/16,44.129
2020/08/17,45.040
2020/08/18,42.129
2020/08/19,41.836
2020/08/20,41.554
2020/08/21,42.184
2020/08/22,44.464
2020/08/23,52.095
2020/08/24,56.688
2020/08/25,60.375
2020/08/26,61.103
2020/08/27,61.832
2020/08/28,67.572
2020/08/29,64.975
2020/08/30,55.763
2020/08/31,55.247
2020/09/01,54.752
2020/09/02,54.277
2020/09/03,51.842
2020/09/04,47.841
2020/09/06,49.347
2020/09/07,51.987
2020/09/08,51.702
2020/09/09,51.428
2020/09/10,50.322
2020/09/11,52.815
2020/09/13,56.496
2020/09/15,60.424
2020/09/17,70.778
2020/09/18,85.157
2020/09/19,106.475
2020/09/22,155.495
2020/09/23,240.541
2020/09/24,448.808
2020/09/25,1050.463
2020/09/26,1576.909
2020/09/28,3156.245
2020/09/29,1000
2020/10/01,1000
2020/10/02,1000
2020/10/03,1000
2020/10/04,3161.097
2020/10/05,792.091
2020/10/06,453.661
2020/10/07,289.571
2020/10/08,188.220
2020/10/09,139.746
2020/10/12,111.328
2020/10/14,92.791
2020/10/15,88.298
2020/10/17,84.265
2020/10/18,84.763
2020/10/20,92.437
2020/10/22,101.506
2020/10/23,108.840
2020/10/25,125.868
2020/10/27,136.716
2020/10/29,143.323
2020/10/30,133.229
2020/11/05,120.197
2020/11/06,17.227
