高知県,Td
2020/04/01,7.774
2020/04/02,7.277
2020/04/03,7.306
2020/04/04,6.789
2020/04/05,6.357
2020/04/06,6.180
2020/04/07,6.330
2020/04/08,6.585
2020/04/09,6.973
2020/04/10,7.206
2020/04/11,8.718
2020/04/12,10.568
2020/04/13,12.993
2020/04/14,16.260
2020/04/15,20.069
2020/04/16,24.810
2020/04/17,33.173
2020/04/18,34.455
2020/04/19,36.995
2020/04/20,37.736
2020/04/21,40.327
2020/04/22,44.909
2020/04/23,50.486
2020/04/24,53.446
2020/04/25,62.662
2020/04/26,72.974
2020/04/27,93.661
