20200504 04:15:57 JST
都道府県,2020/04/27,2020/05/04,Td
島根県,16.0,23.0,13.370
北海道,601.0,823.0,15.435
富山県,175.0,209.0,27.328
新潟県,65.0,77.0,28.639
青森県,22.0,26.0,29.045
静岡県,62.0,73.0,29.708
佐賀県,36.0,42.0,31.476
東京都,3850.0,4491.0,31.506
石川県,224.0,260.0,32.556
奈良県,76.0,86.0,39.251
京都府,290.0,328.0,39.405
全国,12883.0,14529.0,40.354
広島県,143.0,161.0,40.925
神奈川県,943.0,1060.0,41.485
大阪府,1477.0,1658.0,41.973
埼玉県,786.0,878.0,43.834
福島県,68.0,75.0,49.520
山口県,31.0,34.0,52.526
岡山県,21.0,23.0,53.336
熊本県,43.0,47.0,54.549
福岡県,595.0,648.0,56.862
和歌山県,57.0,62.0,57.705
山梨県,51.0,55.0,64.259
沖縄県,133.0,142.0,74.102
長崎県,16.0,17.0,80.034
千葉県,778.0,823.0,86.289
兵庫県,619.0,654.0,88.215
長野県,66.0,69.0,109.153
茨城県,158.0,165.0,111.926
群馬県,140.0,146.0,115.623
栃木県,52.0,54.0,128.564
宮城県,85.0,88.0,139.886
愛知県,475.0,491.0,146.457
山形県,66.0,68.0,162.531
高知県,72.0,74.0,177.088
岐阜県,146.0,150.0,179.514
滋賀県,94.0,96.0,230.463
福井県,120.0,122.0,293.541
岩手県,0.0,0.0,1000
秋田県,16.0,16.0,1000
三重県,45.0,45.0,1000
鳥取県,3.0,3.0,1000
徳島県,5.0,5.0,1000
香川県,28.0,28.0,1000
愛媛県,47.0,47.0,1000
大分県,60.0,60.0,1000
宮崎県,17.0,17.0,1000
鹿児島県,10.0,10.0,1000
