20200602 05:35:29 JST
都道府県,2020/05/26,2020/06/02,Td,K,R0
福岡県,662.0,746.0,40.616,0.113,1.127
山梨県,60.0,64.0,75.180,0.062,1.067
北海道,1039.0,1085.0,112.001,0.042,1.044
神奈川県,1322.0,1359.0,175.777,0.027,1.028
愛媛県,80.0,82.0,196.497,0.024,1.025
全国,16255.0,16530.0,289.218,0.017,1.017
東京都,5152.0,5236.0,300.011,0.016,1.016
栃木県,64.0,65.0,312.950,0.015,1.016
静岡県,75.0,76.0,366.323,0.013,1.013
奈良県,91.0,92.0,443.956,0.011,1.011
石川県,295.0,298.0,479.538,0.010,1.010
千葉県,904.0,909.0,879.671,0.006,1.006
埼玉県,999.0,1003.0,1214.219,0.004,1.004
愛知県,506.0,507.0,2457.553,0.002,1.002
大阪府,1781.0,1783.0,4323.159,0.001,1.001
青森県,27.0,27.0,5000,0.000,1
岩手県,0.0,0.0,5000,0,1
宮城県,88.0,88.0,5000,0.000,1
秋田県,16.0,16.0,5000,0.000,1
山形県,69.0,69.0,5000,0.000,1
福島県,81.0,81.0,5000,0.000,1
茨城県,168.0,168.0,5000,0.000,1
群馬県,149.0,149.0,5000,0.000,1
新潟県,83.0,83.0,5000,0.000,1
富山県,227.0,227.0,5000,0.000,1
福井県,122.0,122.0,5000,0.000,1
長野県,76.0,76.0,5000,0.000,1
岐阜県,150.0,150.0,5000,0.000,1
三重県,45.0,45.0,5000,0.000,1
滋賀県,100.0,100.0,5000,0.000,1
京都府,358.0,358.0,5000,0.000,1
兵庫県,699.0,699.0,5000,0.000,1
和歌山県,63.0,63.0,5000,0.000,1
鳥取県,3.0,3.0,5000,0.000,1
島根県,24.0,24.0,5000,0.000,1
岡山県,25.0,25.0,5000,0.000,1
広島県,167.0,167.0,5000,0.000,1
山口県,37.0,37.0,5000,0.000,1
徳島県,5.0,5.0,5000,0.000,1
香川県,28.0,28.0,5000,0.000,1
高知県,74.0,74.0,5000,0.000,1
佐賀県,47.0,47.0,5000,0.000,1
長崎県,17.0,17.0,5000,0.000,1
熊本県,48.0,48.0,5000,0.000,1
大分県,60.0,60.0,5000,0.000,1
宮崎県,17.0,17.0,5000,0.000,1
鹿児島県,10.0,10.0,5000,0.000,1
沖縄県,142.0,142.0,5000,0.000,1
