Country,Deaths/Mil.,2020/09/02 00:45:37 UTC
World,2005.981
Total:,2005.981
"
North America
",707.070
Total:,707.070
"
South America
",487.998
Total:,487.998
USA,455.857
"
Asia
",376.730
Total:,376.730
"
Europe
",335.260
Total:,335.260
Mexico,331.546
Brazil,258.162
Iran,213.273
India,157.834
Peru,66.043
Spain,50.942
Argentina,48.194
Colombia,47.972
France,45.454
Russia,39.786
"
Africa
",30.050
Total:,30.050
Chile,26.361
Turkey,23.405
Romania,21.689
Ecuador,20.694
Saudi Arabia,18.847
Moldova,15.577
Iraq,15.571
Italy,14.055
Philippines,13.425
Pakistan,12.526
South Africa,12.237
Germany,9.343
Belgium,8.591
UK,7.386
El Salvador,7.319
Ethiopia,5.344
Japan,4.434
Dominican Republic,3.788
Ukraine,3.739
Netherlands,3.679
Panama,3.624
Canada,3.528
Israel,3.342
Kazakhstan,3.315
Bolivia,3.061
Poland,2.606
Bulgaria,2.419
Egypt,2.250
Bahamas,1.823
S. Korea,1.670
Costa Rica,1.565
Paraguay,1.532
Afghanistan,1.509
Portugal,1.378
Honduras,1.320
Sweden,1.307
Oman,1.235
Uzbekistan,1.127
Serbia,1.090
"
Oceania
",0.982
Algeria,0.982
Total:,0.982
Greece,0.979
Angola,0.959
Lebanon,0.933
Venezuela,0.818
Austria,0.797
Switzerland,0.759
Kenya,0.740
Hungary,0.689
Albania,0.664
Australia,0.662
Senegal,0.645
Cameroon,0.640
Kyrgyzstan,0.578
Morocco,0.575
Czechia,0.575
Kuwait,0.560
Madagascar,0.548
Hong Kong,0.467
Ireland,0.367
Suriname,0.335
Guyana,0.328
Tunisia,0.303
Tanzania,0.289
Sint Maarten,0.286
Saint Martin,0.258
Croatia,0.251
Eswatini,0.224
China,0.218
Guatemala,0.185
Namibia,0.168
Guinea,0.149
Slovakia,0.149
Lithuania,0.147
Denmark,0.146
Cuba,0.140
Bahrain,0.134
Andorra,0.134
Nigeria,0.132
Malawi,0.126
New Zealand,0.126
Qatar,0.108
Guadeloupe,0.101
Slovenia,0.091
Trinidad and Tobago,0.090
"

",0.083
Total:,0.083
Uruguay,0.082
Guinea-Bissau,0.077
Diamond Princess,0.073
Martinique,0.072
Cyprus,0.070
Fiji,0.069
Malaysia,0.068
Mauritania,0.067
French Guiana,0.066
Jamaica,0.051
Maldives,0.043
North Macedonia,0.042
Finland,0.041
Ghana,0.037
Luxembourg,0.037
Belize,0.037
Aruba,0.033
Antigua and Barbuda,0.032
CAR,0.026
Norway,0.024
Latvia,0.024
Turks and Caicos,0.024
Jordan,0.021
Equatorial Guinea,0.017
Thailand,0.017
Gabon,0.012
Mayotte,0.012
Réunion,0.011
Monaco,0.007
Botswana,0.003
