date,confirmed,deaths,recovered,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Death rate 2Weeks,Deaths Weekly(Ave7)/1M pop,Deaths /1M pop (Ave7),Td7,R0,K,CFR
2020-1-22,0,0,0,,,,,,,,,0.0,,,,
2020-1-23,2,0,0,,2.0,,,0.0,,,,0.0,,,,
2020-1-24,3,0,0,,1.0,,,0.0,,,,0.0,,,,
2020-1-25,3,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-26,3,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-27,3,0,0,,0.0,,,0.0,,,,0.0,,,,
2020-1-28,4,0,0,,1.0,,,0.0,,,,0.0,,,,
2020-1-29,4,0,0,2.571428571428571,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0
2020-1-30,4,0,0,3.1428571428571423,0.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-1-31,4,0,0,3.428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-1,4,0,0,3.571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-2,4,0,0,3.7142857142857135,0.0,0.14285714285714285,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-3,4,0,0,3.8571428571428568,0.0,0.14285714285714285,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-4,5,0,0,3.999999999999999,1.0,0.14285714285714285,0.0,0.0,0.0,,0.0,0.0,,,,0.0
2020-2-5,6,0,0,4.142857142857142,1.0,0.14285714285714285,0.0,0.0,0.0,,0.0,0.0,10.981599347020161,1.3710746152453335,0.3571428571428571,0.0
2020-2-6,6,0,0,4.428571428571428,0.0,0.2857142857142857,0.0,0.0,0.0,,0.0,0.0,17.56369577502226,1.2181384593433409,0.24137931034482762,0.0
2020-2-7,8,0,0,4.714285714285714,2.0,0.2857142857142857,0.0,0.0,0.0,,0.0,0.0,18.95817722200834,1.2005857383008236,0.22580645161290325,0.0
2020-2-8,8,0,0,5.285714285714285,0.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,17.476497187856744,1.2193383594160865,0.24242424242424254,0.0
2020-2-9,8,0,0,5.857142857142856,0.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,13.752087069859913,1.2866156806525928,0.29729729729729726,0.0
2020-2-10,9,0,0,6.428571428571427,1.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,11.615085958256103,1.3476768877109615,0.3414634146341463,0.0
2020-2-11,9,0,0,7.1428571428571415,0.0,0.7142857142857142,0.0,0.0,0.0,,0.0,0.0,10.226469935356873,1.4034009725812409,0.37777777777777777,0.0
2020-2-12,9,0,1,7.7142857142857135,0.0,0.5714285714285714,0.0,0.0,0.0,,0.0,0.0,8.907266761540816,1.4756385916660515,0.41999999999999993,0.0
2020-2-13,9,0,1,8.142857142857142,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,8.742446615989651,1.486502902118769,0.42592592592592593,0.0
2020-2-14,9,0,1,8.57142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,8.877661946128088,1.4775545080391252,0.42105263157894735,0.0
