Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/25,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/26,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/27,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/28,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/29,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/01,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/02,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/03,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/04,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/05,1.37,0,0.57,0,0.57,0,0.00,0,0.00,0.0
2020/03/06,1.54,0,1.14,0,0.57,0,0.00,0,0.00,0.0
2020/03/07,1.60,0,1.71,0,0.57,0,0.00,0,0.00,0.0
2020/03/08,1.69,4,2.71,4,1.00,0,0.14,0,0.14,0.02013329970113555
2020/03/09,1.74,4,3.71,0,1.00,0,0.29,0,0.14,0.041704692238066485
2020/03/10,2.05,4,7.00,0,3.29,0,0.43,0,0.14,0.06183799193920203
2020/03/11,2.46,7,12.86,3,5.86,1,0.71,1,0.29,0.10210459134147312
2020/03/12,2.79,7,19.57,0,6.71,1,1.00,0,0.29,0.14380928357953962
2020/03/13,3.00,23,26.43,16,6.86,1,1.29,0,0.29,0.18551397581760612
2020/03/14,3.29,41,35.43,18,9.00,2,1.57,1,0.29,0.2257805752198772
2020/03/15,3.71,51,47.57,10,12.14,2,1.71,0,0.14,0.24591387492101274
2020/03/16,4.03,52,60.00,1,12.43,2,2.00,0,0.29,0.28761856715907924
2020/03/17,4.43,67,74.86,15,14.86,2,2.29,0,0.29,0.32932325939714574
2020/03/18,4.91,92,92.29,25,17.43,2,2.43,0,0.14,0.34945655909828127
2020/03/19,5.48,94,111.71,2,19.43,3,2.57,1,0.14,0.3695898587994168
2020/03/20,6.14,127,133.00,33,21.29,3,2.71,0,0.14,0.38972315850055234
2020/03/21,6.69,163,154.57,36,21.57,3,2.86,0,0.14,0.4112945510374833
2020/03/22,7.21,187,176.00,24,21.43,3,3.00,0,0.14,0.43142785073861883
2020/03/23,7.82,201,200.29,14,24.29,3,3.00,0,0.00,0.43142785073861883
2020/03/24,8.37,218,224.00,17,23.71,3,3.00,0,0.00,0.43142785073861883
2020/03/25,9.03,242,248.00,24,24.00,3,3.57,0,0.57,0.5133991423789565
2020/03/26,9.51,264,270.71,22,22.71,3,4.29,0,0.71,0.616941826556225
2020/03/27,9.93,293,293.29,29,22.57,3,5.00,0,0.71,0.7190464178976981
2020/03/28,10.64,331,319.14,38,25.86,7,5.71,4,0.71,0.8211510092391712
