Date,Td,R0,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,1.31,40.60,0,0.14,0,0.14,0,0.00,0,0.00,0.0
2020/02/25,1.41,31.22,0,0.29,0,0.14,0,0.00,0,0.00,0.0
2020/02/26,1.72,16.79,0,0.71,0,0.43,0,0.00,0,0.00,0.0
2020/02/27,1.89,13.03,1,1.29,1,0.57,0,0.00,0,0.00,0.0
2020/02/28,1.76,15.75,1,1.86,0,0.57,0,0.00,0,0.00,0.0
2020/02/29,1.52,24.34,3,2.71,2,0.86,0,0.00,0,0.00,0.0
2020/03/01,1.43,29.76,4,4.29,1,1.57,0,0.00,0,0.00,0.0
2020/03/02,1.34,37.37,4,5.71,0,1.43,0,0.00,0,0.00,0.0
2020/03/03,1.35,36.38,6,9.00,2,3.29,0,0.00,0,0.00,0.0
2020/03/04,1.35,36.38,11,12.00,5,3.00,0,0.00,0,0.00,0.0
2020/03/05,1.38,33.65,11,16.71,0,4.71,0,0.00,0,0.00,0.0
2020/03/06,1.54,23.35,24,29.29,13,12.57,0,0.00,0,0.00,0.0
2020/03/07,1.96,11.89,24,66.14,0,36.86,0,0.00,0,0.00,0.0
2020/03/08,2.51,6.91,37,128.00,13,61.86,0,0.00,0,0.00,0.0
2020/03/09,3.21,4.53,92,214.57,55,86.57,0,0.00,0,0.00,0.0
2020/03/10,4.15,3.22,264,326.00,172,111.43,0,0.00,0,0.00,0.0
2020/03/11,5.15,2.57,444,442.00,180,116.00,0,0.14,0,0.14,0.024179394527235845
2020/03/12,6.23,2.18,617,561.71,173,119.71,0,0.43,0,0.29,0.07426528319079581
2020/03/13,7.38,1.93,804,681.86,187,120.14,0,0.86,0,0.43,0.14853056638159162
2020/03/14,8.34,1.79,836,790.57,32,108.71,1,1.43,1,0.57,0.24697524409962326
2020/03/15,8.99,1.72,875,886.57,39,96.00,2,2.00,1,0.57,0.3454199218176549
