Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/01/27,9.79,3,3.57,0,0.71,0,0.00,0,0.00
2020/01/28,11.97,4,4.00,1,0.43,0,0.00,0,0.00
2020/01/29,11.69,5,4.43,1,0.43,0,0.00,0,0.00
2020/01/30,11.43,5,4.86,0,0.43,0,0.00,0,0.00
2020/01/31,11.26,5,5.29,0,0.43,0,0.00,0,0.00
2020/02/01,10.45,6,5.57,1,0.29,0,0.00,0,0.00
2020/02/02,9.40,6,5.71,0,0.14,0,0.00,0,0.00
2020/02/03,8.62,6,5.86,0,0.14,0,0.00,0,0.00
2020/02/04,8.00,6,6.00,0,0.14,0,0.00,0,0.00
2020/02/05,9.57,6,6.71,0,0.71,0,0.00,0,0.00
2020/02/06,11.60,6,7.43,0,0.71,0,0.00,0,0.00
2020/02/07,14.29,6,8.14,0,0.71,0,0.00,0,0.00
2020/02/08,18.18,11,8.86,5,0.71,0,0.00,0,0.00
2020/02/09,24.04,11,9.57,0,0.71,0,0.00,0,0.00
2020/02/10,34.17,11,10.29,0,0.71,0,0.00,0,0.00
2020/02/11,55.76,11,11.00,0,0.71,0,0.00,0,0.00
2020/02/12,65.25,11,11.14,0,0.14,0,0.14,0,0.14
2020/02/13,79.56,11,11.29,0,0.14,0,0.29,0,0.14
2020/02/14,99.70,11,11.43,0,0.14,0,0.43,0,0.14
2020/02/15,80.37,12,11.57,1,0.14,1,0.57,1,0.14
2020/02/16,42.11,12,11.71,0,0.14,1,0.71,0,0.14
2020/02/17,13.79,12,11.86,0,0.14,1,0.86,0,0.14
2020/02/18,7.32,12,12.00,0,0.14,1,1.00,0,0.14
2020/02/19,4.43,12,12.00,0,0.00,1,1.00,0,0.00
2020/02/20,3.28,12,12.00,0,0.00,1,1.00,0,0.00
2020/02/21,2.59,12,12.00,0,0.00,1,1.00,0,0.00
2020/02/22,2.26,12,12.29,0,0.29,1,1.00,0,0.00
2020/02/23,2.03,12,13.14,0,0.86,1,1.14,0,0.14
2020/02/24,1.99,12,16.86,0,3.71,1,1.29,0,0.14
2020/02/25,1.96,14,23.29,2,6.43,1,1.43,0,0.14
2020/02/26,2.01,18,35.86,4,12.57,2,1.57,1,0.14
2020/02/27,2.08,38,52.71,20,16.86,2,1.71,0,0.14
2020/02/28,2.23,57,78.29,19,25.57,2,2.00,0,0.29
2020/02/29,2.24,100,105.43,43,27.14,2,2.43,0,0.43
2020/03/01,2.28,130,144.00,30,38.57,2,2.71,0,0.29
2020/03/02,2.38,191,192.86,61,48.86,3,3.29,1,0.57
2020/03/03,2.52,204,278.43,13,85.57,4,4.29,1,1.00
2020/03/04,2.70,288,401.14,84,122.71,4,5.57,0,1.29
2020/03/05,2.90,380,544.86,92,143.71,6,8.00,2,2.43
2020/03/06,2.90,656,691.71,276,146.86,9,10.29,3,2.29
2020/03/07,3.04,959,918.86,303,227.14,11,14.43,2,4.14
2020/03/08,3.19,1136,1205.29,177,286.43,19,20.71,8,6.29
2020/03/09,3.20,1219,1478.57,83,273.29,19,26.71,0,6.00
2020/03/10,3.38,1794,1910.71,575,432.14,33,36.71,14,10.00
2020/03/11,3.55,2293,2416.00,499,505.29,48,48.14,15,11.43
2020/03/12,3.61,2293,2901.14,0,485.14,48,58.43,0,10.29
2020/03/13,3.83,3681,3681.71,1388,780.57,79,77.00,31,18.57
2020/03/14,4.01,4496,4527.57,815,845.86,91,93.57,12,16.57
2020/03/15,4.19,4532,5503.43,36,975.86,91,108.00,0,14.43
2020/03/16,4.42,6683,6743.00,2151,1239.57,149,136.00,58,28.00
2020/03/17,4.59,7715,8039.71,1032,1296.71,149,189.14,0,53.14
2020/03/18,4.71,9124,9463.57,1409,1423.86,149,256.57,0,67.43
2020/03/19,4.89,10970,11136.57,1846,1673.00,244,340.14,95,83.57
2020/03/20,5.13,12758,13056.57,1788,1920.00,451,442.00,207,101.86
2020/03/21,5.30,14463,15186.14,1705,2129.57,563,578.14,112,136.14
2020/03/22,5.48,16243,17539.86,1780,2353.71,676,747.29,113,169.14
2020/03/23,5.77,20123,20194.29,3880,2654.43,862,955.00,186,207.71
2020/03/24,6.08,22622,23143.43,2499,2949.14,1102,1175.86,240,220.86
2020/03/25,6.51,25600,26520.86,2978,3377.43,1333,1426.43,231,250.57
2020/03/26,6.96,29551,30015.86,3951,3495.00,1698,1702.86,365,276.43
2020/03/27,7.43,33402,33594.00,3851,3578.14,1997,2012.57,299,309.71
2020/03/28,8.24,38105,37909.00,4703,4315.00,2317,2359.71,320,347.14
2020/03/29,9.22,40708,42501.71,2603,4592.71,2611,2799.86,294,440.14
2020/03/30,10.06,45170,46841.43,4462,4339.71,3030,3328.43,419,528.57
2020/03/31,11.07,52827,51384.29,7657,4542.86,3532,3974.57,502,646.14
2020/04/01,12.16,57749,55869.29,4922,4485.00,4414,4725.57,882,751.00
2020/04/02,11.94,59929,60255.57,2180,4386.29,5398,5508.71,984,783.14
2020/04/03,11.74,65202,64566.00,5273,4310.43,6520,6351.00,1122,842.29
2020/04/04,11.31,69500,68328.29,4298,3762.29,7574,7324.00,1054,973.00
2020/04/05,10.93,71412,71943.71,1912,3615.43,8093,8248.71,519,924.71
2020/04/06,10.48,75343,75863.29,3931,3919.57,8926,9224.43,833,975.71
2020/04/07,10.13,79163,79654.14,3820,3790.86,10343,10180.86,1417,956.43
2020/04/08,9.86,83057,83277.43,3894,3623.29,10887,11077.57,544,896.71
2020/04/09,10.99,87366,90463.14,4309,7185.71,12228,11980.29,1341,902.71
2020/04/10,12.27,91738,97613.29,4372,7150.14,13215,12846.00,987,865.71
2020/04/11,13.86,94863,104927.86,3125,7314.57,13851,13615.71,636,769.71
2020/04/12,15.92,121712,112146.14,26849,7218.29,14412,14513.14,561,897.43
2020/04/13,19.88,125394,120533.14,3682,8387.00,14986,15326.57,574,813.43
2020/04/14,25.48,130365,128582.57,4971,8049.43,15731,16107.71,745,781.14
2020/04/15,33.38,133585,136185.86,3220,7603.29,17169,16889.71,1438,782.00
2020/04/16,39.98,146075,140657.14,12490,4471.29,17922,17648.00,753,758.29
2020/04/17,48.12,148084,144942.71,2009,4285.57,18683,18402.43,761,754.43
2020/04/18,58.15,148086,148914.57,2,3971.86,19325,19126.29,642,723.86
2020/04/19,67.89,153011,152113.86,4925,3199.29,19720,19722.43,395,596.14
2020/04/20,71.48,155393,153860.71,2382,1746.86,20267,20284.71,547,562.29
2020/04/21,76.67,158168,155556.14,2775,1695.43,20798,20794.00,531,509.29
2020/04/22,85.40,155980,157493.00,-2188,1936.86,21342,21264.29,544,470.29
2020/04/23,89.48,158303,158808.57,2323,1315.57,21858,21712.71,516,448.43
2020/04/24,101.42,159952,160318.57,1649,1510.00,22248,22145.43,390,432.71
2020/04/25,122.60,161644,161873.57,1692,1555.00,22617,22554.71,369,409.29
2020/04/26,131.87,162220,163382.57,576,1509.00,22859,22947.29,242,392.57
2020/04/27,137.22,165963,164667.71,3743,1285.14,23296,23307.43,437,360.14
2020/04/28,133.21,169053,165718.14,3090,1050.43,23663,23643.00,367,335.57
2020/04/29,129.87,166543,166700.14,-2510,982.00,24090,23949.57,427,306.57
2020/04/30,126.51,167299,167658.00,756,957.86,24379,24241.14,289,291.57
