Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/25,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/26,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/27,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/28,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/29,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/01,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/02,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/03,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/04,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/05,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/06,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/07,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/08,1.76,0,0.29,0,0.29,0,0.00,0,0.00,0.0
2020/03/09,2.06,0,0.57,0,0.29,0,0.00,0,0.00,0.0
2020/03/10,2.05,0,0.86,0,0.29,0,0.00,0,0.00,0.0
2020/03/11,2.04,2,1.14,2,0.29,0,0.00,0,0.00,0.0
2020/03/12,2.11,2,1.57,0,0.43,0,0.00,0,0.00,0.0
2020/03/13,2.36,2,2.43,0,0.86,0,0.00,0,0.00,0.0
2020/03/14,2.66,2,3.57,0,1.14,0,0.00,0,0.00,0.0
2020/03/15,2.79,3,4.57,1,1.00,0,0.00,0,0.00,0.0
2020/03/16,2.91,6,6.00,3,1.43,0,0.00,0,0.00,0.0
2020/03/17,3.41,8,9.14,2,3.14,0,0.00,0,0.00,0.0
2020/03/18,3.55,9,12.29,1,3.14,0,0.00,0,0.00,0.0
2020/03/19,3.59,12,15.57,3,3.29,0,0.00,0,0.00,0.0
2020/03/20,3.51,24,19.00,12,3.43,0,0.00,0,0.00,0.0
2020/03/21,3.42,24,22.14,0,3.14,0,0.00,0,0.00,0.0
2020/03/22,3.34,26,26.00,2,3.86,0,0.00,0,0.00,0.0
2020/03/23,3.35,30,31.71,4,5.71,0,0.14,0,0.14,0.014160053921485335
2020/03/24,3.42,30,38.00,0,6.29,0,0.29,0,0.14,0.029331540265933903
2020/03/25,3.66,36,48.14,6,10.14,0,0.43,0,0.14,0.04349159418741924
2020/03/26,3.98,52,60.14,16,12.00,1,0.86,1,0.43,0.08698318837483848
2020/03/27,4.43,68,75.71,16,15.57,1,1.86,0,1.00,0.1881264306711623
2020/03/28,4.84,95,91.57,27,15.86,1,2.86,0,1.00,0.28926967296748607
2020/03/29,5.47,110,111.00,15,19.43,3,4.29,2,1.43,0.43390450945122916
2020/03/30,6.41,139,134.86,29,23.86,7,6.14,4,1.86,0.6210195076994282
