Date,Td,R0,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,3.63,3.81,4,5.29,0,1.29,0,0.00,0,0.00,0.0
2020/01/28,4.39,3.02,7,7.14,3,1.86,0,0.00,0,0.00,0.0
2020/01/29,5.84,2.30,7,9.71,0,2.57,0,0.00,0,0.00,0.0
2020/01/30,7.39,1.93,11,12.00,4,2.29,0,0.00,0,0.00,0.0
2020/01/31,9.36,1.68,15,14.29,4,2.29,0,0.00,0,0.00,0.0
2020/02/01,12.06,1.50,20,16.43,5,2.14,0,0.00,0,0.00,0.0
2020/02/02,15.43,1.37,20,18.57,0,2.14,0,0.00,0,0.00,0.0
2020/02/03,18.21,1.31,20,20.14,0,1.57,0,0.00,0,0.00,0.0
2020/02/04,22.12,1.25,22,21.57,2,1.43,0,0.00,0,0.00,0.0
2020/02/05,17.46,1.32,22,22.29,0,0.71,0,0.00,0,0.00,0.0
2020/02/06,12.48,1.48,22,23.14,0,0.86,0,0.00,0,0.00,0.0
2020/02/07,9.56,1.66,25,24.00,3,0.86,0,0.00,0,0.00,0.0
2020/02/08,7.55,1.90,25,24.57,0,0.57,0,0.00,0,0.00,0.0
2020/02/09,6.33,2.15,26,25.43,1,0.86,0,0.00,0,0.00,0.0
2020/02/10,5.44,2.44,26,26.29,0,0.86,0,0.14,0,0.14,0.0011065802533931249
2020/02/11,4.73,2.79,26,26.86,0,0.57,0,0.29,0,0.14,0.002292201953457187
2020/02/12,4.51,2.93,28,29.43,2,2.57,0,0.43,0,0.14,0.003398782206850312
2020/02/13,4.56,2.90,28,34.14,0,4.71,1,0.57,1,0.14,0.004505362460243437
2020/02/14,4.69,2.81,29,39.86,1,5.71,1,0.71,0,0.14,0.005611942713636561
2020/02/15,4.90,2.69,43,46.71,14,6.86,1,0.86,0,0.14,0.006797564413700624
2020/02/16,5.13,2.57,59,54.71,16,8.00,1,1.00,0,0.14,0.007904144667093748
2020/02/17,5.38,2.46,66,64.14,7,9.43,1,1.00,0,0.00,0.007904144667093748
2020/02/18,5.70,2.34,74,75.00,8,10.86,1,1.00,0,0.00,0.007904144667093748
2020/02/19,6.04,2.23,84,86.29,10,11.29,1,1.00,0,0.00,0.007904144667093748
2020/02/20,6.52,2.10,94,98.86,10,12.57,1,1.00,0,0.00,0.007904144667093748
2020/02/21,6.99,2.00,105,112.14,11,13.29,1,1.00,0,0.00,0.007904144667093748
2020/02/22,7.42,1.92,122,125.86,17,13.71,1,1.00,0,0.00,0.007904144667093748
2020/02/23,7.80,1.86,147,140.86,25,15.00,1,1.14,0,0.14,0.009010724920486874
2020/02/24,8.31,1.79,159,158.00,12,17.14,1,1.57,0,0.43,0.012409507127337186
2020/02/25,8.50,1.77,170,175.57,11,17.57,1,2.00,0,0.43,0.015808289334187497
2020/02/26,8.44,1.78,189,192.57,19,17.00,2,2.57,1,0.57,0.020313651794430933
2020/02/27,8.16,1.81,214,208.14,25,15.57,4,3.29,2,0.71,0.026004635954738436
2020/02/28,8.02,1.83,228,224.57,14,16.43,4,4.00,0,0.71,0.031616578668374994
2020/02/29,7.77,1.87,241,242.14,13,17.57,5,4.71,1,0.71,0.037228521382011555
2020/03/01,7.61,1.89,256,262.43,15,20.29,6,5.29,1,0.57,0.04181292528892593
2020/03/02,7.61,1.89,274,283.29,18,20.86,6,5.57,0,0.29,0.04402608579571218
2020/03/03,7.85,1.86,293,310.71,19,27.43,6,5.86,0,0.29,0.04631828774916937
2020/03/04,8.14,1.81,331,342.14,38,31.43,6,6.00,0,0.14,0.047424868002562494
2020/03/05,8.47,1.77,360,377.29,29,35.14,6,6.00,0,0.00,0.047424868002562494
2020/03/06,8.75,1.74,420,411.14,60,33.86,6,6.57,0,0.57,0.05193023046280593
2020/03/07,9.39,1.68,461,452.29,41,41.14,6,7.14,0,0.57,0.056435592923049366
2020/03/08,10.33,1.60,502,496.29,41,44.00,6,8.43,0,1.29,0.0666319395436003
2020/03/09,10.96,1.56,511,536.14,9,39.86,10,9.86,4,1.43,0.07793486641754437
2020/03/10,11.71,1.51,581,576.29,70,40.14,10,11.71,0,1.86,0.0925575340516678
2020/03/11,12.85,1.46,639,620.86,58,44.57,15,14.00,5,2.29,0.11065802533931249
2020/03/12,14.13,1.41,639,669.00,0,48.14,16,16.29,1,2.29,0.12875851662695717
2020/03/13,15.24,1.37,701,715.86,62,46.86,19,18.71,3,2.43,0.14788654672132406
2020/03/14,15.88,1.36,773,758.29,72,42.43,22,21.43,3,2.71,0.16938582021581905
2020/03/15,15.36,1.37,839,794.00,66,35.71,22,23.43,0,2.00,0.18519410955000654
2020/03/16,14.93,1.38,839,834.71,0,40.71,27,25.29,5,1.86,0.19989581863080091
2020/03/17,14.20,1.41,878,872.14,39,37.43,29,27.29,2,2.00,0.2157041079649884
2020/03/18,12.74,1.46,889,905.57,11,33.43,29,29.14,0,1.86,0.23032677559911185
2020/03/19,11.56,1.52,924,943.00,35,37.43,29,31.86,0,2.71,0.25182604909360684
2020/03/20,10.84,1.56,963,984.29,39,41.29,33,34.00,4,2.14,0.2687409186811875
2020/03/21,10.30,1.60,1007,1029.29,44,45.00,35,36.00,2,2.00,0.284549208015375
2020/03/22,9.95,1.63,1101,1089.00,94,59.71,41,38.29,6,2.29,0.30264969930301966
2020/03/23,9.44,1.67,1128,1155.14,27,66.14,42,40.86,1,2.57,0.32296335109745056
2020/03/24,9.07,1.71,1193,1227.29,65,72.14,43,43.14,1,2.29,0.3409848009384243
2020/03/25,8.79,1.74,1307,1325.29,114,98.00,45,45.57,2,2.43,0.36019187247946216
2020/03/26,8.84,1.73,1387,1434.57,80,109.29,47,47.43,2,1.86,0.37489358156025654
