Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,0.86,0,0.14,0,0.14,0,0.00,0,0.00,0.0
2020/02/22,1.48,0,1.71,0,1.57,0,0.00,0,0.00,0.0
2020/02/23,2.20,0,5.43,0,3.71,0,0.00,0,0.00,0.0
2020/02/24,3.25,1,11.57,1,6.14,0,0.00,0,0.00,0.0
2020/02/25,4.46,11,18.00,10,6.43,0,0.00,0,0.00,0.0
2020/02/26,5.89,26,24.43,15,6.43,0,0.00,0,0.00,0.0
2020/02/27,7.60,43,30.86,17,6.43,0,0.00,0,0.00,0.0
2020/02/28,11.26,45,38.71,2,7.86,0,0.00,0,0.00,0.0
2020/02/29,15.75,45,45.14,0,6.43,0,0.00,0,0.00,0.0
2020/03/01,19.12,45,49.43,0,4.29,0,0.00,0,0.00,0.0
2020/03/02,18.69,56,51.57,11,2.14,0,0.00,0,0.00,0.0
2020/03/03,17.96,56,53.43,0,1.86,0,0.00,0,0.00,0.0
2020/03/04,15.53,56,55.71,0,2.29,0,0.00,0,0.00,0.0
2020/03/05,13.82,58,58.43,2,2.71,0,0.00,0,0.00,0.0
2020/03/06,11.33,58,59.57,0,1.14,0,0.00,0,0.00,0.0
2020/03/07,9.93,61,61.43,3,1.86,0,0.00,0,0.00,0.0
2020/03/08,8.86,64,63.71,3,2.29,0,0.00,0,0.00,0.0
2020/03/09,8.31,64,66.86,0,3.14,0,0.00,0,0.00,0.0
2020/03/10,7.73,69,70.00,5,3.14,0,0.00,0,0.00,0.0
2020/03/11,7.84,72,76.14,3,6.14,0,0.00,0,0.00,0.0
2020/03/12,7.99,80,83.00,8,6.86,0,0.00,0,0.00,0.0
2020/03/13,8.51,80,91.43,0,8.43,0,0.00,0,0.00,0.0
2020/03/14,9.12,104,100.14,24,8.71,0,0.00,0,0.00,0.0
2020/03/15,10.11,112,110.14,8,10.00,0,0.00,0,0.00,0.0
2020/03/16,10.97,123,119.86,11,9.71,0,0.00,0,0.00,0.0
2020/03/17,12.07,130,131.14,7,11.29,0,0.00,0,0.00,0.0
2020/03/18,13.17,142,141.43,12,10.29,0,0.00,0,0.00,0.0
2020/03/19,14.26,148,152.29,6,10.86,0,0.00,0,0.00,0.0
2020/03/20,14.69,159,161.71,11,9.43,0,0.00,0,0.00,0.0
2020/03/21,14.35,176,170.43,17,8.71,0,0.00,0,0.00,0.0
2020/03/22,13.29,188,178.00,12,7.57,0,0.00,0,0.00,0.0
2020/03/23,12.44,189,186.57,1,8.57,0,0.00,0,0.00,0.0
2020/03/24,11.14,191,196.00,2,9.43,0,0.00,0,0.00,0.0
2020/03/25,9.66,195,204.43,4,8.43,0,0.00,0,0.00,0.0
2020/03/26,8.42,208,214.00,13,9.57,0,0.00,0,0.00,0.0
2020/03/27,7.29,225,225.00,17,11.00,0,0.00,0,0.00,0.0
2020/03/28,6.53,235,239.00,10,14.00,0,0.00,0,0.00,0.0
2020/03/29,5.95,255,256.43,20,17.43,0,0.00,0,0.00,0.0
2020/03/30,5.55,266,275.57,11,19.14,0,0.00,0,0.00,0.0
2020/03/31,5.41,289,303.00,23,27.43,0,0.00,0,0.00,0.0
