Date,Td,R0,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,1.90,12.85,0,0.29,0,0.29,0,0.00,0,0.00,0.0
2020/02/24,2.45,7.25,0,0.57,0,0.29,0,0.00,0,0.00,0.0
2020/02/25,2.85,5.49,0,0.86,0,0.29,0,0.00,0,0.00,0.0
2020/02/26,3.88,3.49,2,1.43,2,0.57,0,0.00,0,0.00,0.0
2020/02/27,4.99,2.64,2,2.00,0,0.57,0,0.00,0,0.00,0.0
2020/02/28,6.27,2.17,2,2.57,0,0.57,0,0.00,0,0.00,0.0
2020/02/29,6.26,2.17,4,3.29,2,0.71,0,0.00,0,0.00,0.0
2020/03/01,5.38,2.46,4,3.71,0,0.43,0,0.00,0,0.00,0.0
2020/03/02,4.84,2.73,4,4.14,0,0.43,0,0.00,0,0.00,0.0
2020/03/03,4.33,3.07,5,4.71,1,0.57,0,0.00,0,0.00,0.0
2020/03/04,3.79,3.60,5,5.00,0,0.29,0,0.00,0,0.00,0.0
2020/03/05,3.15,4.67,5,5.29,0,0.29,0,0.00,0,0.00,0.0
2020/03/06,2.37,7.75,6,5.57,1,0.29,0,0.00,0,0.00,0.0
2020/03/07,2.07,10.42,6,7.14,0,1.57,0,0.00,0,0.00,0.0
2020/03/08,1.92,12.52,6,9.14,0,2.00,0,0.00,0,0.00,0.0
2020/03/09,1.76,15.75,6,11.29,0,2.14,0,0.00,0,0.00,0.0
2020/03/10,1.72,16.79,16,14.43,10,3.14,0,0.00,0,0.00,0.0
2020/03/11,1.64,19.27,19,18.00,3,3.57,0,0.00,0,0.00,0.0
2020/03/12,1.68,17.96,20,24.71,1,6.71,0,0.00,0,0.00,0.0
2020/03/13,1.90,12.85,28,43.29,8,18.57,0,0.00,0,0.00,0.0
2020/03/14,2.23,8.81,31,74.71,3,31.43,0,0.00,0,0.00,0.0
2020/03/15,2.55,6.70,53,114.71,22,40.00,0,0.00,0,0.00,0.0
2020/03/16,3.04,4.93,136,176.71,83,62.00,0,0.29,0,0.29,0.001315767140268277
