Date,Td,R0,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/25,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/26,1.27,45.63,0,0.14,0,0.14,0,0.00,0,0.00,0.0
2020/02/27,1.82,14.38,0,0.57,0,0.43,0,0.00,0,0.00,0.0
2020/02/28,2.08,10.31,0,1.00,0,0.43,0,0.00,0,0.00,0.0
2020/02/29,2.62,6.37,1,2.00,1,1.00,0,0.00,0,0.00,0.0
2020/03/01,1.77,15.51,3,3.14,2,1.14,0,0.00,0,0.00,0.0
2020/03/02,1.62,19.99,3,4.29,0,1.14,0,0.00,0,0.00,0.0
2020/03/03,1.53,23.84,7,5.43,4,1.14,0,0.00,0,0.00,0.0
2020/03/04,1.46,27.75,8,6.43,1,1.00,0,0.00,0,0.00,0.0
2020/03/05,1.45,28.40,8,8.14,0,1.71,0,0.00,0,0.00,0.0
2020/03/06,1.45,28.40,8,10.29,0,2.14,0,0.00,0,0.00,0.0
2020/03/07,1.46,27.75,8,12.71,0,2.43,0,0.00,0,0.00,0.0
2020/03/08,2.37,7.75,15,49.00,7,36.29,0,0.00,0,0.00,0.0
2020/03/09,3.11,4.76,18,85.29,3,36.29,0,0.00,0,0.00,0.0
2020/03/10,4.07,3.29,24,129.86,6,44.57,0,0.00,0,0.00,0.0
2020/03/11,5.21,2.54,262,176.86,238,47.00,0,0.00,0,0.00,0.0
2020/03/12,7.04,1.99,262,232.00,0,55.14,0,0.00,0,0.00,0.0
2020/03/13,10.16,1.61,320,292.14,58,60.14,0,0.00,0,0.00,0.0
2020/03/14,15.22,1.38,337,351.43,17,59.29,0,0.00,0,0.00,0.0
2020/03/15,18.02,1.31,401,378.57,64,27.14,0,0.00,0,0.00,0.0
2020/03/16,21.80,1.25,439,406.86,38,28.29,0,0.00,0,0.00,0.0
