Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day)
2020/01/27,NG,0,0.00,0,0.00,0,0.00,0,0.00
2020/01/28,2.51,0,0.29,0,0.29,0,0.00,0,0.00
2020/01/29,3.87,0,0.57,0,0.29,0,0.00,0,0.00
2020/01/30,5.75,0,0.86,0,0.29,0,0.00,0,0.00
2020/01/31,8.63,2,1.14,2,0.29,0,0.00,0,0.00
2020/02/01,14.46,2,1.43,0,0.29,0,0.00,0,0.00
2020/02/02,30.97,2,1.71,0,0.29,0,0.00,0,0.00
2020/02/03,NG,2,2.00,0,0.29,0,0.00,0,0.00
2020/02/04,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/05,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/06,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/07,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/08,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/09,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/10,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/11,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/12,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/13,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/14,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/15,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/16,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/17,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/18,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/19,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/20,NG,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/21,71.71,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/22,35.83,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/23,24.91,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/24,15.97,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/25,6.36,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/26,4.51,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/27,3.50,2,2.00,0,0.00,0,0.00,0,0.00
2020/02/28,3.15,2,2.14,0,0.14,0,0.00,0,0.00
2020/02/29,2.87,2,2.29,0,0.14,0,0.00,0,0.00
2020/03/01,2.68,2,2.43,0,0.14,0,0.00,0,0.00
2020/03/02,2.54,3,2.71,1,0.29,0,0.00,0,0.00
2020/03/03,2.90,3,4.29,0,1.57,0,0.00,0,0.00
2020/03/04,3.01,3,5.86,0,1.57,0,0.00,0,0.00
2020/03/05,3.23,4,8.00,1,2.14,0,0.00,0,0.00
2020/03/06,3.16,13,10.00,9,2.00,0,0.00,0,0.00
2020/03/07,3.09,13,12.43,0,2.43,0,0.00,0,0.00
2020/03/08,2.93,17,14.86,4,2.43,0,0.00,0,0.00
2020/03/09,2.82,17,18.29,0,3.43,0,0.00,0,0.00
2020/03/10,2.77,20,22.86,3,4.57,0,0.00,0,0.00
2020/03/11,2.79,20,29.43,0,6.57,0,0.00,0,0.00
2020/03/12,2.74,28,36.00,8,6.57,0,0.00,0,0.00
2020/03/13,2.81,45,46.43,17,10.43,0,0.00,0,0.00
2020/03/14,2.92,59,59.86,14,13.43,0,0.00,0,0.00
2020/03/15,3.02,63,78.00,4,18.14,0,0.00,0,0.00
2020/03/16,3.14,90,102.43,27,24.43,0,0.14,0,0.14
2020/03/17,3.24,114,132.14,24,29.71,0,0.29,0,0.14
2020/03/18,3.30,147,167.43,33,35.29,0,0.43,0,0.14
2020/03/19,3.36,199,210.86,52,43.43,1,0.57,1,0.14
2020/03/20,3.38,253,260.57,54,49.71,1,0.71,0,0.14
2020/03/21,3.32,306,315.00,53,54.43,1,0.86,0,0.14
2020/03/22,3.34,367,388.00,61,73.00,1,1.29,0,0.43
2020/03/23,3.34,438,479.57,71,91.57,1,1.57,0,0.29
2020/03/24,3.37,495,591.43,57,111.86,1,2.00,0,0.43
2020/03/25,3.44,658,728.29,163,136.86,3,2.43,2,0.43
2020/03/26,3.53,840,895.00,182,166.71,3,3.43,0,1.00
2020/03/27,3.62,1036,1094.71,196,199.71,4,4.57,1,1.14
2020/03/28,3.77,1264,1357.86,228,263.14,4,6.86,0,2.29
2020/03/29,3.90,1534,1660.57,270,302.71,8,9.86,4,3.00
2020/03/30,4.09,1836,2047.43,302,386.86,9,13.71,1,3.86
2020/03/31,4.25,2337,2492.14,501,444.71,17,18.00,8,4.29
2020/04/01,4.37,2777,2987.43,440,495.29,24,23.57,7,5.57
2020/04/02,4.44,3548,3538.14,771,550.71,30,28.86,6,5.29
2020/04/03,4.51,4149,4182.00,601,643.86,34,34.29,4,5.43
2020/04/04,4.57,4731,4919.14,582,737.14,43,40.14,9,5.86
2020/04/05,4.62,5389,5761.29,658,842.14,45,45.71,2,5.57
2020/04/06,4.65,6343,6701.71,954,940.43,47,52.29,2,6.57
2020/04/07,4.71,7497,7811.43,1154,1109.71,58,60.86,11,8.57
2020/04/08,4.75,8672,9076.14,1175,1264.71,63,69.86,5,9.00
2020/04/09,4.79,10131,10559.14,1459,1483.00,76,82.00,13,12.14
2020/04/10,4.88,11917,12271.29,1786,1712.14,94,96.43,18,14.43
2020/04/11,4.97,13584,14214.86,1667,1943.57,106,112.43,12,16.00
2020/04/12,5.12,15770,16474.57,2186,2259.71,130,131.71,24,19.29
2020/04/13,5.30,18328,19018.43,2558,2543.86,148,154.00,18,22.29
2020/04/14,5.52,21102,21888.57,2774,2870.14,170,179.57,22,25.57
2020/04/15,5.81,24490,25204.14,3388,3315.57,198,209.14,28,29.57
2020/04/16,6.21,27938,29073.14,3448,3869.00,232,242.14,34,33.00
2020/04/17,6.59,32008,33186.43,4070,4113.29,273,278.86,41,36.71
2020/04/18,7.04,36793,37709.43,4785,4523.00,313,319.71,40,40.86
2020/04/19,7.52,42853,42496.43,6060,4787.00,361,364.71,48,45.00
2020/04/20,7.97,47121,47472.86,4268,4976.43,405,410.86,44,46.14
2020/04/21,8.42,52763,52703.43,5642,5230.57,456,459.71,51,48.86
2020/04/22,8.80,57999,58102.71,5236,5399.29,513,512.29,57,52.57
2020/04/23,9.06,62773,63545.00,4774,5442.29,555,567.43,42,55.14
2020/04/24,9.28,68622,69263.00,5849,5718.00,615,623.00,60,55.57
