Date,Td,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,8.63,1,0.57,1,0.14,0,0.00,0,0.00,0.0
2020/01/28,14.17,1,0.71,0,0.14,0,0.00,0,0.00,0.0
2020/01/29,32.17,1,0.86,0,0.14,0,0.00,0,0.00,0.0
2020/01/30,NG,1,1.00,0,0.14,0,0.00,0,0.00,0.0
2020/01/31,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/25,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/26,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/27,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/28,NG,1,1.00,0,0.00,0,0.00,0,0.00,0.0
