2020/04/01 19:37:45 UTC
Country,Total deaths,Td,Deaths/Mil.
China,3312,1175.258,2.315
S.Korea,165,61.505,3.221
SanMarino,26,38.419,766.229
Bahrain,4,15.856,2.348
Bangladesh,6,14.910,0.033
Taiwan,5,14.420,0.213
SriLanka,3,13.529,0.144
Lebanon,14,13.346,2.046
TrinidadandTobago,5,12.306,3.596
Italy,13155,12.240,217.596
Jamaica,2,11.588,0.684
Qatar,2,10.992,0.695
Togo,2,10.830,0.222
Venezuela,3,10.735,0.105
Switzerland,461,10.717,53.264
Singapore,3,10.538,0.513
Norway,44,10.519,8.116
Slovenia,15,10.423,7.224
Jordan,5,10.106,0.486
Malaysia,45,10.068,1.393
Finland,17,9.770,3.068
Iceland,2,9.627,5.861
Japan,57,9.501,0.445
Egypt,52,9.060,0.534
Guadeloupe,6,9.021,14.976
Greece,50,8.913,4.806
Luxembourg,29,8.763,46.332
Bulgaria,10,8.726,1.445
Iran,3036,8.569,36.169
Albania,15,8.464,5.212
Uruguay,2,8.347,0.574
Denmark,104,8.238,17.941
Paraguay,3,7.786,0.435
CostaRica,2,7.780,0.395
HongKong,4,7.779,0.533
Belarus,2,7.588,0.209
Thailand,12,7.583,0.169
Austria,146,7.509,16.212
SaudiArabia,16,7.491,0.456
Estonia,5,7.390,3.768
BurkinaFaso,16,7.371,0.738
SouthAfrica,5,7.286,0.083
Sweden,239,7.219,23.673
Total:,46290,7.128,5.938
Pakistan,27,7.038,0.127
NorthMacedonia,11,7.000,5.282
Syria,2,7.000,0.120
Australia,21,6.996,0.825
Martinique,3,6.780,8.000
Spain,9131,6.698,195.258
Andorra,14,6.649,181.210
Germany,891,6.634,10.638
Ghana,5,6.553,0.154
Iraq,52,6.523,1.286
Lithuania,8,6.455,2.933
Czechia,39,6.453,3.647
Indonesia,157,6.446,0.562
Netherlands,1173,6.444,68.498
Armenia,4,6.321,1.352
Croatia,6,6.231,1.464
Ireland,85,6.140,17.212
France,4032,5.956,61.765
Colombia,17,5.932,0.335
DRC,9,5.916,0.083
Hungary,20,5.757,2.057
Sudan,2,5.726,0.057
Angola,2,5.726,0.057
Ecuador,93,5.699,5.279
Montenegro,2,5.636,3.187
Guyana,2,5.542,2.500
Cyprus,9,5.479,7.453
Poland,43,5.464,1.128
Brazil,206,5.453,0.974
UAE,8,5.428,0.806
Tunisia,12,5.427,1.021
Israel,25,5.137,2.889
BosniaandHerzegovina,13,5.085,3.954
Chile,16,4.971,0.839
Panama,30,4.948,6.960
Romania,92,4.857,4.787
Argentina,28,4.843,0.611
Portugal,187,4.788,18.335
Peru,30,4.786,0.907
Serbia,28,4.779,3.196
India,45,4.726,0.025
Algeria,58,4.705,1.301
Canada,108,4.683,2.857
Belgium,828,4.667,71.451
Moldova,5,4.650,1.241
Afghanistan,4,4.640,0.100
Morocco,37,4.628,0.980
Mexico,29,4.417,0.215
Uzbekistan,2,4.394,0.055
UK,2352,4.297,34.633
Cameroon,6,4.280,0.232
USA,4615,4.190,13.932
DominicanRepublic,57,4.089,5.238
Mauritius,6,4.009,4.733
Bolivia,7,3.793,0.609
Philippines,96,3.761,0.872
Cuba,6,3.694,0.538
ChannelIslands,3,3.679,17.250
Nigeria,2,3.647,0.009
Azerbaijan,5,3.592,0.487
Russia,24,3.370,0.164
Kazakhstan,3,3.139,0.158
Honduras,10,3.102,0.988
Niger,3,3.070,0.088
Ukraine,20,2.854,0.453
Turkey,277,2.604,3.286
Mali,3,1.770,0.194
