2020/08/29 21:31:15 UTC
Continent,Country,Total deaths,Td,Deaths/Mil.
Europe,San Marino,42,571.727,1237.344
South America,Peru,28607,46.493,865.724
Europe,Belgium,9886,130.763,852.448
Europe,Andorra,53,66.578,685.794
Europe,Spain,29011,43.834,620.435
Europe,UK,41498,168.610,610.712
Europe,Italy,35473,129.841,586.890
South America,Chile,11181,136.582,584.085
South America,Brazil,120452,58.046,566.043
North America,USA,186706,86.306,563.533
North America,Mexico,63146,76.485,488.900
Europe,France,30602,32.192,468.692
North America,Panama,1966,68.102,454.533
South America,Bolivia,4846,77.146,414.250
North America,Sint Maarten,17,21.155,395.786
South America,Ecuador,6537,82.815,369.619
South America,Colombia,18767,39.424,368.208
Europe,Netherlands,6224,81.116,363.079
Europe,Ireland,1777,141.965,359.236
Asia,Armenia,872,181.788,294.185
Europe,North Macedonia,596,67.951,286.095
Europe,Channel Islands,48,273.250,275.712
Asia,Iran,21359,103.353,253.792
Europe,Moldova,990,42.587,245.515
North America,Canada,9113,188.553,241.082
Europe,Switzerland,2005,82.252,231.391
Africa,South Africa,13743,176.728,231.254
South America,French Guiana,58,144.841,193.427
Europe,Romania,3539,41.467,184.180
North America,Honduras,1827,50.095,184.005
South America,Argentina,8305,27.711,183.490
Europe,Bosnia and Herzegovina,594,41.564,181.238
Europe,Portugal,1818,122.162,178.389
Asia,Iraq,6891,33.865,170.725
Asia,Kyrgyzstan,1057,207.765,161.602
North America,Dominican Republic,1673,115.226,153.981
North America,Guatemala,2709,56.706,150.791
Europe,Montenegro,92,56.153,146.474
Africa,Mayotte,40,247.825,146.089
North America,Bermuda,9,812.713,144.589
North America,Saint Martin,5,25.429,128.967
North America,Bahamas,50,25.692,126.957
Asia,Oman,650,331.263,126.796
Asia,Kuwait,528,80.023,123.349
Europe,Russia,17025,122.159,116.662
South America,Suriname,66,45.651,112.344
Europe,Germany,9363,117.744,111.705
Asia,Bahrain,189,98.697,110.509
Asia,Saudi Arabia,3840,172.131,110.034
North America,El Salvador,708,90.227,109.068
All,World,845102,58.452,108.424
All,Total:,845102,58.452,108.418
Europe,Denmark,624,122.423,107.663
Asia,Israel,906,40.708,98.501
Europe,Albania,275,36.332,95.579
North America,Aruba,10,16.206,93.600
Europe,Bulgaria,603,81.006,86.894
North America,Costa Rica,418,22.951,81.938
Europe,Serbia,710,165.462,81.322
Europe,Austria,733,56.438,81.300
Asia,Kazakhstan,1523,408.951,80.956
Africa,Eswatini,91,62.542,78.312
North America,Turks and Caicos,3,14.061,77.320
Asia,Turkey,6284,111.815,74.378
Europe,Belarus,671,243.339,71.019
Africa,Cabo Verde,39,47.617,70.020
Asia,Qatar,196,295.861,69.806
Africa,Sao Tome and Principe,15,1083.214,68.246
Europe,Slovenia,133,50.422,63.966
Europe,Hungary,614,45.703,63.577
Africa,Djibouti,60,8706.968,60.591
